('https://image1.ljcdn.com/510100-inspection/test-194e1b15-081e-4a27-8267-a6506d76d31c.png.296x216.jpg', '此房户型方正采光佳，视野宽阔，', '心怡中丝园  | 3室2厅 | 102.38平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2015年建板塔结合  -  麓山', '138万', '单价13480元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b42f0200-f62c-49b6-b3ca-0d53caecd95b.png.296x216.jpg', '南湖国际社区套四三卫一厨两厅。。。。。。', '南湖国际社区  | 4室2厅 | 178.76平米 | 西南 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '270万', '单价15105元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26e29a74-52ec-4f4c-9762-eb4214364841.png.296x216.jpg', '光明城市 套三双卫装修房  对中庭很安静', '金茂光明城市  | 3室2厅 | 88.42平米 | 东 | 其他 | 有电梯', '低楼层(共33层)2016年建板塔结合  -  华阳', '152万', '单价17191元/平米')
('https://image1.ljcdn.com/510100-inspection/test-495b3c48-0ccd-4229-8fa7-a8022a7cc785.png.296x216.jpg', '天府新区 套二单卫 精装修 对中庭', '鸿阁新座  | 2室1厅 | 58.52平米 | 西 | 其他 | 有电梯', '高楼层(共29层)2013年建板塔结合  -  四河', '99.5万', '单价17003元/平米')
('https://image1.ljcdn.com/510100-inspection/test-920acced-47e6-495d-b333-e59d0aa67c78.png.296x216.jpg', '麓山国际solo清水套二，看湖区，视野好', '麓山国际SOLO公寓  | 2室2厅 | 64.67平米 | 南 | 其他 | 有电梯', '中楼层(共10层)2010年建塔楼  -  麓山', '108万', '单价16701元/平米')
('https://image1.ljcdn.com/510100-inspection/test-715df417-84a3-4f4e-849d-ef36e1c021c4.png.296x216.jpg', '天府新区  装修    带入户花园', '南阳盛世二期  | 3室2厅 | 89.02平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2011年建板塔结合  -  南湖', '145万', '单价16289元/平米')
('https://image1.ljcdn.com/510100-inspection/test-20449369-9028-46b3-a0a7-2cddcbfc28ff.png.296x216.jpg', '麓山国际solo公寓，清水套二，通气，带20平阳台', '麓山国际SOLO公寓  | 2室1厅 | 63.12平米 | 东 | 其他 | 有电梯', '低楼层(共10层)塔楼  -  麓山', '105万', '单价16635元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f4a879d6-8709-45d2-805f-71d7057e28de.png.296x216.jpg', '双华麓港，套四双卫，户型方正，无浪费空间', '双华麓港  | 4室2厅 | 124.54平米 | 西 | 其他 | 有电梯', '中楼层(共26层)2009年建板塔结合  -  南湖', '170万', '单价13651元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bcf73b81-df75-402e-b15b-0fe4871dcb72.png.296x216.jpg', '天府新区，南阳锦城，套二带阳台', '南阳锦城  | 2室1厅 | 83.25平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2008年建板塔结合  -  南湖', '118万', '单价14175元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e9759004-53b5-4457-b39d-3120b348291c.png.296x216.jpg', '天府新区 南阳锦城 套三双卫 有装修 看房提前预约', '南阳锦城  | 3室2厅 | 110.36平米 | 北 | 精装 | 无电梯', '中楼层(共6层)2008年建板塔结合  -  南湖', '146万', '单价13230元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c567ed94-46f2-4c12-9ff3-92d439fc35f8.png.296x216.jpg', '天府新区 南阳盛世 小户型通透套二', '南阳盛世  | 2室1厅 | 63.6平米 | 南 | 简装 | 有电梯', '低楼层(共28层)2011年建板塔结合  -  南湖', '110万', '单价17296元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7136691a-bde1-4dce-8e6c-13b04e2ad1ac.png.296x216.jpg', '府河音乐花园，套三，中庭位置，高楼层。', '府河音乐花园  | 3室2厅 | 132.36平米 | 西南 | 简装 | 无电梯', '高楼层(共6层)2001年建板楼  -  华阳', '155万', '单价11711元/平米')
('https://image1.ljcdn.com/510100-inspection/test-47df890a-2163-4833-9d7c-169ed91280f3.png.296x216.jpg', '蜀郡精装套四 优质户型 带花园车位', '蜀郡  | 4室2厅 | 156.64平米 | 南 | 其他 | 无电梯', '低楼层(共4层)2010年建板楼  -  华阳', '320万', '单价20430元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d4425deb-8073-4f79-b923-964a8254c97b.png.296x216.jpg', '华阳滨河花园临河一楼带花园采光好', '华阳滨河花园  | 4室2厅 | 157.13平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2003年建板塔结合  -  华阳', '230万', '单价14638元/平米')
('https://image1.ljcdn.com/510100-inspection/test-25add4fe-f6fd-41cf-980f-70463750aaba.png.296x216.jpg', '天府新区 清水洋房 低楼层 带花园 位置中间', '蜀郡  | 4室2厅 | 175.38平米 | 南 | 毛坯 | 无电梯', '低楼层(共4层)2010年建板楼  -  华阳', '320万', '单价18247元/平米')
('https://image1.ljcdn.com/510100-inspection/test-60f9b99e-8555-475e-a3d1-b48de3db8c7f.png.296x216.jpg', '新鸿基清水大套四，大阳台，大入户', '新鸿基悦城  | 4室1厅 | 203平米 | 西 西北 | 其他 | 有电梯', '高楼层(共31层)2015年建板塔结合  -  海洋公园', '315万', '单价15518元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f24ec6f4-8cfb-4795-9c77-ef79f1a27e35.png.296x216.jpg', '南阳锦城 清水错层三室两厅一厨两卫 小区环境适合居住', '南阳锦城  | 3室2厅 | 151.43平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2008年建板塔结合  -  南湖', '208万', '单价13736元/平米')
('https://image1.ljcdn.com/510100-inspection/test-efe821be-2a45-4080-b1ab-d1a6951a3952.png.296x216.jpg', '华阳滨河花园 精装修 套三双卫 中间楼层', '华阳滨河花园  | 3室1厅 | 112.27平米 | 西南 | 其他 | 无电梯', '中楼层(共6层)2003年建板塔结合  -  华阳', '145万', '单价12916元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7017c262-93f2-49be-862f-05aeea1cb2ba.png.296x216.jpg', '南湖国际社区清水套三不临街带阳台', '南湖国际社区一期  | 3室2厅 | 114平米 | 北 | 其他 | 有电梯', '高楼层(共34层)2010年建塔楼  -  南湖', '212万', '单价18597元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7dc02552-a836-42c0-abb4-730c79d52946.png.296x216.jpg', '鸿阁新座，标准套二，采光好，满两年，重新装修', '鸿阁新座  | 2室1厅 | 58.52平米 | 西 | 其他 | 有电梯', '中楼层(共29层)2013年建板塔结合  -  四河', '105万', '单价17943元/平米')
