('https://image1.ljcdn.com/510100-inspection/test-bb5bc628-e1c2-4253-86b3-fef603380145.png.296x216.jpg', '此房满两年，低楼层， 小区刷卡进入', '交大庭院  | 3室2厅 | 105.43平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1999年建板楼  -  五大花园', '135万', '单价12805元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c78ab26e-56df-4c98-8233-5cc5e20cfd21.png.296x216.jpg', '蓝光诺丁山 居家套四 有家具家电 有装修 带入户花园', '蓝光诺丁山  | 4室2厅 | 147.21平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  草金立交', '200万', '单价13587元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b5c67bde-6d1b-47d7-af1c-2522a10c08d2.png.296x216.jpg', '标准套二，有装修，对中庭，视野开阔', '维港  | 2室2厅 | 79.7平米 | 西南 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  丽都', '157万', '单价19699元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c5271722-7285-41c2-8eb2-9f99f1bad55c.png.296x216.jpg', '武侯区武侯立交 大悦城武侯万达 置信巴厘岛精装套三', '置信巴厘岛A区  | 3室2厅 | 86.78平米 | 东南 | 精装 | 有电梯', '中楼层(共13层)2008年建板楼  -  武侯立交', '180万', '单价20743元/平米')
('https://image1.ljcdn.com/510100-inspection/test-06b6f6e2-44f5-4430-a2f1-5e2c56aff4d7.png.296x216.jpg', '首航欣程  不临街 标准套四双卫', '首航欣程  | 4室1厅 | 131.16平米 | 西北 | 其他 | 有电梯', '中楼层(共32层)2014年建塔楼  -  棕北', '339万', '单价25847元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5f4f2567-f499-4221-81fb-cff27beb8a1f.png.296x216.jpg', '鹭岛国际二期 居家四房 四面中庭 有装修 有车位', '鹭岛国际一二期  | 4室2厅 | 189.01平米 | 西南 | 精装 | 有电梯', '中楼层(共14层)2006年建板楼  -  外双楠', '500万', '单价26454元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9c101d54-7c5c-4b84-867d-a71b49a10412.png.296x216.jpg', '置信品质 4居2卫2阳台 东北西南双面采光 一梯两户中庭', '丽都花园丽府  | 4室2厅 | 177.03平米 | 西南 | 精装 | 有电梯', '低楼层(共18层)2011年建板楼  -  丽都', '478万', '单价27002元/平米')
('https://image1.ljcdn.com/510100-inspection/test-96671237-0429-46b9-8a58-1e62e9387af5.png.296x216.jpg', '月光琉域 电梯套一 不临街 全明格局', '月光琉域  | 1室1厅 | 60.38平米 | 东北 | 精装 | 有电梯', '中楼层(共17层)2010年建板塔结合  -  双楠', '98万', '单价16231元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f4da35ce-5d32-432f-a022-d09192f7e273.png.296x216.jpg', '远鸿方程式套二 中间楼层 采光好 户型好 随时可以看房', '远鸿方程式  | 2室1厅 | 76平米 | 南 | 简装 | 有电梯', '高楼层(共9层)2003年建板楼  -  外双楠', '128万', '单价16843元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f886c637-cef1-48eb-9c89-255ccfd966f3.png.296x216.jpg', '中海锦城 四房二厅 中间楼层 前后不临街', '中海锦城二期  | 4室2厅 | 140.65平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2012年建板楼  -  簇桥', '280万', '单价19908元/平米')
('https://image1.ljcdn.com/510100-inspection/test-343a94bc-c4f8-40e6-b158-7b87e3f8f357.png.296x216.jpg', '鹭岛水晶公寓+子母车位+三面采光+空调地暖！！！', '鹭岛国际一二期  | 4室2厅 | 273.91平米 | 西北 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  外双楠', '700万', '单价25556元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bd3b5a27-6efa-4ae5-844a-5dd541942dcc.png.296x216.jpg', '都市金岸套三双卫户型方正南北通透', '都市金岸  | 3室2厅 | 117.56平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2005年建板塔结合  -  玉林', '220万', '单价18714元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e19370c1-b2d6-434f-bcf7-8d374c687a97.png.296x216.jpg', '绿地，海珀香庭精装跃层套一双卫双层标准层高舒适套一', '海珀香庭  | 1室2厅 | 88.65平米 | 东南 西北 | 精装 | 有电梯', '中楼层(共11层)2010年建板楼  -  红牌楼', '146万', '单价16470元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9c922fe6-c1f7-4b99-9298-234a4c5faff5.png.296x216.jpg', '外双楠，多层三室，有装修，楼层适中', '兰苑雅居  | 3室2厅 | 125.44平米 | 西 | 简装 | 无电梯', '中楼层(共6层)2003年建板楼  -  外双楠', '175万', '单价13951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-30b08159-f193-44ef-9bdf-8b9afb004f5e.png.296x216.jpg', '内双楠新上单位房套三 89m/130万。', '双楠教师公寓  | 3室1厅 | 89.39平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  双楠', '119万', '单价13313元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d2e7eb7f-6c2d-4aa6-9e89-26215ba9e326.png.296x216.jpg', '玲珑郡套四    装修    带阳台', '玲珑郡  | 4室2厅 | 125.65平米 | 南 北 | 其他 | 有电梯', '中楼层(共13层)2012年建板楼  -  簇桥', '245万', '单价19499元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e4322f1f-bc8e-417a-80bd-34d72843cb81.png.296x216.jpg', '楠宝石电梯套一 不临街 客厅带阳台', '楠宝石  | 1室1厅 | 58.81平米 | 南 | 其他 | 有电梯', '高楼层(共15层)2006年建板楼  -  双楠', '98万', '单价16664元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f5fc72ed-b2dc-4d1c-a0f0-afe6e9c7d945.png.296x216.jpg', '红楠港 标准套一  有装修 有家具家电', '红楠港  | 1室1厅 | 58.66平米 | 西南 | 其他 | 有电梯', '高楼层(共15层)2009年建板楼  -  红牌楼', '98万', '单价16707元/平米')
('https://image1.ljcdn.com/510100-inspection/test-67c9a9a3-605b-4bce-9a4f-2048d78d4139.png.296x216.jpg', '大学路12号 交通便利  小区环境干净舒适', '大学路12号  | 2室1厅 | 77.13平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1996年建板塔结合  -  川音', '170万', '单价22041元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ade33592-019e-4899-b486-f1f3469219d2.png.296x216.jpg', '棕苑巷7号小区  套三低楼层 南北朝向', '棕苑巷7号  | 3室1厅 | 69.81平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  棕北', '97万', '单价13895元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c7bb0642-e5d7-4a65-890a-e5ca9ded9833.png.296x216.jpg', '中华名园 套二 朝东 有装修有阳台', '中华名园二期  | 2室1厅 | 82.48平米 | 东 | 其他 | 有电梯', '高楼层(共16层)2009年建板楼  -  武侯立交', '150万', '单价18187元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ba114eb2-57d6-4608-9e1b-d408fbababf8.png.296x216.jpg', '套二带书房，对小区 户型方正，有装修', '武海中华锦绣  | 3室1厅 | 88.31平米 | 西南 | 精装 | 有电梯', '中楼层(共15层)2011年建板楼  -  草金立交', '168万', '单价19024元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8f711e63-0c34-44ab-9795-ca90278e9a9c.png.296x216.jpg', '优客联邦三期，两居室，对中庭不临街，户型方正', '优客联邦三期  | 2室1厅 | 74.63平米 | 西南 | 其他 | 有电梯', '中楼层(共18层)2012年建板楼  -  丽都', '143万', '单价19162元/平米')
('https://image1.ljcdn.com/510100-inspection/test-371fb738-a823-48f4-a286-5cc3529faf95.png.296x216.jpg', '多层套三  安静对中庭 采光好', '众合西景  | 3室2厅 | 93.2平米 | 东南 | 简装 | 无电梯', '中楼层(共6层)2003年建板楼  -  外双楠', '152万', '单价16310元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3266c338-09e4-49e3-a250-840d31d350c9.png.296x216.jpg', '红牌楼北街25小区 2室1厅 交通便利 小区环境干净舒适', '红牌楼北街25号院  | 2室1厅 | 56.09平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  高升桥', '72万', '单价12837元/平米')
('https://image1.ljcdn.com/510100-inspection/test-804a3254-d9f9-4666-95e2-a3013403edba.png.296x216.jpg', '郭家桥南街1号 套三单卫 普通装修 采光好', '郭家桥南街1号  | 3室2厅 | 96.5平米 | 北 | 其他', '高楼层(共6层)1998年建板楼  -  川大', '190万', '单价19690元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f3d82c1d-ec02-43c4-b515-ec541f4564eb.png.296x216.jpg', '对中庭朝南电梯套二，有装修，有家具家电', '丽景华庭一期  | 2室2厅 | 86.89平米 | 南 | 精装 | 有电梯', '中楼层(共12层)2003年建板楼  -  外双楠', '155万', '单价17839元/平米')
('https://image1.ljcdn.com/510100-inspection/test-04081711-d299-4fdd-a55e-020cde154c80.png.296x216.jpg', '蓝光诺丁山  精装套三双卫  看房方便  拎包入住', '蓝光诺丁山  | 3室2厅 | 124.01平米 | 东 | 精装 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  草金立交', '206万', '单价16612元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f0c82766-5e9e-4770-ba10-f38abdeec46b.png.296x216.jpg', '龙湾套四 带装修 低楼层 双阳台 双卫', '中海龙湾半岛  | 4室2厅 | 166.78平米 | 东北 | 精装 | 有电梯', '低楼层(共18层)2009年建板塔结合  -  龙湾', '400万', '单价23984元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2e1ed546-69c7-4333-ab98-b907bcd29245.png.296x216.jpg', '曼哈顿自然派平层套二带入户花园', '曼哈顿自然派  | 2室2厅 | 87.17平米 | 南 | 简装 | 有电梯', '高楼层(共19层)2005年建板楼  -  航空路', '140万', '单价16061元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a782b85e-a7f7-4c65-b360-7b9426f201af.png.296x216.jpg', '巴黎阳光套三双卫 带120平屋顶花园', '巴黎阳光  | 3室2厅 | 133.77平米 | 西 | 简装 | 无电梯', '高楼层(共7层)2003年建板塔结合  -  双楠', '199万', '单价14877元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cf7defa9-c15b-414f-9840-6b65ff6ce232.png.296x216.jpg', '首信首御  套三出售  无装修', '首信首御  | 3室2厅 | 92.14平米 | 东南 | 毛坯 | 有电梯', '低楼层(共17层)2013年建板楼  -  新双楠', '190万', '单价20621元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84129d1a-ed8c-41d9-aa11-837e41860c05.png.296x216.jpg', '一环边体院旁中楼层百货公司单位房', '菊乐路98号  | 1室2厅 | 51.9平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2000年建板塔结合  -  双楠', '72万', '单价13873元/平米')
('https://image1.ljcdn.com/510100-inspection/test-473fae80-6388-4165-b2c4-ef4e67bc9438.png.296x216.jpg', '中海锦城套二 精装修 客厅朝东', '中海锦城一期  | 2室2厅 | 84平米 | 东 | 精装 | 有电梯', '高楼层(共14层)2011年建板楼  -  簇桥', '155万', '单价18453元/平米')
('https://image1.ljcdn.com/510100-inspection/test-de8b5af8-c4c6-40c2-9765-d38ad44c9f08.png.296x216.jpg', '中华名园标准套三 精装修 看房方便', '中华名园二期  | 3室2厅 | 89.46平米 | 东南 | 精装 | 有电梯', '高楼层(共16层)2009年建板楼  -  武侯立交', '158万', '单价17662元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5a3fdd5f-4bae-4382-a3ff-06492f565a18.png.296x216.jpg', '7号线武侯大道站，户型方正，中间楼层，房东自住装修', '吉馨苑  | 2室1厅 | 74.38平米 | 东 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  五大花园', '115万', '单价15462元/平米')
('https://image1.ljcdn.com/510100-inspection/test-75e44296-b8f5-44f8-bc46-3a201c6da266.png.296x216.jpg', '武侯花园 中间楼层套三 采光良好', '武侯花园  | 3室2厅 | 165.07平米 | 东南 北 | 简装 | 无电梯', '中楼层(共5层)1998年建板楼  -  华西', '180万', '单价10905元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d65bcb02-2b0d-48b2-9d07-585ddacb5250.png.296x216.jpg', '金楠国际 标准套二 中间楼层 有装修', '金楠国际  | 2室2厅 | 87.15平米 | 东北 | 精装 | 有电梯', '中楼层(共11层)2008年建板楼  -  红牌楼', '141万', '单价16180元/平米')
('https://image1.ljcdn.com/510100-inspection/test-929e008e-5be7-4ad2-b6dc-4c9f5c5a68a1.png.296x216.jpg', '清荷苑  清水房 套四双卫 一梯两户', '清荷苑  | 4室2厅 | 157.89平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2000年建板楼  -  五大花园', '255万', '单价16151元/平米')
('https://image1.ljcdn.com/510100-inspection/test-12fe0947-bad3-4309-b423-03b7f7a66615.png.296x216.jpg', '武侯区三环外武侯立交12年小区带装修套三出售', '天际首府  | 3室1厅 | 116.45平米 | 西南 | 其他 | 有电梯', '低楼层(共13层)2012年建塔楼  -  草金立交', '175万', '单价15028元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4dcd276e-db7f-448b-acc9-23d2de80d757.png.296x216.jpg', '绿化园林小区 套二直接入住 不临街', '锦宏骏苑南区  | 2室2厅 | 73.34平米 | 西北 | 其他 | 有电梯', '低楼层(共11层)2004年建板楼  -  川音', '168万', '单价22908元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8a5c779b-1c0b-42e9-9bab-98ba729dd53b.png.296x216.jpg', '玉门石油管理局   标准套二   简单装修', '玉门石油管理局  | 2室2厅 | 83.48平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  五大花园', '98万', '单价11740元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f83a0add-699c-44a1-ba1a-57ed4861c8a7.png.296x216.jpg', '不临街，小套二，带装修，采光好', '中铁骑士公馆  | 2室2厅 | 69.97平米 | 西北 | 其他 | 有电梯', '高楼层(共18层)2013年建板楼  -  新双楠', '158万', '单价22582元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e3f4ecd5-c2ac-4ba8-a179-a93446438211.png.296x216.jpg', '鹭岛国际三期套二，日式装修，不临街', '鹭岛国际三期  | 2室1厅 | 84.57平米 | 北 | 其他 | 有电梯', '低楼层(共11层)2010年建板楼  -  外双楠', '180万', '单价21285元/平米')
('https://image1.ljcdn.com/510100-inspection/test-833dc7cc-a849-4a73-bb54-8dcc38f44447.png.296x216.jpg', '中华锦绣 套二 有入户 客厅有阳台', '武海中华锦绣  | 2室1厅 | 85.81平米 | 东南 | 精装 | 有电梯', '中楼层(共15层)2011年建板楼  -  草金立交', '135万', '单价15733元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bc640bf8-907f-419f-b20f-7cab5e763e29.png.296x216.jpg', '华宇楠苑标准套二，明厨明卫。端头位置', '华宇楠苑  | 2室1厅 | 68.32平米 | 北 | 毛坯 | 有电梯', '低楼层(共11层)2012年建板塔结合  -  新双楠', '140万', '单价20492元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8de767e3-162f-453b-bf58-1e4b940ed1c1.png.296x216.jpg', '观南上域，标准套一，明厨明卫，户型方正', '观南上域  | 1室1厅 | 45.26平米 | 北 | 精装 | 有电梯', '高楼层(共24层)2008年建塔楼  -  桐梓林', '108万', '单价23863元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e68023fd-8775-4270-907f-1aa950d0415e.png.296x216.jpg', '中铁瑞城三号线对中庭套一，清水房', '中铁瑞城三号线  | 1室2厅 | 55.55平米 | 东南 | 其他 | 有电梯', '中楼层(共12层)2012年建板楼  -  新双楠', '105万', '单价18902元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3d5fbe43-51ac-4c33-a2e5-930c0f0134de.png.296x216.jpg', '胜利新村16号  交通便利 标准套三 朝向好 采光充足', '胜利新村16号  | 3室2厅 | 100.48平米 | 东 | 其他', '高楼层(共7层)2000年建板楼  -  川音', '128万', '单价12739元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e51e1ad5-16ac-4850-9710-00b395a3f2d2.png.296x216.jpg', '纳米爱邸端头房源，有装修，不临街', '纳米爱邸  | 1室0厅 | 45.95平米 | 西 | 其他 | 有电梯', '高楼层(共17层)2005年建板塔结合  -  双楠', '59万', '单价12841元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5d206fb6-ec4c-4db9-98a7-5b2c4be1a96f.png.296x216.jpg', '户型方正 无浪费 采光充足 三居户型实用', '华宇静苑二期  | 3室2厅 | 86.21平米 | 西 | 其他 | 有电梯', '中楼层(共11层)2014年建板楼  -  新双楠', '180万', '单价20880元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b86a7233-ecd8-49aa-95e7-ab992dc48287.png.296x216.jpg', '户型方正，交通便捷，西南朝向，对中庭。', '红牌楼广场  | 3室2厅 | 116.33平米 | 西南 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  丽都', '255万', '单价21921元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6e4a0a9a-34ee-427a-a7d6-755e195f5d70.png.296x216.jpg', '锦江新园 ，套三双卫，办公装修，户型方正', '锦江新园  | 3室1厅 | 150.76平米 | 北 | 其他 | 有电梯', '低楼层(共22层)2002年建塔楼  -  川音', '240万', '单价15920元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fede59b1-d40c-4946-a706-bf7fb6573b58.png.296x216.jpg', '置信品质+客厅主卧室朝南+对中庭+户型通透', '丽都花园丽府  | 3室2厅 | 125.77平米 | 西南 | 其他 | 有电梯', '高楼层(共15层)2011年建板楼  -  丽都', '340万', '单价27034元/平米')
('https://image1.ljcdn.com/510100-inspection/test-77493924-4c31-499d-b566-cd8a457dfcf1.png.296x216.jpg', '加怡名城 朝南 有装修 标准套一', '加怡名城  | 1室1厅 | 51.39平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2009年建板塔结合  -  龙湾', '82万', '单价15957元/平米')
('https://image1.ljcdn.com/510100-inspection/test-182f22f8-309a-4acc-9de7-6eda84a821c0.png.296x216.jpg', '朝南套二 有装修 户型方正 带双阳台。', '泊景湾  | 2室1厅 | 86.66平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2008年建板塔结合  -  龙湾', '210万', '单价24233元/平米')
('https://image1.ljcdn.com/510100-inspection/test-263d838d-89bd-47bf-9716-1a89fe204f8b.png.296x216.jpg', '绿地圣路易名邸 套二 有装修 出售', '绿地圣路易名邸一期  | 2室2厅 | 86.5平米 | 北 | 精装 | 有电梯', '低楼层(共12层)2012年建板塔结合  -  簇桥', '152万', '单价17573元/平米')
('https://image1.ljcdn.com/510100-inspection/test-99ebcc22-49e4-4543-86b5-a89b28d6f945.png.296x216.jpg', '多层套二低楼层，安静不临街，满五唯一', '双楠教师公寓  | 2室1厅 | 88.2平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  双楠', '110万', '单价12472元/平米')
