('https://image1.ljcdn.com/510100-inspection/test-9e04afb0-05c1-4e71-8b48-2d1dfc41be52.png.296x216.jpg', '不临街 中间楼层 对中庭 装修套三 带地暖 满2年', '公园大道  | 3室1厅 | 131.7平米 | 北 | 精装 | 有电梯', '低楼层(共23层)2012年建板塔结合  -  光华大道沿线', '184万', '单价13972元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2b811c1e-7721-4d85-b44e-f826c8101503.png.296x216.jpg', '8号公馆套二单卫 满两年 房东诚心  居家装修 拎包入住', '8号公馆  | 2室2厅 | 82.28平米 | 南 | 其他 | 有电梯', '中楼层(共30层)2014年建板塔结合  -  光华大道沿线', '105万', '单价12762元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b1a46513-cf1a-4fbb-846f-5440521e558c.png.296x216.jpg', '光华国际套三双卫精装带家具家电', '光华国际  | 3室2厅 | 104.33平米 | 西南 | 精装 | 有电梯', '中楼层(共32层)2013年建板塔结合  -  温江新城', '150万', '单价14378元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f0f39be6-920d-44d4-8065-98d0e233ea8d.png.296x216.jpg', '棕榈长滩 装修大平层 套三三卫 可拎包入住', '棕榈长滩  | 3室2厅 | 175平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2013年建板塔结合  -  光华大道沿线', '320万', '单价18286元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3018eb51-046b-40a5-81e9-6cdf37d02d84.png.296x216.jpg', '居家套二对中庭，户型方正，满两年。', '大庆蜀苑  | 2室2厅 | 87.52平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  国色天乡', '66万', '单价7542元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7af2c21a-a893-480b-bb45-71566c96ee9f.png.296x216.jpg', '温江老城区静水香榭清水房套二。', '静水香榭  | 2室1厅 | 85.1平米 | 东南 | 毛坯 | 无电梯', '中楼层(共6层)2008年建板楼  -  温江老城', '71万', '单价8344元/平米')
('https://image1.ljcdn.com/510100-inspection/test-615f4a18-2d7f-4156-b437-709903933675.png.296x216.jpg', '装修大套二。环境优美。带阳台。', '水韵华府  | 2室2厅 | 79.07平米 | 北 | 其他 | 有电梯', '中楼层(共25层)2012年建板塔结合  -  光华大道沿线', '100万', '单价12648元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3a92b1c3-1950-42e5-94f6-18a4656771ec.png.296x216.jpg', '蓝光四叶城   套三双卫   装修带地暖', '蓝光四叶城  | 3室2厅 | 109.77平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  国色天乡', '105万', '单价9566元/平米')
('https://image1.ljcdn.com/510100-inspection/test-051962ca-9bfd-4b03-bb6c-e21a07825a30.png.296x216.jpg', '春江青龙湾     普通装修     空置', '春江青龙湾  | 2室1厅 | 80.48平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2012年建板塔结合  -  国色天乡', '80万', '单价9941元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e8373d90-a62a-443b-b67d-f3c63ee27096.png.296x216.jpg', '西花汀中间楼层，装修大套三拎包入住。', '西花汀  | 3室2厅 | 141.7平米 | 北 | 简装 | 有电梯', '中楼层(共20层)2008年建板楼  -  珠江新城', '183万', '单价12915元/平米')
('https://image1.ljcdn.com/510100-inspection/test-31ddbf2a-69a6-43fe-b488-41abd57c3b29.png.296x216.jpg', '仁和春天清水套三，可以看江安河', '春天大道  | 3室2厅 | 129.85平米 | 东 | 其他 | 有电梯', '中楼层(共20层)2009年建板塔结合  -  光华大道沿线', '220万', '单价16943元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4826bbbf-072c-4161-830d-23214b5ed10d.png.296x216.jpg', '德坤竹韵坊装修套二，户型方正，采光好', '德坤竹韵坊  | 2室2厅 | 76.5平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2007年建板塔结合  -  温江老城', '78万', '单价10197元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d66bc36a-bc95-4c99-8c9f-5173d5800bb4.png.296x216.jpg', '温江新城装修三室，双卫，不临街，视野开阔', '塞纳河畔  | 3室2厅 | 116.49平米 | 西北 | 其他 | 有电梯', '高楼层(共6层)2006年建板塔结合  -  温江新城', '150万', '单价12877元/平米')
('https://image1.ljcdn.com/510100-inspection/test-28c05399-2fc6-4e2d-9267-d65cd332f022.png.296x216.jpg', '佳兆业丽晶港，套四双卫带车位，装修房', '佳兆业丽晶港  | 4室2厅 | 120.13平米 | 西南 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  珠江新城', '180万', '单价14984元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dc3dbab9-811c-4f94-abc1-d26c42172e3c.png.296x216.jpg', '芙蓉田园小区 2室2厅 带产权车位 小区环境干净舒适', '芙蓉田园  | 2室2厅 | 85.6平米 | 东 | 其他 | 有电梯', '高楼层(共24层)板塔结合  -  芙蓉古城', '88万', '单价10281元/平米')
