('https://image1.ljcdn.com/510100-inspection/test-2895d2af-f5a8-4878-b3ba-329c510a4f6b.png.296x216.jpg', '校园路交大卡布里城标准装修套一', '交大卡布里城  | 1室1厅 | 50.59平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2008年建板塔结合  -  犀浦', '62万', '单价12256元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f8f78a0f-5f1c-482f-9d46-60aacb13a08e.png.296x216.jpg', '中铁瑞景茗城，有装修，看房提前约', '中铁瑞景茗城  | 4室2厅 | 120.68平米 | 东北 | 其他 | 有电梯', '低楼层(共31层)2012年建板楼  -  郫县城区', '125万', '单价10358元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4ffb0d04-6806-497f-8952-b3638d8911f3.png.296x216.jpg', '西郡兰庭+标准套二+产权满两年无增值税', '西郡兰庭  | 2室1厅 | 83.45平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)2010年建板楼  -  犀浦', '108万', '单价12942元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ad2d3210-313e-48cc-a343-ddf63c42b616.png.296x216.jpg', '区御景有装修 户型方正 看房有钥匙 中庭位置', '西区御景  | 2室1厅 | 76.36平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  红光', '76万', '单价9953元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e0be7212-1a6e-404a-924e-04d41668d0ff.png.296x216.jpg', '成外雅庭套三双卫，次卧带阳台，主卧带飘窗', '成外雅庭  | 3室2厅 | 119.68平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  成外', '125万', '单价10445元/平米')
('https://image1.ljcdn.com/510100-inspection/test-87915a91-c0ae-41a1-97d5-b1c77844ec62.png.296x216.jpg', '今日花园+套三双卫+主卧带阳台+卧室有飘窗+居家装修', '今日花园  | 3室2厅 | 113.55平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2006年建板塔结合  -  犀浦', '120万', '单价10569元/平米')
('https://image1.ljcdn.com/510100-inspection/cfd4c47f-036b-4458-a28c-8ce483b13587.jpg.296x216.jpg', '龙湖弗莱明戈二期装修跃层   东南朝向对中庭', '龙湖弗莱明戈二期  | 3室2厅 | 81.49平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2012年建板塔结合  -  郫县城区', '125万', '单价15340元/平米')
('https://image1.ljcdn.com/510100-inspection/16edaf6a-c942-4e6a-b7f3-68595186d76c.JPG.296x216.jpg', '交大樟菊园清水套三单卫，对中庭，通透户型！', '交大万嘉樟菊园  | 3室2厅 | 104.64平米 | 西北 | 毛坯 | 有电梯', '中楼层(共26层)2014年建塔楼  -  犀浦', '120万', '单价11468元/平米')
('https://image1.ljcdn.com/510100-inspection/f567a030-dbf0-420f-8dd1-312e3eb7983e.JPG.296x216.jpg', '装修套三、客厅带阳台、业主放了钥匙、可随时看房', '中铁塔米亚  | 3室1厅 | 105.16平米 | 东北 | 精装 | 有电梯', '低楼层(共18层)2011年建板塔结合  -  成外', '150万', '单价14264元/平米')
('https://image1.ljcdn.com/510100-inspection/d8157a5c-311f-444d-859f-ecbcc9aa2370.jpg.296x216.jpg', '泰立观筑 3室1厅 120万', '泰立观筑  | 3室1厅 | 91.5平米 | 西北 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  郫县城区', '120万', '单价13115元/平米')
('https://image1.ljcdn.com/510100-inspection/test-05971c63-348e-453d-8fd2-43ecbc7bd0b7.png.296x216.jpg', '中铁塔米亚清水套三双卫采光好。', '中铁塔米亚  | 3室1厅 | 114.48平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2011年建板塔结合  -  成外', '142万', '单价12404元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f33db41e-844d-4643-b77d-1cd5bd716684.png.296x216.jpg', '锦绣西苑二期 +装修套一+满两年', '锦绣西苑二期  | 1室1厅 | 62平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2010年建塔楼  -  郫县万达', '56万', '单价9033元/平米')
('https://image1.ljcdn.com/510100-inspection/test-785643e3-326f-47e1-a15d-3a742fe08b97.png.296x216.jpg', '西江月装修套三、有钥匙可以看房', '西江月  | 3室2厅 | 125.94平米 | 西南 | 简装 | 有电梯', '中楼层(共17层)2013年建塔楼  -  成外', '200万', '单价15881元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0105c59d-cc89-4577-868c-58fbcd6f5066.png.296x216.jpg', '蜀都新天地 装修套二出售 带家具家电', '蜀都新天地  | 2室1厅 | 89.63平米 | 东南 | 其他 | 有电梯', '中楼层(共27层)2012年建塔楼  -  郫县万达', '89万', '单价9930元/平米')
('https://image1.ljcdn.com/510100-inspection/98790b0d-dcfc-4853-8f25-105ee975507b.jpg.296x216.jpg', '名城左岸装修套二  客厅有阳台 有点临街', '正成名城左岸  | 2室2厅 | 86.63平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  红光', '87万', '单价10043元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eb7fe896-560c-466c-8bcf-e53ac5fd1b57.png.296x216.jpg', '采光好+有家具家电+装修房+看房预约', '书香府邸  | 1室1厅 | 53.36平米 | 东 | 其他 | 有电梯', '高楼层(共16层)2009年建板楼  -  成外', '80万', '单价14993元/平米')
('https://image1.ljcdn.com/510100-inspection/f656fcb3-bb52-43f6-86bb-19223412c03e.jpg.296x216.jpg', '安德镇小区属于园林小区，套三装修未住人，宜居宜家', '杜鹃城  | 3室2厅 | 121平米 | 东 | 其他', '中楼层(共6层)2017年建板楼  -  郫县城区', '78万', '单价6447元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a5c032e0-5a47-4793-986c-0bc786581dc7.png.296x216.jpg', '泰立观筑   标准套三   居家装修', '泰立观筑  | 3室2厅 | 89.27平米 | 东 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  郫县城区', '95万', '单价10642元/平米')
('https://image1.ljcdn.com/510100-inspection/fee05794-892a-40e0-9105-a562b3d7dff9.jpg.296x216.jpg', '中铁瑞景茗城一期+套三清水房+低楼层', '中铁瑞景茗城  | 3室2厅 | 115.82平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2012年建板楼  -  郫县城区', '127万', '单价10966元/平米')
('https://image1.ljcdn.com/510100-inspection/test-446a5ec3-5877-4259-a122-03bb55575cae.png.296x216.jpg', '中铁塔米亚精装套二，带家具家电，保养好，满两年', '中铁塔米亚  | 2室1厅 | 75.33平米 | 西南 | 精装 | 有电梯', '高楼层(共17层)2011年建板塔结合  -  成外', '110万', '单价14603元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2cda5ce7-d2d9-476a-93fd-298a3f8f3788.png.296x216.jpg', '派克公馆 中间楼层套三 客厅带阳台 户型方正 不临街', '派克公馆  | 3室2厅 | 132.66平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)2011年建板塔结合  -  成外', '195万', '单价14700元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f142b90f-67ce-4ae0-b7c4-5cb56efaf1e3.png.296x216.jpg', '交大卡布里城 2室2厅 104万', '交大卡布里城  | 2室2厅 | 89.83平米 | 东南 | 简装 | 有电梯', '低楼层(共25层)2009年建板楼  -  犀浦', '104万', '单价11578元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d58c0413-f511-440b-8092-c4673d8aa37e.png.296x216.jpg', '此房标准三居室，清水房，前后对流', '傲城  | 3室1厅 | 87.69平米 | 西南 | 毛坯 | 有电梯', '中楼层(共31层)2015年建板楼  -  犀浦', '146万', '单价16650元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3725e4e2-a2e9-4781-903c-344b127f1555.png.296x216.jpg', '华润橡树湾a，套三双卫，有装修', '华润橡树湾A区  | 3室2厅 | 79平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2013年建板塔结合  -  橡树湾', '150万', '单价18988元/平米')
