('https://image1.ljcdn.com/510100-inspection/test-9bbd51cb-92b9-402c-8438-0615cb5db19d.png.296x216.jpg', '锦城苑套三 小区环境优美 安静', '锦城苑  | 3室2厅 | 131.58平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  茶店子', '180万', '单价13680元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4b38e603-f75e-436f-84b2-e9c976dcb090.png.296x216.jpg', '金沙别致，户型方正，套二单卫，有装修，', '金沙别致  | 2室1厅 | 71.17平米 | 西北 | 简装 | 有电梯', '低楼层(共23层)2011年建板楼  -  蜀汉路', '120万', '单价16862元/平米')
('https://image1.ljcdn.com/510100-inspection/test-254529e8-7db6-498d-9092-dfc05dbf2b17.png.296x216.jpg', '清水二室 有部分装修 有阳台 有赠送 满五唯一', '西岸观邸  | 2室1厅 | 86.97平米 | 东南 | 毛坯 | 有电梯', '低楼层(共30层)2013年建板塔结合  -  国宾', '144万', '单价16558元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d937cbd0-928f-4e46-983e-791b034c1412.png.296x216.jpg', '锦西国际 跃层套二 不临街 下班可看', '锦西国际  | 2室1厅 | 22.67平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2008年建板塔结合  -  沙湾', '48万', '单价21174元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9f7677f8-781b-4af5-887e-c7ebb9da9c45.png.296x216.jpg', '幸福彼岸，大套三双卫，户型方正，住家装修', '幸福彼岸  | 3室2厅 | 129.85平米 | 西 | 简装 | 有电梯', '低楼层(共22层)2007年建塔楼  -  五块石', '140万', '单价10782元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0866ed5f-81cb-4e29-bfce-6fb49635435f.png.296x216.jpg', '中上楼层，有装修 有阳台 不临街 户型方正', '锦城苑  | 3室2厅 | 136.38平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1999年建塔楼  -  茶店子', '188万', '单价13786元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ddcdbb3f-6fa0-46bb-82d6-5236dd78ae25.png.296x216.jpg', '套三双卫 客厅有阳台 对中庭 满五年', '新世界丽晶花园  | 3室2厅 | 105.61平米 | 西 | 简装 | 有电梯', '低楼层(共12层)2003年建板楼  -  通惠门', '210万', '单价19885元/平米')
('https://image1.ljcdn.com/510100-inspection/test-882ba81e-cc1a-42e3-9ee9-5ba3991a3510.png.296x216.jpg', '凌远花园  标准套二  户型方正', '凌远花园  | 2室2厅 | 85.11平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  沙湾', '126万', '单价14805元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bdbca5a3-de19-4953-a232-6919e985e0bd.png.296x216.jpg', '千和馨城 两室两厅单卫 带装修 有阳台', '千和馨城  | 2室1厅 | 63.98平米 | 东南 | 其他 | 有电梯', '高楼层(共12层)2006年建板塔结合  -  蜀汉路', '102万', '单价15943元/平米')
('https://image1.ljcdn.com/510100-inspection/test-97039875-d3c6-4da6-809a-eaee315805e5.png.296x216.jpg', '幸福彼岸装修空置套三保养好；中间楼层采光好', '幸福彼岸  | 3室2厅 | 110.78平米 | 东南 南 | 精装 | 有电梯', '低楼层(共22层)2007年建板楼  -  五块石', '138万', '单价12458元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b3618807-ebd5-4a9b-a676-a128ce60c88e.png.296x216.jpg', '光荣西路 套二 有装修 客厅带阳台', '光荣西路60号  | 2室2厅 | 75.82平米 | 东北 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  沙湾', '94.9万', '单价12517元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f43bc273-4f07-489f-92d1-842e7cbd0ec8.png.296x216.jpg', '欧波罗+电梯房+标准套一+有装修', '欧波罗  | 1室1厅 | 41.75平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)2008年建板楼  -  九里堤', '61万', '单价14611元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d9804b4-97dc-4b62-b092-85da79d524bb.png.296x216.jpg', '一环内小区环境好，可停车，户型方正。适合宜居', '抚琴东南路1号  | 2室1厅 | 55.63平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2001年建板塔结合  -  通惠门', '70万', '单价12584元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72a006e4-e42d-45ea-9766-4bde31df395e.png.296x216.jpg', '一环内电梯套二，户型方正，采光好，', '荷里活  | 2室1厅 | 45.83平米 | 北 | 其他 | 有电梯', '中楼层(共24层)2012年建板楼  -  花牌坊', '133万', '单价29021元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7770ee8c-4c8c-4185-b063-f16dd735d449.png.296x216.jpg', '澳林春天套三出售 提前预约均可看！', '澳林春天  | 3室2厅 | 104平米 | 东南 东北 | 其他 | 有电梯', '高楼层(共18层)暂无数据  -  一品天下', '172万', '单价16539元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ced4d399-e47a-42ec-9ad5-cd15ccb23d58.png.296x216.jpg', '燕宇康品+电梯套二+有装修+不临街', '燕宇康品  | 2室1厅 | 78.37平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2009年建塔楼  -  抚琴小区', '144万', '单价18375元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fc6fc37c-e9df-4a85-8b24-cb228900de36.png.296x216.jpg', '锦城名都，对小区中庭，不临街，居家装修', '锦城名都  | 2室2厅 | 81.06平米 | 东北 | 其他 | 有电梯', '高楼层(共33层)2009年建板塔结合  -  营门口', '173万', '单价21343元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1e0c475a-b905-45d5-9a92-6966a8941120.png.296x216.jpg', '铁路新村 套三 有装修 采光好 南北朝向 安静不临街', '铁路新村  | 3室1厅 | 85.08平米 | 南 | 简装', '高楼层(共7层)暂无数据  -  沙湾', '102万', '单价11989元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf68716f-7cb3-4b09-a289-a83f397526c7.png.296x216.jpg', '互利西一巷8号 套二 不临街 采光不错', '互利西一巷8号  | 2室1厅 | 47.52平米 | 东 | 简装 | 无电梯', '高楼层(共6层)板楼  -  营门口', '50.6万', '单价10630元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a0398f7c-c837-4477-b538-ab0b512f223b.png.296x216.jpg', '满两年 采光充足 有装修 保养不错', '外化成五里墩东二巷10号  | 2室1厅 | 68平米 | 东南 | 其他', '中楼层(共7层)板楼  -  西南交大', '83万', '单价12206元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b128b59-2c1c-4ca9-b88f-8d2b6848c362.png.296x216.jpg', '九里堤地铁口B出口木综厂电梯大套二，', '木综厂宿舍  | 2室1厅 | 92.63平米 | 东 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  金牛万达', '128万', '单价13819元/平米')
('https://image1.ljcdn.com/510100-inspection/test-04302791-72bf-46d6-8fd5-2e01502032ac.png.296x216.jpg', '龙湖朝东套二 保养好 可直接住', '龙湖北城天街二期  | 2室2厅 | 80.18平米 | 东 | 其他 | 有电梯', '高楼层(共23层)2013年建塔楼  -  五块石', '155万', '单价19332元/平米')
