('https://image1.ljcdn.com/510100-inspection/test-3d5852f0-86d8-4c69-8ae2-daf982f8e004.png.296x216.jpg', '东润风尚标注套二，采光好，楼层好', '东润风尚  | 2室2厅 | 60.99平米 | 西南 | 简装 | 有电梯', '低楼层(共12层)2006年建塔楼  -  静居寺', '101万', '单价16561元/平米')
('https://image1.ljcdn.com/510100-inspection/test-85e587a8-e2b4-4d62-8481-3e9598b1f975.png.296x216.jpg', '国信滨河雅居新上电梯房套三双卫', '国信滨河雅居  | 3室2厅 | 141.3平米 | 东南 | 其他 | 有电梯', '高楼层(共9层)2003年建板楼  -  三官堂', '310万', '单价21940元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b70abd11-0f71-4cef-b6a0-1cc74a97b474.png.296x216.jpg', '交大绿岭套二，有装修，带阳台。', '交大绿岭一期  | 2室1厅 | 68.25平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2009年建塔楼  -  静居寺', '118万', '单价17290元/平米')
('https://image1.ljcdn.com/510100-inspection/test-774364ac-87d6-4c45-ab27-ab837b17c0fd.png.296x216.jpg', '翡翠城五期套三双卫房屋出售  装修好 采光好', '翡翠城五期  | 3室2厅 | 90.33平米 | 西南 | 其他 | 有电梯', '高楼层(共32层)2011年建板楼  -  东湖', '268万', '单价29669元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7e4bab1d-ce4a-4d0b-81fb-a8392c0a3251.png.296x216.jpg', '精装修 莲花逸都套二客厅带阳台', '莲花逸都  | 2室1厅 | 71.34平米 | 东南 | 精装 | 有电梯', '高楼层(共34层)2009年建板塔结合  -  九眼桥', '130万', '单价18223元/平米')
('https://image1.ljcdn.com/510100-inspection/test-af3fd1ac-e07f-45f3-a1d4-af86c183b9f9.png.296x216.jpg', '蓉上坊二期 套二 有装修 看房预约', '蓉上坊二期  | 2室2厅 | 89.21平米 | 北 | 其他 | 有电梯', '低楼层(共25层)2010年建板塔结合  -  合江亭', '225万', '单价25222元/平米')
('https://image1.ljcdn.com/510100-inspection/test-95d0e377-0d15-4195-8820-8cf894cd3a2d.png.296x216.jpg', '绿地468公馆一期套三带天井户型', '绿地468公馆一期  | 3室2厅 | 102平米 | 西南 | 毛坯 | 有电梯', '中楼层(共29层)2015年建塔楼  -  三圣乡', '235万', '单价23040元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d597a35e-7e70-4376-8f27-257596868f8c.png.296x216.jpg', '九眼桥世纪朝阳清水套二，中间楼层', '世纪朝阳  | 2室2厅 | 91.48平米 | 西南 | 其他 | 有电梯', '中楼层(共26层)2005年建塔楼  -  九眼桥', '192万', '单价20989元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e5e2e7dc-314b-4ceb-8235-8cad97a43c00.png.296x216.jpg', '低楼层，套四朝小区，安静不临街！', '学道街42号  | 4室1厅 | 166.4平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2000年建暂无数据  -  盐市口', '390万', '单价23438元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b34fcb9b-418f-47de-98da-4900e4a7747a.png.296x216.jpg', '华都美林湾 三室两厅两卫 进门带超大入户客厅带双阳台', '华都美林湾  | 3室1厅 | 117平米 | 东南 | 其他 | 有电梯', '中楼层(共28层)2012年建板塔结合  -  三圣乡', '226万', '单价19317元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1a856a3f-9699-44e4-be71-85663783cbea.png.296x216.jpg', '国信滨河雅居新上套三双卫带花园', '国信滨河雅居  | 3室2厅 | 141.1平米 | 南 | 其他 | 有电梯', '低楼层(共7层)2003年建板楼  -  三官堂', '320万', '单价22679元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eed1ad17-1d7b-4673-a56c-7c5bdd86ad2a.png.296x216.jpg', '较场坝东街小区，套三，跃层，有装修', '较场坝东街67号  | 3室2厅 | 117.33平米 | 南 | 精装 | 无电梯', '高楼层(共7层)板楼  -  合江亭', '145万', '单价12359元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5c79e1f2-1c79-4d6c-ab65-d8f01917920d.png.296x216.jpg', '国润天骄套三，客厅带阳台，有装修', '国润天骄  | 3室2厅 | 104.8平米 | 南 | 其他 | 有电梯', '中楼层(共13层)2007年建板楼  -  莲花', '175万', '单价16699元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b0533752-a51d-4b05-8c2b-6b6ea6810b03.png.296x216.jpg', '锦江区九眼桥外滩标准三居室出售', '外滩  | 3室2厅 | 90.87平米 | 东北 | 精装 | 有电梯', '低楼层(共42层)2009年建板塔结合  -  九眼桥', '216万', '单价23771元/平米')
('https://image1.ljcdn.com/510100-inspection/test-74d1699f-38ad-431b-a008-c9264eec89b9.png.296x216.jpg', '户型方正，采光好，东南朝向，满五', '上东锦城A区  | 2室2厅 | 82.17平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2008年建板楼  -  蓝谷地', '112万', '单价13631元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b2aa4045-fb3c-44f7-a191-54b9c6492695.png.296x216.jpg', '电梯套二  户型方正   南北通透', '上海东韵  | 2室2厅 | 87.77平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2012年建板塔结合  -  攀成钢', '185万', '单价21078元/平米')
('https://image1.ljcdn.com/510100-inspection/test-938a8d4e-ea43-4b71-a675-feafd392e5e1.png.296x216.jpg', '美林湾套三户型，视野开阔，适合居家', '华都美林湾  | 3室2厅 | 131.48平米 | 西南 | 其他 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  三圣乡', '223万', '单价16961元/平米')
('https://image1.ljcdn.com/510100-inspection/test-69bfa852-860b-4fde-a519-0eea26a824b6.png.296x216.jpg', '标准套二带大阳台，明厨明卫采光好', '东城攻略  | 2室1厅 | 74.51平米 | 东北 | 其他 | 有电梯', '中楼层(共33层)2008年建板塔结合  -  九眼桥', '126万', '单价16911元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f8d03834-82cb-436a-8508-ff9a51a0f072.png.296x216.jpg', '卓锦城五期 套三对中庭 高层朝南', '卓锦城五期  | 3室2厅 | 87.99平米 | 西南 | 简装 | 有电梯', '高楼层(共33层)2012年建塔楼  -  卓锦城', '176万', '单价20003元/平米')
('https://image1.ljcdn.com/510100-inspection/test-63be997b-4ff7-48f6-807a-2eaca7f0db98.png.296x216.jpg', '成功红树林套三 有装修 可看房', '成功红树林  | 3室2厅 | 92.39平米 | 东 | 其他 | 有电梯', '低楼层(共33层)2014年建塔楼  -  东光小区', '180万', '单价19483元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1eca4c6b-fdea-4060-935f-2b0ae6ccef38.png.296x216.jpg', '标准套二户型，有装修，采光好。', '锦江城市花园三期  | 2室2厅 | 54.85平米 | 西北 | 其他 | 有电梯', '低楼层(共34层)2011年建塔楼  -  三圣乡', '96万', '单价17503元/平米')
