('https://image1.ljcdn.com/510100-inspection/test-96e02ce2-04f0-4862-bc65-c720c9250cfb.png.296x216.jpg', '套三双卫 主卧带阳台  此房满五年且唯一免个税', '东苑D区  | 3室2厅 | 135平米 | 西南 | 简装 | 有电梯', '低楼层(共26层)2009年建板楼  -  东苑', '248万', '单价18371元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ec128cbb-ef96-4187-a0ee-498895ab2fcd.png.296x216.jpg', '美岸临河大套四  带等面积大平台', '美年广场美岸  | 4室2厅 | 127.57平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2012年建板楼  -  新会展', '398万', '单价31199元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b6235068-20fd-400d-b188-27f955f13888.png.296x216.jpg', '新里维多利亚 不临街套二 居家装修 中高楼层 70年住宅', '新里维多利亚公寓  | 2室2厅 | 93.08平米 | 东 西 | 精装 | 有电梯', '高楼层(共13层)2005年建板楼  -  神仙树', '170万', '单价18264元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72f16db4-d99c-4968-b53a-6f6af29d9396.png.296x216.jpg', '大源套三双卫，视野开阔，采光充足', '尚郡  | 3室1厅 | 108平米 | 东 | 其他 | 有电梯', '高楼层(共29层)2014年建板塔结合  -  大源', '225万', '单价20834元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5b2293be-6b5b-4987-86e6-8361bb2d5aed.png.296x216.jpg', '精装套二改套一，中庭朝南，中间楼层采光好视野好', '南城都汇汇智园二期  | 2室1厅 | 89.39平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2010年建塔楼  -  市一医院', '172万', '单价19242元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6c34b385-387f-44e3-97e4-e87c4088103f.png.296x216.jpg', '东苑B区 套三单卫  中间楼层 位置安静', '东苑B区  | 3室2厅 | 105平米 | 北 | 毛坯 | 有电梯', '中楼层(共32层)2009年建塔楼  -  东苑', '233万', '单价22191元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8bd10e31-eae2-4a70-a11a-37aef9fb00d3.png.296x216.jpg', '不要让生活蹂躏了你的眉目与深情', '和贵时代巢  | 3室2厅 | 85.94平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)2006年建板楼  -  神仙树', '159万', '单价18502元/平米')
('https://image1.ljcdn.com/510100-inspection/test-68c50c03-4314-4b54-adc9-fd1227ffe8f0.png.296x216.jpg', '银都花园一期 中间楼层 南北朝向 套三单卫有装修', '银都花园怡苑一期  | 3室2厅 | 103.12平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2001年建板楼  -  紫荆', '180万', '单价17456元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5aed5e3d-8631-44ac-bc4f-5384e2f19eea.png.296x216.jpg', '高新南 对中庭不临街套一 采光好 户型方正 看房方便', '超洋花园  | 1室1厅 | 45.75平米 | 东南 | 其他 | 有电梯', '中楼层(共12层)2000年建塔楼  -  衣冠庙', '74万', '单价16175元/平米')
('https://image1.ljcdn.com/510100-inspection/93a332cc-45d9-40e6-8509-07e3c3b25f6d.jpg.296x216.jpg', '南区小区，中高楼层，有装修，如图所示，随时看房', '南苑小区A区  | 4室2厅 | 183平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2008年建板塔结合  -  金融城', '630万', '单价34427元/平米')
('https://image1.ljcdn.com/510100-inspection/test-395c5ed5-1b75-45de-bdbc-09cc1fb557e1.png.296x216.jpg', '领馆国际城装修套二，满两年，看房方便', '领馆国际城  | 2室2厅 | 82.72平米 | 西北 | 其他 | 有电梯', '低楼层(共28层)2013年建板塔结合  -  远大', '136万', '单价16442元/平米')
