('https://image1.ljcdn.com/510100-inspection/test-0e6a4f62-2894-40e8-970c-2fd36b6d9f1b.png.296x216.jpg', '高新西区 中海国际 橙郡 装修房', '橙郡一期  | 2室2厅 | 89.68平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '145万', '单价16169元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8a5c0315-b947-4e87-a342-fb713a3c3902.png.296x216.jpg', '上锦颐园佳境  套二 客厅带阳台 卧室带阳台 中间楼层', '上锦颐园佳境  | 2室2厅 | 87.04平米 | 西南 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  高新西', '86.5万', '单价9938元/平米')
('https://image1.ljcdn.com/510100-inspection/test-227bcfa0-413f-45bb-8256-ac477b652c88.png.296x216.jpg', '中海国际社区多层没有电梯的洋房', '碧林  | 4室2厅 | 165.38平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2007年建板楼  -  中海国际', '290万', '单价17536元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9b14d846-95c7-48f8-84c3-4ccca6b40cfc.png.296x216.jpg', '中海橙郡二期 中间楼层 前后中庭 通透户型 自住保养好', '橙郡二期  | 3室2厅 | 88.91平米 | 北 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '155万', '单价17434元/平米')
('https://image1.ljcdn.com/510100-inspection/test-53f5e893-d301-43bf-ba71-4f67859e5a7d.png.296x216.jpg', '套三双卫，客厅带阳台，卧室有飘窗，无增值税', '万景峰二期  | 3室2厅 | 80.62平米 | 西南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '112万', '单价13893元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ca3c6d4d-76a0-4a83-97c2-1ff9fcbc8817.png.296x216.jpg', '中海国际熙岸，装修三室两厅两卫，带平台', '熙岸  | 3室2厅 | 121.1平米 | 西南 | 其他 | 无电梯', '中楼层(共6层)2009年建板楼  -  中海国际', '275万', '单价22709元/平米')
('https://image1.ljcdn.com/510100-inspection/test-03f075cb-c762-4569-9dc2-52ea8e822132.png.296x216.jpg', '户型方正，视野开阔，客厅带阳台。', '上锦颐园  | 2室2厅 | 89.28平米 | 东 | 其他 | 有电梯', '低楼层(共24层)2008年建板塔结合  -  高新西', '87万', '单价9745元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ed216237-af3f-4cd0-8093-c0bdada30eba.png.296x216.jpg', '万景峰套四+户型方正+采光好+有装修', '万景峰一期  | 4室2厅 | 86.91平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '120万', '单价13808元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fd99bc56-150d-450a-b262-b0019d5c13e6.png.296x216.jpg', '中海国际橙郡 装修三居 拎包入住 满2年', '橙郡二期  | 3室2厅 | 88.24平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '147.5万', '单价16716元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b0dfc790-a09b-41dc-9525-5c6984582be7.png.296x216.jpg', '橙郡装修套二加一户型，对小区中庭', '橙郡二期  | 3室2厅 | 89.02平米 | 西 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '150万', '单价16851元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e8f99bd5-b094-4b28-b104-45758f005dc4.png.296x216.jpg', '橙郡一期装修两室两厅，客厅带阳台', '橙郡一期  | 2室2厅 | 89.79平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '162万', '单价18043元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d32189d9-ed3a-4b05-b00d-4b4162a8c2c1.png.296x216.jpg', '中海国际社区 橙郡二期  精装套二   客厅带阳台', '橙郡二期  | 2室2厅 | 79.45平米 | 西南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '128万', '单价16111元/平米')
