('https://image1.ljcdn.com/441900-inspection/ff655a65-0464-4f9d-afb5-dfd65c0a558b.jpg.296x216.jpg', '大四房  装修保养新  交通便利  采光视野好', '合正上东国际  | 4室2厅 | 148.59平米 | 南 | 其他', '中楼层(共20层)塔楼  -  下坝', '420万', '单价28266元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload6e8a9803-2b08-427f-8353-957bdf760ff5.jpg.296x216.jpg', '4+1房 满五唯一 双阳台  南北对流 采光通透 视野开阔', '合正上东国际  | 4室2厅 | 144平米 | 南 | 简装', '低楼层(共20层)塔楼  -  下坝', '390万', '单价27084元/平米')
('https://image1.ljcdn.com/441900-inspection/cc4dd5eb-f1d3-4432-8428-599f8ba6681d.jpg.296x216.jpg', '装修保养好，拎包入住，层高2.8米', '深业欧景城  | 4室2厅 | 168.93平米 | 南 | 其他', '高楼层(共17层)塔楼  -  宏远北', '350万', '单价20719元/平米')
('https://image1.ljcdn.com/441900-inspection/5bd3d19c-bd43-440f-b965-73949ba2856b.jpg.296x216.jpg', '精装三房   户型方正   通风采光好', '合正上东国际  | 3室2厅 | 128平米 | 南 | 其他', '高楼层(共18层)塔楼  -  下坝', '295万', '单价23047元/平米')
('https://image1.ljcdn.com/441900-inspection/ebbf4b83-7e61-4b55-a484-5c48434882c9.jpg.296x216.jpg', '业主承担税费 户型方正，视野开阔，采光充足，', '信鸿江月湾  | 3室2厅 | 98.16平米 | 东南 | 其他', '低楼层(共22层)塔楼  -  石美', '155万', '单价15791元/平米')
('https://image1.ljcdn.com/441900-inspection/afe0b932-5d5b-4ee5-9446-dfb35eb1cf4f.jpg.296x216.jpg', '万江地铁口物业  理想0769精装复式三房 装修保养新', '理想0769  | 3室2厅 | 63平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  客运总站', '165万', '单价26191元/平米')
('https://image1.ljcdn.com/441900-inspection/3da9742d-583b-4c2b-aaa8-34bce4390638.jpg.296x216.jpg', '户型方正，通风采光好，地段好，', '阳光海岸  | 1室1厅 | 51.24平米 | 东南 | 简装', '高楼层(共5层)暂无数据  -  客运总站', '48万', '单价9368元/平米')
('https://image1.ljcdn.com/441900-inspection/3e6eccb3-839f-49a5-99cb-2c1cbadba84c.jpg.296x216.jpg', '环境好新装修未住过，直接拎包入住', '恒大帝景  | 1室1厅 | 74平米 | 南 | 其他', '高楼层(共22层)塔楼  -  石美', '99万', '单价13379元/平米')
('https://image1.ljcdn.com/441900-inspection/e9657965-2b4c-4812-88c6-79af5d49c144.jpg.296x216.jpg', '北大资源御城 毛坯三房 高层南向 赏东江美景 居家选择', '北大资源御城  | 3室2厅 | 89.63平米 | 东南 | 毛坯', '高楼层(共30层)塔楼  -  华南摩尔', '200万', '单价22314元/平米')
('https://image1.ljcdn.com/441900-inspection/dc078fc8-efe2-4fef-9816-1c773bc09990.jpg.296x216.jpg', '万江华南MALL北大资源御城南北三居室', '北大资源御城  | 3室2厅 | 104平米 | 南 | 其他', '高楼层(共28层)塔楼  -  华南摩尔', '218万', '单价20962元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3a88e9fd-3ee5-436e-b43a-600113acaa6b.jpg.296x216.jpg', '上东国际70年产权公寓单间 装修保养很好 采光通透', '合正上东国际  | 1室0厅 | 32.54平米 | 西北 | 其他', '低楼层(共18层)塔楼  -  下坝', '56万', '单价17210元/平米')
