('https://image1.ljcdn.com/441900-inspection/cce0e410-e1f2-4403-89f6-67b45e10ba7a.jpg.296x216.jpg', '景湖春天大三房放售 带两个阳台 花园中间位置 很安静', '光大景湖春天  | 3室2厅 | 107平米 | 西北 | 其他', '低楼层(共10层)塔楼  -  火炼树', '220万', '单价20561元/平米')
('https://image1.ljcdn.com/441900-inspection/7ef7c071-f3a1-4890-9160-bdc1949c1d3b.jpg.296x216.jpg', '瀛聚楼  电梯精装大三房  带车位出售 即买即住', '瀛聚楼  | 3室2厅 | 124平米 | 西北 | 精装', '中楼层(共19层)塔楼  -  花园新村', '150万', '单价12097元/平米')
('https://image1.ljcdn.com/441900-inspection/7d2ca64d-3478-4ec1-a50d-f91aae026aa0.jpg.296x216.jpg', '房子温馨   装修保养好   家电齐全   可拎包入住', '东泰花园风云汇  | 1室0厅 | 43.24平米 | 西南 | 其他', '高楼层(共17层)塔楼  -  东泰', '73万', '单价16883元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload4beef0bb-8609-46d8-97ea-aee0bb8816da.jpg.296x216.jpg', '万达中间位置 高层看整个小区花园 绿化景观尽收眼帘', '东城万达广场  | 4室2厅 | 232平米 | 西南 | 精装', '低楼层(共30层)板楼  -  世博广场', '650万', '单价28018元/平米')
('https://image1.ljcdn.com/441900-inspection/b0fb3aa3-44ba-425d-b121-06913b6fb069.jpg.296x216.jpg', '黄旗印象两房 高楼层 采光视野好 看黄旗山 装修保养好', '黄旗印象  | 2室2厅 | 81平米 | 东北 | 简装', '高楼层(共15层)塔楼  -  火炼树', '158万', '单价19507元/平米')
('https://image1.ljcdn.com/441900-inspection/a9caab15-bc2a-451f-aa18-9d4c1826c8f7.jpg.296x216.jpg', '香缤时代复式两房 满五唯一 近地铁', '香缤时代园  | 2室1厅 | 50.39平米 | 北 | 简装', '中楼层(共13层)塔楼  -  世博广场', '126万', '单价25005元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploaddcd146bd-5585-4efd-a158-d50fc4924c92.jpg.296x216.jpg', '中信凯旋城 4室2厅 470万', '中信凯旋城  | 4室2厅 | 162.18平米 | 北 | 精装', '低楼层(共11层)塔楼  -  东泰', '470万', '单价28981元/平米')
('https://image1.ljcdn.com/441900-inspection/df6b05f4-52ea-41d9-a560-75eb4b636b4d.jpg.296x216.jpg', '东城天宝站口 136平带装修四房 南向单位 方正户型', '汇景盛世东方  | 4室2厅 | 135.68平米 | 东南 | 其他', '高楼层(共22层)塔楼  -  上下桥', '310万', '单价22848元/平米')
('https://image1.ljcdn.com/441900-inspection/53d6618f-702c-486c-9532-95bbc5d26d21.jpg.296x216.jpg', '电梯2房欧式风格 温馨舒适采光好 大小区别墅及洋房', '侨苑山庄  | 2室2厅 | 91.36平米 | 东 | 其他', '低楼层(共11层)塔楼  -  上下桥', '150万', '单价16419元/平米')
('https://image1.ljcdn.com/441900-inspection/654f3f87-10cd-4c21-8496-d712ee3e7e8d.jpg.296x216.jpg', '中信物业 花园小区 赠送30平方露台 南向通透户型', '东泰花园康怡居  | 2室2厅 | 89.25平米 | 南 | 其他', '低楼层(共6层)暂无数据  -  东泰', '180万', '单价20169元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload63aab18b-7e5f-416e-a891-cad27410a14b.jpg.296x216.jpg', '东泰花园康怡居 3室2厅 173万', '东泰花园康怡居  | 3室2厅 | 97.85平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  东泰', '173万', '单价17681元/平米')
('https://image1.ljcdn.com/441900-inspection/ad42f178-5176-4566-bf0b-f6c2cf7bfd2c.jpg.296x216.jpg', '免双税  阳光充足，装修新，格局方正', '东泰花园富华苑  | 4室2厅 | 114平米 | 西南 | 其他', '中楼层(共7层)塔楼  -  东泰', '162万', '单价14211元/平米')
('https://image1.ljcdn.com/441900-inspection/70580a97-d319-41cb-85a6-1198b52edf6b.jpg.296x216.jpg', '东城九龙1号2012年 欧式精装修2+1房  保养好 拎包入住', '九龙1号  | 3室2厅 | 90.61平米 | 东南 | 精装', '高楼层(共27层)塔楼  -  东泰', '150万', '单价16555元/平米')
('https://image1.ljcdn.com/441900-inspection/f07d4f85-96ec-47c0-b003-d94a6c6aaf15.jpg.296x216.jpg', '中高楼层采光好 配套设施齐全 交通出行方便', '东泰花园景华苑  | 2室2厅 | 86.08平米 | 南 | 其他', '高楼层(共8层)塔楼  -  东泰', '135万', '单价15684元/平米')
