('https://image1.ljcdn.com/441900-inspection/2aec141c-53b4-4b14-b41e-7dbbb5d6b57b.jpg.296x216.jpg', '未来世界花园 复式两房 带装修 高楼层 朝南向 采光好', '未来世界花园  | 2室2厅 | 53.4平米 | 西南 | 其他', '高楼层(共17层)塔楼  -  东泰', '125万', '单价23409元/平米')
('https://image1.ljcdn.com/441900-inspection/81d0dd03-b276-43ef-b071-952fbed41c54.jpg.296x216.jpg', '万科物业金色华庭大四房户型通透交通便利安静舒适', '新中银·金色华庭  | 4室2厅 | 180.57平米 | 西南 | 精装', '低楼层(共16层)塔楼  -  东泰', '430万', '单价23814元/平米')
('https://image1.ljcdn.com/441900-inspection/0933f64f-06ab-40b4-b18e-eac73b7dd279.jpg.296x216.jpg', '丰盛名苑3房出售  户型好  通风好  采光好', '丰盛名苑  | 3室2厅 | 93.88平米 | 西南 | 其他', '中楼层(共11层)暂无数据  -  南城车站', '210万', '单价22369元/平米')
('https://image1.ljcdn.com/441900-inspection/ee8a825d-a0fe-400e-8ee9-4c3029f4d302.jpg.296x216.jpg', '满五唯一 简装3房。户型方正，业主自住房子保养很好，', '金丰花园明景居  | 3室2厅 | 95平米 | 西北 | 简装', '高楼层(共7层)塔楼  -  宏远北', '120万', '单价12632元/平米')
('https://image1.ljcdn.com/441900-inspection/f801dc24-6f24-43da-ac58-432797f311a1.jpg.296x216.jpg', '此房满五唯一，免双税，采光通风。', '新中银花园  | 2室1厅 | 81平米 | 南 | 简装', '低楼层(共12层)塔楼  -  东泰', '138万', '单价17038元/平米')
('https://image1.ljcdn.com/441900-inspection/5b172020-1626-407b-8c19-85949d6120a9.jpg.296x216.jpg', '满五唯一三房  赠送多  高层直对泳池采光佳 诚心出售', '万科金域华府一期  | 3室2厅 | 75平米 | 西北 | 其他', '中楼层(共23层)2010年建塔楼  -  石竹', '235万', '单价31334元/平米')
('https://image1.ljcdn.com/441900-inspection/2785ca3c-3433-48de-b118-333dbd733ea9.jpg.296x216.jpg', '景湖名郡4房改3房  业主自住保养好', '景湖名郡  | 3室2厅 | 164.17平米 | 西南 | 其他', '中楼层(共18层)塔楼  -  东泰', '380万', '单价23147元/平米')
('https://image1.ljcdn.com/441900-inspection/eb4b7eed-d122-46fe-b242-d7205bf046d6.jpg.296x216.jpg', '国际公馆板楼 南北对流 正规四房  满五年唯一', '世纪城国际公馆二期  | 4室2厅 | 158.91平米 | 东南 | 其他', '低楼层(共18层)塔楼  -  西平', '350万', '单价22026元/平米')
('https://image1.ljcdn.com/441900-inspection/7babed5b-5fb7-460a-a609-51d8db56d5e8.jpg.296x216.jpg', '满五唯一，免双税，高层带顶楼花园，阁楼', '金地格林小城  | 4室2厅 | 126.17平米 | 西南 | 精装', '高楼层(共9层)塔楼  -  东泰', '255万', '单价20211元/平米')
('https://image1.ljcdn.com/441900-inspection/28b95fac-49cb-4388-a037-bee39ed7d101.jpg.296x216.jpg', '格林小城  免双税  户型好 居住舒适', '金地格林小城  | 3室2厅 | 118.43平米 | 西北 | 简装', '低楼层(共6层)暂无数据  -  东泰', '230万', '单价19421元/平米')
('https://image1.ljcdn.com/441900-inspection/82143fb9-3087-4bcb-a103-5c0bb9575372.jpg.296x216.jpg', '金色华庭三房  花园小区 万科物业 满五唯一  地铁口近', '新中银·金色华庭  | 3室2厅 | 80.45平米 | 东北 | 简装', '低楼层(共11层)塔楼  -  东泰', '180万', '单价22375元/平米')
('https://image1.ljcdn.com/441900-inspection/539a6d85-67a8-4452-bf78-376b995ed3e7.jpg.296x216.jpg', '金地格林小城，户型方正,满五唯一，免双税，采光好', '金地格林小城  | 4室2厅 | 137.13平米 | 西南 | 简装', '中楼层(共11层)塔楼  -  东泰', '288万', '单价21002元/平米')
