('https://image1.ljcdn.com/441900-inspection/3e0ecad3-3618-4d08-9aeb-60bd7b67ea5f.jpg.296x216.jpg', '稀 缺南向小复式，带前后大花园，满五唯 一', '怡丰翠云轩  | 3室2厅 | 45.44平米 | 南 | 其他', '低楼层(共8层)塔楼  -  石井', '150万', '单价33011元/平米')
('https://image1.ljcdn.com/441900-inspection/f32ec60c-dbe0-4f2b-ad63-18ad1dbca3de.jpg.296x216.jpg', '复式三房  高楼层 朝南 采光好 小区安静 业主诚心出售', '中惠卡丽兰  | 3室2厅 | 94.75平米 | 南 | 其他', '中楼层(共7层)塔楼  -  寮步', '190万', '单价20053元/平米')
('https://image1.ljcdn.com/441900-inspection/22cf552f-4ce5-4081-9832-558b6db44c66.jpg.296x216.jpg', '万科商圈二房，满五唯一，南向看美墅', '万科城市高尔夫花园  | 2室2厅 | 86.99平米 | 西南 | 其他', '中楼层(共18层)2008年建塔楼  -  寮步', '160万', '单价18393元/平米')
('https://image1.ljcdn.com/441900-inspection/6f5e16a2-28f3-49e7-ac70-c396d988a118.jpg.296x216.jpg', '怡丰翠云轩 3室2厅 225万', '怡丰翠云轩  | 3室2厅 | 89平米 | 北 | 其他', '中楼层(共8层)塔楼  -  石井', '225万', '单价25281元/平米')
('https://image1.ljcdn.com/441900-inspection/252b4d4b-705b-4629-876e-aeeddaaffcd0.jpg.296x216.jpg', '怡丰翠云轩满五唯一两房 业主诚心出售', '怡丰翠云轩  | 2室2厅 | 72.56平米 | 北 | 简装', '中楼层(共10层)塔楼  -  石井', '150万', '单价20673元/平米')
('https://image1.ljcdn.com/441900-inspection/716c9af8-d0a2-4188-8dfa-5ed4ba6221f7.jpg.296x216.jpg', '万科城市高尔夫花园   情景美墅  南向 带私家车位出售', '万科城市高尔夫花园  | 5室2厅 | 159.19平米 | 南 | 其他', '低楼层(共4层)2006年建板楼  -  寮步', '430万', '单价27012元/平米')
('https://image1.ljcdn.com/441900-inspection/77c63a52-d778-4be5-9be1-750ebd4f036a.jpg.296x216.jpg', '星城翠珑湾三期 3室2厅 261万', '星城翠珑湾三期  | 3室2厅 | 97.38平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '261万', '单价26803元/平米')
('https://image1.ljcdn.com/441900-inspection/6356a2a8-72ca-43f3-a338-b7e65fa50f41.jpg.296x216.jpg', '万科城市高尔夫花园 五房南北向 看房方便 毛坯', '万科城市高尔夫花园  | 5室2厅 | 191.37平米 | 西南 | 毛坯', '高楼层(共4层)塔楼  -  寮步', '270万', '单价14109元/平米')
('https://image1.ljcdn.com/441900-inspection/e1b4f8a0-51d1-4e16-ba75-94f0442b342e.jpg.296x216.jpg', '中惠松湖城二期  满二 免增值税', '中惠松湖城二期  | 3室2厅 | 81.09平米 | 南 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '162万', '单价19978元/平米')
('https://image1.ljcdn.com/441900-inspection/ecaf7bec-2582-438e-a9ed-786e15f6e9d9.jpg.296x216.jpg', '南向大复式，满五唯一，诚心出售，看房方便。', '怡丰翠云轩  | 3室2厅 | 94平米 | 南 | 精装', '中楼层(共8层)塔楼  -  石井', '250万', '单价26596元/平米')
('https://image1.ljcdn.com/441900-inspection/84363fdc-30f4-4da4-8c01-1820178ae05e.jpg.296x216.jpg', '三房两厅一厨两卫 双阳台 阳台看花园', '广源阳光里  | 3室2厅 | 121.4平米 | 南 | 其他', '中楼层(共22层)2016年建塔楼  -  寮步', '199万', '单价16393元/平米')
('https://image1.ljcdn.com/441900-inspection/7d64a99f-2b66-441f-b96c-154e8ac9f6db.jpg.296x216.jpg', '万科高尔夫花园，满五唯一   四居装修，业主诚心出售', '万科城市高尔夫花园  | 4室2厅 | 137.29平米 | 西南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '220万', '单价16025元/平米')
('https://image1.ljcdn.com/441900-inspection/bb4699b3-f0a7-433f-9e8f-860d2de0aefc.jpg.296x216.jpg', '【为你甄选】首付压力小的万科精品小家，结构紧凑实用', '万科松湖传奇  | 2室2厅 | 65.15平米 | 南 | 精装', '低楼层(共21层)2015年建塔楼  -  寮步', '130万', '单价19954元/平米')
('https://image1.ljcdn.com/441900-inspection/482d4c5f-f076-4c0e-8cc6-66dad2df2d4c.jpg.296x216.jpg', '价格美丽到你想不到 业主诚心出售', '万科松湖传奇  | 2室1厅 | 65平米 | 东南 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '123万', '单价18924元/平米')
('https://image1.ljcdn.com/441900-inspection/ab206c0b-ad49-4003-9617-03728fe67594.jpg.296x216.jpg', '万润广场四房两厅一厨两卫 阳台看花园', '万润广场  | 4室2厅 | 137平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '246万', '单价17957元/平米')
('https://image1.ljcdn.com/441900-inspection/7e9e63b5-72e9-4486-9724-0b85b6c62ba7.jpg.296x216.jpg', '万科城市高尔夫花园 3室2厅 168万', '万科城市高尔夫花园  | 3室2厅 | 98.2平米 | 南 | 精装', '高楼层(共6层)暂无数据  -  寮步', '168万', '单价17108元/平米')
('https://image1.ljcdn.com/441900-inspection/d21cc490-12ea-4287-86a4-d05fd9a9d1fb.jpg.296x216.jpg', '怡丰翠云轩，复式四房，户型方正。', '怡丰翠云轩  | 4室3厅 | 92.42平米 | 南 | 其他', '低楼层(共8层)塔楼  -  石井', '250万', '单价27051元/平米')
('https://image1.ljcdn.com/441900-inspection/81d0d9ec-d899-43d7-a189-f6159191a5ed.jpg.296x216.jpg', '万科松湖传奇 3室2厅 180万', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  寮步', '180万', '单价18557元/平米')
('https://image1.ljcdn.com/441900-inspection/c070653f-ad15-4dcd-9f92-19ce06bed80b.jpg.296x216.jpg', '中惠自带精装修。中高楼层 户型方正采光正好', '中惠松湖城二期  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共25层)2014年建塔楼  -  寮步', '179万', '单价18454元/平米')
('https://image1.ljcdn.com/441900-inspection/9bd8f8bc-2b4c-433d-9d05-35aea41addea.jpg.296x216.jpg', '万科城市高尔夫  满五唯一大3房 南北通透', '万科城市高尔夫花园  | 3室2厅 | 144.32平米 | 东 南 | 其他', '中楼层(共4层)塔楼  -  寮步', '250万', '单价17323元/平米')
('https://image1.ljcdn.com/441900-inspection/5731d106-d0e8-4e5b-8640-55f07261b082.jpg.296x216.jpg', '星城五期的房子，加赠送面积有115平，可做四房', '星城国际花园  | 3室2厅 | 103平米 | 西南 | 其他', '低楼层(共17层)2015年建塔楼  -  寮步', '230万', '单价22331元/平米')
('https://image1.ljcdn.com/441900-inspection/11fa606d-5d32-4b8e-834d-0a99aa87ac6a.jpg.296x216.jpg', '开发商精装，刚需可选，南向，户型方正实用！', '星城翠珑湾三期  | 3室2厅 | 96.59平米 | 南 | 精装', '中楼层(共18层)2016年建塔楼  -  寮步', '265万', '单价27436元/平米')
('https://image1.ljcdn.com/441900-inspection/4569ef92-9646-4e71-8f1a-17a3e5944f1a.jpg.296x216.jpg', '全新楼盘 看湖 三房 小区环境安静', '万科松湖传奇二期左岸  | 3室2厅 | 86.42平米 | 东南 | 其他', '中楼层(共19层)2016年建塔楼  -  寮步', '170万', '单价19672元/平米')
('https://image1.ljcdn.com/441900-inspection/5275456e-ec1c-4405-8ad7-84f600ba4a51.jpg.296x216.jpg', '大户型，采光好，小区空气环境好', '花样年君山  | 4室2厅 | 154平米 | 南 | 其他', '高楼层(共18层)塔楼  -  寮步', '260万', '单价16884元/平米')
('https://image1.ljcdn.com/441900-inspection/719fb48f-149b-4788-ba1d-41e172a0df76.jpg.296x216.jpg', '精装四房中高楼层，视野宽阔，无遮挡，南向采光好', '丰泰旗山绿洲  | 4室2厅 | 125.93平米 | 南 | 精装', '中楼层(共17层)2012年建塔楼  -  寮步', '235万', '单价18662元/平米')
('https://image1.ljcdn.com/441900-inspection/dc022c82-92ed-4eb3-8cd8-01d559f1a88d.jpg.296x216.jpg', '鼎峰尚境二期 4室2厅 396万', '鼎峰尚境二期  | 4室2厅 | 156平米 | 南 | 精装', '高楼层(共21层)塔楼  -  石井', '396万', '单价25385元/平米')
('https://image1.ljcdn.com/441900-inspection/545b3ea1-7fd6-4b99-be15-4d75def4ffd2.jpg.296x216.jpg', '翠珑湾三期 房产证在手 华为旁', '星城翠珑湾三期  | 3室2厅 | 111.13平米 | 南 北 | 其他', '高楼层(共30层)2016年建塔楼  -  寮步', '280万', '单价25196元/平米')
('https://image1.ljcdn.com/441900-inspection/46dd2b79-3788-40eb-8047-bd172d7cee2a.jpg.296x216.jpg', '万科精美小区 环境好 楼层好 全新未入住，诚心出售。', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '178万', '单价18351元/平米')
('https://image1.ljcdn.com/441900-inspection/a585c03a-be64-4f98-926b-be26d3439b93.jpg.296x216.jpg', '万科物业 高层洋房 精装四房 税费低', '万科城市高尔夫花园  | 4室2厅 | 149平米 | 南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '240万', '单价16108元/平米')
('https://image1.ljcdn.com/441900-inspection/6ea88611-83e7-4840-98d5-20f08b6b01c6.jpg.296x216.jpg', '振业松湖雅苑 4室2厅 610万', '振业松湖雅苑   | 联排别墅 | 4室2厅 | 243平米 | 东南 | 其他', '3层2015年建暂无数据  -  寮步', '610万', '单价25103元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadeba977fd-51f8-405f-b569-41a62e35581d.jpg.296x216.jpg', '松山湖CBD松湖智谷旁高档小区振业松湖雅苑潜力户型', '振业松湖雅苑  | 4室2厅 | 122.23平米 | 南 北 | 毛坯', '中楼层(共11层)2014年建塔楼  -  寮步', '232万', '单价18981元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload23b9e433-5e1a-4d49-808c-beba8aa81f52.jpg.296x216.jpg', '万科小三房，位置好，户型方正。', '万科松湖传奇  | 3室1厅 | 77.93平米 | 北 | 其他', '中楼层(共34层)2015年建塔楼  -  寮步', '150万', '单价19249元/平米')
