('https://image1.ljcdn.com/441900-inspection/b26a48a9-1a80-447a-92ab-b5896c77a169.jpg.296x216.jpg', '恒大华府 刚需两房 厅出阳台户型 自住装修保养好', '恒大华府  | 2室1厅 | 90.43平米 | 北 | 其他', '中楼层(共30层)塔楼  -  西城楼', '135万', '单价14929元/平米')
('https://image1.ljcdn.com/441900-inspection/7e05156a-698f-43c5-ae29-a534fb43947a.jpg.296x216.jpg', '富盈东方华府一房   户型方正  毛坯 业主诚心出售', '富盈东方华府  | 1室1厅 | 52.4平米 | 北 | 其他', '中楼层(共22层)塔楼  -  东莞行政中心区', '110万', '单价20993元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5444ec87-bf7a-4de9-a194-5001235a1877.jpg.296x216.jpg', '恒大华府 方正实用两居室 厅出阳台 居家舒适配套好', '恒大华府  | 2室1厅 | 90平米 | 东 北 | 其他', '中楼层(共30层)塔楼  -  西城楼', '168万', '单价18667元/平米')
('https://image1.ljcdn.com/441900-inspection/c8bd34ed-c1f1-42b4-a884-8e7fb81aac4d.jpg.296x216.jpg', '精装修，标准2房，出行方便，高楼层，采光好。', '恒大华府  | 2室2厅 | 90.47平米 | 北 | 其他', '高楼层(共30层)塔楼  -  西城楼', '180万', '单价19897元/平米')
('https://image1.ljcdn.com/441900-inspection/4af45ceb-1acb-4598-a859-b8347c320d98.jpg.296x216.jpg', '东湖花园高楼层大2房，配套完善，交通便利，拎包入住', '东湖花园  | 2室2厅 | 110平米 | 西南 | 其他', '低楼层(共33层)塔楼  -  罗沙', '130万', '单价11819元/平米')
('https://image1.ljcdn.com/441900-inspection/db45e8a9-0b43-4daf-8726-0d70a2864400.jpg.296x216.jpg', '业主自住三房出售 带全屋家私电器', '富通自在城  | 3室2厅 | 93平米 | 北 | 其他', '高楼层(共33层)2015年建塔楼  -  运河东', '236万', '单价25377元/平米')
('https://image1.ljcdn.com/441900-inspection/ed60e6f7-5f3d-4982-97bd-0928c63dece4.jpg.296x216.jpg', '东湖花园大2房，配套完善，高档小区，拎包入住。', '东湖花园  | 2室2厅 | 130平米 | 西北 | 其他', '高楼层(共33层)塔楼  -  罗沙', '145万', '单价11154元/平米')
('https://image1.ljcdn.com/441900-inspection/fde8efba-836d-4f18-b372-0ba31143226d.jpg.296x216.jpg', '莞城地段 金峰堡大厦复式 高楼层  满五唯一税费低', '金峰堡大厦  | 5室3厅 | 258.64平米 | 南 北 | 其他', '高楼层(共16层)塔楼  -  东平街', '300万', '单价11600元/平米')
('https://image1.ljcdn.com/441900-inspection/a0beb11e-a146-4aac-9c80-aabdd246be6d.jpg.296x216.jpg', '恒大华府 精装方正5房 次顶层 通风采光好', '恒大华府  | 5室2厅 | 238.25平米 | 南 | 其他', '高楼层(共40层)塔楼  -  西城楼', '520万', '单价21826元/平米')
('', '聚福豪苑满五唯一免双税，户型方正，采光充足，朝花园', '聚福豪苑  | 3室2厅 | 162.62平米 | 北 | 其他', '中楼层(共21层)2003年建塔楼  -  东平街', '240万', '单价14759元/平米')
('', '精装修复试两房 高楼层采光好 视野宽阔', '富盈东方华府  | 2室1厅 | 51.41平米 | 南 | 其他', '高楼层(共22层)塔楼  -  东莞行政中心区', '125万', '单价24315元/平米')
('', '聚福豪苑：楼层高，视野宽阔，采光好，小区安静，舒适', '聚福豪苑  | 4室2厅 | 168平米 | 北 | 其他', '高楼层(共21层)2003年建塔楼  -  东平街', '230万', '单价13691元/平米')
('https://image1.ljcdn.com/441900-inspection/dbc7e8cd-eb8d-42ca-9a49-a17c8f1c25e0.jpg.296x216.jpg', '东方美誉 住宅用途 70产权 全新装修 东南向 采光充足', '富盈东方华府  | 1室1厅 | 44.83平米 | 东南 | 精装', '中楼层(共22层)塔楼  -  东莞行政中心区', '130万', '单价28999元/平米')
('https://image1.ljcdn.com/441900-inspection/984eebc3-ec8a-4424-8f47-10cf7cb7b6e7.jpg.296x216.jpg', '旗峰地铁口，一房一厅，入户就莞城中英文', '富盈东方华府  | 1室0厅 | 51.41平米 | 西北 | 其他', '中楼层(共22层)塔楼  -  东莞行政中心区', '105万', '单价20425元/平米')
('https://image1.ljcdn.com/441900-inspection/afa5cb95-196c-444a-909e-421c841efe38.jpg.296x216.jpg', '万科中心 1室0厅 66万', '万科中心  | 1室0厅 | 39平米 | 西南 | 其他', '中楼层(共28层)塔楼  -  黄旗山', '66万', '单价16924元/平米')
('https://image1.ljcdn.com/441900-inspection/e2d81c0b-50a0-4b7c-b8f1-06bf870370d6.jpg.296x216.jpg', '万科小区环境好，配套齐全，生活便利，交通便利。', '万科中心  | 1室0厅 | 22.68平米 | 西北 | 其他', '中楼层(共28层)塔楼  -  黄旗山', '50万', '单价22046元/平米')
('https://image1.ljcdn.com/441900-inspection/624286d4-2cc1-4840-b459-ba06b15a6a99.jpg.296x216.jpg', '新楼盘小区很好入住率比较高，旁边有奇峰公园，', '万科中心  | 2室1厅 | 64.94平米 | 北 | 其他', '中楼层(共28层)塔楼  -  黄旗山', '116万', '单价17863元/平米')
('https://image1.ljcdn.com/441900-inspection/a727944e-d56d-4880-be87-a63211172485.jpg.296x216.jpg', '恒大华府 一房诚意出售 看房方便', '恒大华府  | 1室1厅 | 62平米 | 西 | 其他', '低楼层(共30层)塔楼  -  西城楼', '80万', '单价12904元/平米')
('', '恒大大两房，户型方正 朝花园 装修保养好 诚意出售', '恒大华府  | 2室1厅 | 90.37平米 | 东南 | 其他', '高楼层(共30层)塔楼  -  西城楼', '150万', '单价16599元/平米')
('https://image1.ljcdn.com/441900-inspection/26f0a2a3-87e9-43ea-b136-2c72c71f8dd7.jpg.296x216.jpg', '莞城经贸大厦， 灵动户型，业主诚意出售', '经贸中心  | 1室0厅 | 226平米 | 东北 | 其他', '低楼层(共23层)塔楼  -  莞城', '155万', '单价6859元/平米')
('https://image1.ljcdn.com/441900-inspection/2b1dc723-d6d3-42ba-bead-244a58bf3531.jpg.296x216.jpg', '东城城市花园高楼层采光好家私家电齐全拎包入住。', '东城城市花园  | 2室1厅 | 79平米 | 西南 | 其他', '高楼层(共8层)塔楼  -  东平街', '135万', '单价17089元/平米')
('', '东湖花园方正2房 装修保养好 诚心出售', '东湖花园  | 2室2厅 | 88平米 | 南 | 其他', '中楼层(共33层)塔楼  -  罗沙', '110万', '单价12500元/平米')
('', '东南向 高楼层 户型方正 保养好 免增值税', '富通自在城  | 2室2厅 | 76.66平米 | 东南 | 其他', '中楼层(共30层)塔楼  -  运河东', '160万', '单价20872元/平米')
