('https://image1.ljcdn.com/441900-inspection/7d60b0eb-0f9f-438d-8cad-412834eaa9d7.jpg.296x216.jpg', '天虹广场   舒适3房  装修好  保养新  高楼层', '地标广场  | 3室2厅 | 108平米 | 东南 | 其他', '中楼层(共28层)2011年建塔楼  -  地标', '300万', '单价27778元/平米')
('https://image1.ljcdn.com/441900-inspection/32507b99-d7a1-4e89-83f4-597bab38b9e2.jpg.296x216.jpg', '丰泰东海城堡钻石户型，中高楼层，朝东南。', '丰泰东海城堡  | 3室2厅 | 98平米 | 东南 | 其他', '中楼层(共15层)2013年建塔楼  -  新联', '200万', '单价20409元/平米')
('https://image1.ljcdn.com/441900-inspection/ded4bf7b-2a78-4aff-84f2-26c00add8eff.jpg.296x216.jpg', '丰泰华园山庄 三居室 安静 朝东北 居家适宜 诚心出售', '丰泰华园山庄  | 3室2厅 | 121平米 | 东北 | 精装', '低楼层(共12层)2003年建塔楼  -  新联', '218万', '单价18017元/平米')
('https://image1.ljcdn.com/441900-inspection/6ab7e6d6-3950-4d7c-84ff-44d8be85ea9d.jpg.296x216.jpg', '业主诚心急售，朝南面朝小区看湖', '丰泰东海山庄  | 3室2厅 | 107平米 | 南 | 其他', '中楼层(共11层)2007年建塔楼  -  新联', '180万', '单价16823元/平米')
('https://image1.ljcdn.com/441900-inspection/799afa36-dfaf-4860-8ffd-c4e2db61828c.jpg.296x216.jpg', '万科小区临深近 业主急售 看房有钥匙 买进价高税收低', '南部湾万科城  | 3室2厅 | 93.78平米 | 西南 | 其他', '低楼层(共34层)2015年建塔楼  -  大宁', '215万', '单价22926元/平米')
('https://image1.ljcdn.com/441900-inspection/6407c648-f733-4f16-845c-05d64a7ed929.jpg.296x216.jpg', '飞龙山庄精装4房 朝小区 中高楼层 满五唯一 温馨舒适', '飞龙山庄  | 4室2厅 | 185.11平米 | 西北 | 精装', '中楼层(共15层)2004年建塔楼  -  黄河中心', '280万', '单价15127元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload163f278c-7a9c-4831-98fe-359006dec2da.jpg.296x216.jpg', '万达广场 朝南3房 包车位 高楼层通风好', '万达华府  | 3室2厅 | 91平米 | 东南 | 毛坯', '中楼层(共30层)2014年建塔楼  -  万达', '220万', '单价24176元/平米')
('https://image1.ljcdn.com/441900-inspection/b0abad32-f98d-4d35-89f5-7f50cd11e9ff.jpg.296x216.jpg', '盛世豪庭高品质小区，房子装修漂亮居家。', '盛世豪庭  | 4室2厅 | 137平米 | 南 | 其他', '中楼层(共11层)2005年建塔楼  -  黄河中心', '245万', '单价17884元/平米')
('https://image1.ljcdn.com/441900-inspection/e1c23f70-7826-428b-980e-5da1c144c255.jpg.296x216.jpg', '丰泰东海城堡 复试楼 满五唯一 毛坯地下室大花园 诚售', '丰泰东海城堡  | 3室2厅 | 93.95平米 | 西南 | 毛坯', '低楼层(共18层)2013年建塔楼  -  新联', '330万', '单价35126元/平米')
('https://image1.ljcdn.com/441900-inspection/c9c4645a-daf8-4d81-814a-59e665769f25.jpg.296x216.jpg', '虎门天虹商城楼上 温馨一房一厅', '地标广场  | 1室1厅 | 47.75平米 | 北 | 其他', '低楼层(共28层)2011年建塔楼  -  地标', '125万', '单价26179元/平米')
('https://image1.ljcdn.com/441900-inspection/5c75ca2a-321e-4dae-ab58-f5b6f74867e7.jpg.296x216.jpg', '华艺海滨花园 满五唯一，税费很低，税费很低', '华艺海滨花园  | 3室2厅 | 107平米 | 东南 | 其他', '中楼层(共23层)1998年建塔楼  -  黄河中心', '135万', '单价12617元/平米')
