('https://image1.ljcdn.com/441900-inspection/95f594ca-ff2a-4e05-9a33-24ecf86fce2b.jpg.296x216.jpg', '穗莞深城际轻轨口小区  中高楼层  采光通风良好', '万豪苑  | 2室2厅 | 90.28平米 | 东 | 其他', '18层2009年建塔楼  -  长安新区', '160万', '单价17723元/平米')
('https://image1.ljcdn.com/441900-inspection/a5ed1c08-37ed-43a6-9ed0-21a75769b5d5.jpg.296x216.jpg', '采光通风好，优质小区，素质住户，业主诚心出售', '长安花园  | 2室2厅 | 78平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  长安新区', '210万', '单价26924元/平米')
('https://image1.ljcdn.com/441900-inspection/15fb5b8f-1a3e-45e7-9fa1-10b1b6729680.jpg.296x216.jpg', '中惠新城 2室2厅 230万', '中惠新城  | 2室2厅 | 93平米 | 西南 | 其他', '高楼层(共33层)2005年建塔楼  -  宵边', '230万', '单价24732元/平米')
('https://image1.ljcdn.com/441900-inspection/8b42fc36-df11-4cb1-b002-d318ff6406ad.jpg.296x216.jpg', '长安正中区，沃多夫三房 满五唯一 业主诚心出售', '沃多夫酒店公寓  | 3室2厅 | 85.5平米 | 南 | 其他', '中楼层(共31层)2009年建塔楼  -  咸西', '250万', '单价29240元/平米')
('https://image1.ljcdn.com/441900-inspection/b3c49a64-a1f2-4f6d-ad56-1705c64873e4.jpg.296x216.jpg', '长安花园精装修3房，业主诚意出售', '长安花园  | 3室2厅 | 92.16平米 | 北 | 其他', '中楼层(共18层)2010年建塔楼  -  长安新区', '240万', '单价26042元/平米')
('https://image1.ljcdn.com/441900-inspection/bcbe61c8-6f64-4758-841e-b71818846236.jpg.296x216.jpg', '滨海湾新区 长安花园  朝南两房 业主诚意出售', '长安花园  | 2室1厅 | 81平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  长安新区', '214万', '单价26420元/平米')
('https://image1.ljcdn.com/441900-inspection/0516c72e-ce07-42c3-918e-6bbde7d45004.jpg.296x216.jpg', '明珠广场 2室2厅 350万', '明珠广场  | 2室2厅 | 153平米 | 南 | 其他', '低楼层(共28层)2006年建塔楼  -  中心', '350万', '单价22876元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadf48ccf7d-871e-4846-9461-b1bc14df979c.jpg.296x216.jpg', '滨海新区  轻轨口物业 朝南舒适凉爽', '君源铂尔曼公馆  | 1室0厅 | 46.14平米 | 南 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '92万', '单价19940元/平米')
('https://image1.ljcdn.com/441900-inspection/456e9b15-07a3-4ea8-a445-7319a18e2d38.jpg.296x216.jpg', '滨海湾新区满五唯一两房勉掉双税', '万豪苑  | 2室1厅 | 77.85平米 | 南 | 其他', '中楼层(共11层)2009年建塔楼  -  长安新区', '158万', '单价20296元/平米')
('https://image1.ljcdn.com/441900-inspection/4cf6ab59-743d-4561-a359-1ee0d86c943d.jpg.296x216.jpg', '正南朝向    格局好   万科自带物业管理好', '万科金色悦府  | 3室1厅 | 95.46平米 | 南 | 精装', '低楼层(共32层)2015年建塔楼  -  宵边', '268.9万', '单价28167元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5adc272e-d6c0-47c6-b4fd-3bfef9b2f818.jpg.296x216.jpg', '长安沃尔玛旁，户型方正，配套齐全，有钥匙随时看房', '莲花苑  | 3室2厅 | 130平米 | 南 | 精装', '中楼层(共12层)2003年建塔楼  -  中心', '295万', '单价22693元/平米')
('https://image1.ljcdn.com/441900-inspection/c65cc9f0-b0eb-4ffa-a29f-e75a55a691fa.jpg.296x216.jpg', '赠送平台花园大面积业主自住房，地段繁华', '莲花苑  | 4室2厅 | 154平米 | 南 | 其他', '低楼层(共12层)2003年建塔楼  -  中心', '338万', '单价21949元/平米')
('https://image1.ljcdn.com/441900-inspection/04ea8e8f-0308-4d45-a0e2-720d78be54bb.jpg.296x216.jpg', '精装修，环境优美，安逸，采光好', '莲花别墅  | 4室3厅 | 231平米 | 东 | 其他', '高楼层(共12层)2009年建塔楼  -  咸西', '580万', '单价25109元/平米')
('https://image1.ljcdn.com/441900-inspection/d02f7c9c-a2ce-4695-8156-7f16ecbcd779.jpg.296x216.jpg', '此房满五唯一，业主诚心出售，一楼复式带花园。', '莲花苑  | 5室2厅 | 195平米 | 南 | 精装', '低楼层(共4层)2003年建板楼  -  中心', '550万', '单价28206元/平米')
('https://image1.ljcdn.com/441900-inspection/bc53ce88-c10d-4627-8b12-3f0428db28d8.jpg.296x216.jpg', '房子是双拼房，户型方正敞亮，南北通透采光好', '富山居  | 6室2厅 | 200平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  增田', '640万', '单价32000元/平米')
('https://image1.ljcdn.com/441900-inspection/4baf1dbc-71c8-419c-b33f-c95de018f118.jpg.296x216.jpg', '中惠新城5房2厅3卫，全方位150平花园包围。', '中惠新城  | 5室2厅 | 150.44平米 | 南 | 其他', '低楼层(共33层)塔楼  -  宵边', '380万', '单价25260元/平米')
('https://image1.ljcdn.com/441900-inspection/db5bcfe8-d951-486b-8e64-f66cc0b7d4fb.jpg.296x216.jpg', '精装复式公寓，环境优美，适合宜居。', '中正SOHO  | 1室1厅 | 37.5平米 | 北 | 其他', '中楼层(共17层)2016年建塔楼  -  宵边', '110万', '单价29334元/平米')
('https://image1.ljcdn.com/441900-inspection/5140684f-5cc2-49bb-8cb9-98da03d94134.jpg.296x216.jpg', '陶然豪园，朝南，大三房，户型方正，满五唯一！！！', '陶然豪园  | 3室2厅 | 153平米 | 南 北 | 其他', '低楼层(共30层)2005年建塔楼  -  宵边', '385万', '单价25164元/平米')
('https://image1.ljcdn.com/441900-inspection/79ccead7-1614-43b9-87a8-dd9932819542.jpg.296x216.jpg', '满五唯一.无欠款.长安莲花苑小区成熟地段.随时看房', '莲花苑  | 5室2厅 | 194.36平米 | 南 西南 | 简装', '高楼层(共4层)2003年建板楼  -  中心', '270万', '单价13892元/平米')
('https://image1.ljcdn.com/441900-inspection/1868498d-afe7-4d07-8980-e444223b16a0.jpg.296x216.jpg', '沃多夫酒店公寓 1室1厅 150万', '沃多夫酒店公寓  | 1室1厅 | 61平米 | 东 | 其他', '低楼层(共31层)2009年建塔楼  -  咸西', '150万', '单价24591元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload860316e1-b648-47c4-9225-de1b8d474d33.jpg.296x216.jpg', '此房高楼层看小区景观，赠送品牌家私家电，格局方正', '中惠山畔名城  | 3室2厅 | 127.06平米 | 东南 | 其他', '中楼层(共29层)2003年建塔楼  -  中心', '375万', '单价29514元/平米')
('https://image1.ljcdn.com/441900-inspection/e1e124ab-f988-4428-b22b-319ca37aa4b1.jpg.296x216.jpg', '长安满五唯一的大两房，免双税，双阳台 楼层好。', '桃李花园  | 2室2厅 | 87.94平米 | 南 | 其他', '中楼层(共7层)2002年建板楼  -  增田', '145万', '单价16489元/平米')
('https://image1.ljcdn.com/441900-inspection/2f1ce1a7-7a61-432c-8a1f-4f53a720e4e5.jpg.296x216.jpg', '精装复式，带家私家电，环境优美', '中正SOHO  | 1室1厅 | 38.54平米 | 东南 | 其他', '低楼层(共17层)2016年建塔楼  -  宵边', '110万', '单价28542元/平米')
('https://image1.ljcdn.com/441900-inspection/3aa67f89-0e31-4a08-a659-8f94b88ecf6e.jpg.296x216.jpg', '富山居毛坯两房，中高楼层采光好', '富山居  | 2室1厅 | 81.22平米 | 南 | 其他', '高楼层(共23层)2012年建塔楼  -  增田', '260万', '单价32012元/平米')
('https://image1.ljcdn.com/441900-inspection/f0c6cc20-5711-4f3b-a0a2-8418d4232f3a.jpg.296x216.jpg', '健逸天地大四房 满五唯一免双税 业主诚心出售', '健逸天地  | 4室2厅 | 126.91平米 | 北 | 简装', '中楼层(共18层)2005年建塔楼  -  增田', '270万', '单价21275元/平米')
('https://image1.ljcdn.com/441900-inspection/61a62773-23a4-47d3-8ef2-45fee6d22fec.jpg.296x216.jpg', '长安正中区 小区环境好  精装修   中高楼层', '沃多夫酒店公寓  | 1室1厅 | 62平米 | 南 | 其他', '中楼层(共32层)2009年建塔楼  -  咸西', '185万', '单价29839元/平米')
('https://image1.ljcdn.com/441900-inspection/455d2b9c-8c7f-455a-897b-1c7001849017.jpg.296x216.jpg', '滨海湾新区  君源铂尔曼 轻轨物业', '君源铂尔曼公馆  | 1室1厅 | 45平米 | 南 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '100万', '单价22223元/平米')
('https://image1.ljcdn.com/441900-inspection/b6879043-3a00-4f47-b699-79e917dcab2b.jpg.296x216.jpg', '滨海新区简装两房业主诚心出售，满五唯一免双税', '金沙花园  | 2室1厅 | 75平米 | 南 | 其他', '中楼层(共11层)2009年建塔楼  -  长安新区', '195万', '单价26000元/平米')
('https://image1.ljcdn.com/441900-inspection/08878522-4428-45d4-a9c4-d2bc3bff7ac3.jpg.296x216.jpg', '万豪苑 1室1厅 83万', '万豪苑  | 1室1厅 | 46.12平米 | 北 | 其他', '18层2009年建塔楼  -  长安新区', '83万', '单价17997元/平米')
('https://image1.ljcdn.com/441900-inspection/8a5551b8-e92b-4379-9aff-e124e0ddbf09.jpg.296x216.jpg', '沃多夫公寓酒店  在高层 业主诚心出售  看房请联系我', '沃多夫酒店公寓  | 1室1厅 | 60.43平米 | 南 | 其他', '中楼层(共32层)2009年建塔楼  -  咸西', '150万', '单价24823元/平米')
('https://image1.ljcdn.com/441900-inspection/a05b7bc5-ae3c-45f4-a4bb-1be2ed929251.jpg.296x216.jpg', '莲花苑三房，此房满五唯一， 户型方正，中楼层', '莲花苑  | 3室2厅 | 101.2平米 | 南 | 精装', '中楼层(共7层)2003年建板楼  -  中心', '195万', '单价19269元/平米')
('https://image1.ljcdn.com/441900-inspection/91650072-9f90-4c2f-9073-b63786556b84.jpg.296x216.jpg', '万豪苑精装修一房，业主诚意出售', '万豪苑  | 1室1厅 | 46.12平米 | 北 | 其他', '18层2009年建塔楼  -  长安新区', '82万', '单价17780元/平米')
('https://image1.ljcdn.com/441900-inspection/e7501a75-c1ff-4918-9b87-4b35ddfddb87.jpg.296x216.jpg', '健逸天地刚需大三房   精装修   满五年免增值税', '健逸天地  | 3室2厅 | 127.42平米 | 北 | 精装', '低楼层(共23层)2005年建塔楼  -  增田', '268万', '单价21033元/平米')
