('https://image1.ljcdn.com/210200-inspection/test-dcd62141-21c7-4d86-950f-713e1e1aecf0.png.296x216.jpg', '侯一小区 1室1厅 51万', '侯一小区  | 1室1厅 | 49.43平米 | 西 | 其他 | 无电梯', '低楼层(共7层)1993年建板楼  -  侯家沟', '51万', '单价10318元/平米')
('https://image1.ljcdn.com/210200-inspection/8b0fff39-70f2-49d6-9d9b-eabb89d176b0.JPG.296x216.jpg', '中海开发，500强企业，南北通厅，五明户型，一首清水', '中海天赋山一期  | 3室2厅 | 143平米 | 南 北 | 毛坯', '低楼层(共9层)2016年建板楼  -  绿波', '300万', '单价20980元/平米')
('https://image1.ljcdn.com/210200-inspection/test-35457cab-0881-413a-a02e-8e4689e3ad18.png.296x216.jpg', '壹品星海两室，简装，观海景，诚意出售！', '壹品星海三期  | 2室2厅 | 89.83平米 | 东南 北 | 简装 | 有电梯', '高楼层(共30层)2007年建板楼  -  星海广场', '212万', '单价23601元/平米')
('https://image1.ljcdn.com/210200-inspection/84094e65-49bf-4196-8d57-6cf5052a57ef.JPG.296x216.jpg', '房子南北通透 户型规矩中间楼层看房方便装修保持好', '锦泉中园  | 2室1厅 | 87.81平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)1996年建板楼  -  锦绣', '109万', '单价12414元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e7d38e2d-4ee7-461f-8f7f-84e088b2d970.png.296x216.jpg', '多层楼层好得房率高，南北通厅开间大采光充足配套齐全', '阳光月秀  | 2室2厅 | 78.36平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2006年建板楼  -  阳光月秀', '131万', '单价16718元/平米')
('https://image1.ljcdn.com/210200-inspection/b8f71eb6-2e36-4f8d-a07f-985b039ef7c6.jpg.296x216.jpg', '辽师幸福小区近地铁南北通透两室户型规矩采光好拎包住', '幸福小区  | 2室1厅 | 75.32平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  辽师', '75万', '单价9958元/平米')
('https://image1.ljcdn.com/210200-inspection/test-5e7dd815-6248-4afa-b596-07d70e92e751.png.296x216.jpg', '壹品星海三期精装两室看海景！房主诚意出售，看房方便', '壹品星海三期  | 2室2厅 | 89.83平米 | 西南 | 精装 | 有电梯', '高楼层(共30层)2007年建板楼  -  星海广场', '212万', '单价23601元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload13cadc29-1e1e-4eec-a7e2-74453c7510b4.jpg.296x216.jpg', '星海广场 壹品星海三期 四室清水跃层海景房 带平台', '壹品星海三期  | 4室2厅 | 211.76平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共15层)2007年建板楼  -  星海广场', '550万', '单价25973元/平米')
('https://image1.ljcdn.com/210200-inspection/test-30fd1381-9ed8-46e8-8915-f5e0f52daee5.png.296x216.jpg', '和平现代城 1室0厅 82.3万', '和平现代城  | 1室0厅 | 53.42平米 | 东南 | 其他 | 有电梯', '中楼层(共50层)2005年建板楼  -  和平广场', '82.3万', '单价15407元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a3e6effd-4a7f-4619-98c8-c0dd68f52af7.png.296x216.jpg', '和平现代城 南向带阳台,采光视野佳 另有车库', '和平现代城  | 1室0厅 | 55.03平米 | 南 | 简装 | 有电梯', '中楼层(共50层)2005年建板楼  -  和平广场', '92万', '单价16719元/平米')
('https://image1.ljcdn.com/210200-inspection/test-974088b5-e294-49e8-8d06-c190fb9d9c60.png.296x216.jpg', '阳光月秀  浅色调装修 两室 南北向 大开间 中间楼层', '阳光月秀  | 2室1厅 | 86.52平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2006年建板楼  -  阳光月秀', '139.8万', '单价16159元/平米')
('https://image1.ljcdn.com/210200-inspection/64bbc917-ac91-4380-bd8e-65bc9030be44.jpg.296x216.jpg', '台山 两室一厅 满五唯一 精装修 看房方便 视野好', '台山  | 2室1厅 | 55平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  南沙', '65万', '单价11819元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ae16087c-604c-42ee-baed-272f85acb2ae.png.296x216.jpg', '星海自由港 1室1厅 76万', '星海自由港  | 1室1厅 | 34.74平米 | 东北 | 其他 | 无电梯', '低楼层(共5层)2004年建板楼  -  星海人家商圈', '76万', '单价21877元/平米')
('https://image1.ljcdn.com/210200-inspection/309d917d-6812-4573-853e-93af8d29ca8b.jpg.296x216.jpg', '星海自由港 2室1厅 150万', '星海自由港  | 2室1厅 | 71.86平米 | 东 北 | 精装 | 无电梯', '中楼层(共5层)2004年建板楼  -  星海人家商圈', '150万', '单价20874元/平米')
('https://image1.ljcdn.com/210200-inspection/eb534e5a-992f-42d7-b45f-ffb05fc06a59.jpg.296x216.jpg', '南沙熟食品泰安花园 封闭小区大三室 精装修 采光好', '泰安花园  | 3室2厅 | 127.42平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  南沙', '178万', '单价13970元/平米')
('https://image1.ljcdn.com/210200-inspection/test-30a02c33-a89b-4bb6-a9b7-ac6c53106828.png.296x216.jpg', '车家村 两室南向 采光好二楼适合多种人群居住近市场', '侯二小区  | 2室1厅 | 72.65平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1985年建板楼  -  侯家沟', '81万', '单价11150元/平米')
('https://image1.ljcdn.com/210200-inspection/6bd0abde-758a-48ea-ab5a-1ddb7409113c.jpg.296x216.jpg', '马栏广场中间楼层两室两厅看房子方便，采光好', '马栏小学南  | 2室1厅 | 62.79平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1995年建板楼  -  马栏', '69万', '单价10990元/平米')
('https://image1.ljcdn.com/210200-inspection/test-56c3e8ed-2039-4550-816e-4c861851b23d.png.296x216.jpg', '房子绿波小区 婚房精装修 赠送面积 大约20平', '绿波小区  | 2室1厅 | 40.67平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  绿波', '61万', '单价14999元/平米')
('https://image1.ljcdn.com/210200-inspection/6ceef44e-fce9-4df6-ad7c-a102495b4069.JPG.296x216.jpg', '侯一小区 3室1厅 98万', '侯一小区  | 3室1厅 | 86.14平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)1993年建板楼  -  侯家沟', '98万', '单价11377元/平米')
('https://image1.ljcdn.com/210200-inspection/1c01491f-7f42-4fbf-8b15-08398dec49a2.jpg.296x216.jpg', '星海国宝看海景好精装修保持好买完即可入住四居室', '星海国宝  | 4室1厅 | 247.68平米 | 东 南 西 | 精装 | 有电梯', '低楼层(共30层)2003年建板楼  -  星海广场', '450万', '单价18169元/平米')
('https://image1.ljcdn.com/210200-inspection/test-49b17053-4bd2-4b2e-947c-4ca75c9db34d.png.296x216.jpg', '壹品星海 装修一般 户型好 采光没问题', '壹品星海一期  | 4室2厅 | 175平米 | 南 北 | 简装 | 有电梯', '低楼层(共33层)2005年建板楼  -  星海广场', '420万', '单价24000元/平米')
('https://image1.ljcdn.com/210200-inspection/bd87a82e-d21e-4ee2-9aba-202f299a1749.jpg.296x216.jpg', '幸福e家一期 3室2厅 380万', '幸福e家一期  | 3室2厅 | 110.2平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  幸福e家', '380万', '单价34483元/平米')
('https://image1.ljcdn.com/210200-inspection/72b1a83e-634f-4707-a48d-e53fbf1e7985.jpg.296x216.jpg', '锦华中园 2室1厅 73.8万', '锦华中园  | 2室1厅 | 59.8平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)2001年建板楼  -  锦绣', '73.8万', '单价12342元/平米')
('https://image1.ljcdn.com/210200-inspection/346e9511-7c9f-4158-a317-6811e8f58150.JPG.296x216.jpg', '绿波小区 南北通透 南客厅 中间楼层', '绿波小区  | 2室2厅 | 82.43平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  绿波', '96万', '单价11647元/平米')
('https://image1.ljcdn.com/210200-inspection/c38af1c2-1d4a-4bde-96f8-dcc26209837d.jpg.296x216.jpg', '房子满五年 实际使用面积100平采光充足精装 拎包即住', '正源小区  | 2室1厅 | 65.99平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  丽景', '85万', '单价12881元/平米')
('https://image1.ljcdn.com/210200-inspection/test-9a213c91-c53a-4835-b7bd-20e24b3081ae.png.296x216.jpg', '阳光月秀 两室 南北向 框架落地窗 不把边 中间楼层', '阳光月秀  | 2室1厅 | 86.52平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2006年建板楼  -  阳光月秀', '135万', '单价15604元/平米')
('https://image1.ljcdn.com/210200-inspection/test-c0b338c6-98fc-471f-80b1-206dc98956ca.png.296x216.jpg', '壹品星海三室清水新房，总价低，楼层光线好，环境好', '壹品星海一期  | 3室2厅 | 149.79平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共33层)2005年建板楼  -  星海广场', '340万', '单价22699元/平米')
('https://image1.ljcdn.com/210200-inspection/96332c0a-b6ac-43ca-b189-a2d62a71d9b5.JPG.296x216.jpg', '锦绣锦华北园纯跃层锦华北园当年的样板间近地铁精装', '锦华北园  | 5室3厅 | 193.64平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2002年建板楼  -  锦绣', '169.9万', '单价8775元/平米')
('https://image1.ljcdn.com/210200-inspection/test-6807bd93-5f2f-4a47-a69b-5ca956f75d62.png.296x216.jpg', '幸福e家三期 1室1厅 259万', '幸福e家三期  | 1室1厅 | 63.39平米 | 东 西 北 | 精装 | 有电梯', '低楼层(共25层)2004年建板楼  -  幸福e家', '259万', '单价40859元/平米')
('https://image1.ljcdn.com/210200-inspection/test-890c0be5-d880-4f9d-b802-33f6c1bc79a0.png.296x216.jpg', '新建小区铁路家属楼，中层南北两室，采光视野都好', '新建小区  | 2室1厅 | 47.81平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)1985年建板楼  -  辽师', '51万', '单价10668元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e8d324c0-c154-4417-bff7-1a9dcb1b3a7a.png.296x216.jpg', '此房满五年，户型规矩，南北通透，二楼采光好交通便利', '交通大学  | 2室1厅 | 56.43平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)1995年建板楼  -  辽师', '69万', '单价12228元/平米')
('https://image1.ljcdn.com/210200-inspection/test-bc7f1e2a-fb7d-4a58-820b-5d61bb3d7da2.png.296x216.jpg', '南北通厅,前后无遮挡，采光好视野好 楼层好 知行', '帝欧花园  | 2室2厅 | 92.19平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  绿波', '155万', '单价16814元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f2a51d55-55d2-4a14-aa17-fffaf9ba04d5.png.296x216.jpg', '黑石礁 两室 装修好 价格便宜 赠送大阳台', '浪花街  | 2室0厅 | 56.72平米 | 西南 | 简装 | 无电梯', '高楼层(共6层)1991年建板楼  -  黑石礁', '51万', '单价8992元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e1992811-b10d-47fb-8d45-b578e6d56373.png.296x216.jpg', '侯一 中间楼层 两室一厅 采光好', '侯一小区  | 3室1厅 | 76平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)1993年建板楼  -  侯家沟', '78万', '单价10264元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload7fb825cf-8d69-44ad-adad-2b362779a230.jpg.296x216.jpg', '小高层 大跃层 赠送面积约40平左右 不把边 大清水', '幸福e家五期  | 3室2厅 | 166.28平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共8层)2009年建板楼  -  幸福e家', '530万', '单价31874元/平米')
('https://image1.ljcdn.com/210200-inspection/f5b0d1eb-b8d3-49a1-9fc2-5c53b7e24ff9.JPG.296x216.jpg', '房子格局好\u3000大客厅\u3000标准两室有阁楼', '绿波小区  | 2室1厅 | 88.47平米 | 东 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  绿波', '67万', '单价7574元/平米')
('https://image1.ljcdn.com/210200-inspection/test-51e08c01-8093-4fe4-9fe2-619f5e807ea9.png.296x216.jpg', '星海人家 2室2厅 268万', '星海人家  | 2室2厅 | 103.53平米 | 南 北 | 精装 | 有电梯', '中楼层(共10层)2002年建板楼  -  星海人家商圈', '268万', '单价25887元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f8332bc9-81e8-470e-bcfc-9df0ea76f5b7.png.296x216.jpg', '壹品星海一期看全海景高楼层南北通厅四居室简单装修', '壹品星海一期  | 4室2厅 | 175.29平米 | 南 北 | 简装 | 有电梯', '高楼层(共33层)2005年建板楼  -  星海广场', '450万', '单价25672元/平米')
('https://image1.ljcdn.com/210200-inspection/test-4529771b-f8aa-49c5-b1c6-ac4eba7284ca.png.296x216.jpg', '阳光月秀  纯南向 电梯房 中间楼层', '阳光月秀  | 1室2厅 | 60.44平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2006年建板楼  -  阳光月秀', '90万', '单价14891元/平米')
('https://image1.ljcdn.com/210200-inspection/e4db6772-f946-4957-b7a5-29f73fcf018b.JPG.296x216.jpg', '锦城东园 2室1厅 158万', '锦城东园  | 2室1厅 | 81.76平米 | 南 西 北 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  锦绣', '158万', '单价19325元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e18600ba-9729-4b1c-ac06-d693b5d1da2e.png.296x216.jpg', '星海公园 1室1厅 61万', '星海公园  | 1室1厅 | 47.37平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)1990年建板楼  -  黑石礁', '61万', '单价12878元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ea07a1b2-3ab2-4c10-8481-b6b665464fa0.png.296x216.jpg', '实验学 区，小区中间 不把边 南北通透户型', '世嘉星海  | 2室1厅 | 92.07平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2008年建板楼  -  幸福e家', '300万', '单价32584元/平米')
