('https://image1.ljcdn.com/210200-inspection/test-ff5dfcd2-6911-4555-b12f-855fdc924378.png.296x216.jpg', '西山水库万科假日风景，南园水景前排无坡三室赠送阳台', '万科假日风景  | 3室1厅 | 98.21平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2008年建板楼  -  万科假日', '170万', '单价17310元/平米')
('https://image1.ljcdn.com/210200-inspection/test-6fbc43df-90a4-49fc-9628-359f37d534f2.png.296x216.jpg', '两室通透精装修\u3000交通便利\u3000多层好楼层\u3000房主诚心卖', '龙畔金泉五期K4区  | 2室2厅 | 86平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2008年建板楼  -  泉水龙畔金泉', '119.8万', '单价13931元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e0cf7c69-c929-4296-984e-f61eab177d24.png.296x216.jpg', '新星帕尔美娜多层洋房.楼层好.采光好.户型好.精装修', '新星帕尔美娜  | 2室2厅 | 86.79平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  机场乐购', '132万', '单价15210元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0f26c222-cf71-477a-8203-03d8e7a40504.png.296x216.jpg', '泡崖美林园，南北两室，明厅户型', '泡崖美林园  | 2室1厅 | 65.58平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2003年建板楼  -  美林园', '82.5万', '单价12581元/平米')
('https://image1.ljcdn.com/210200-inspection/test-c879ee5e-cccc-4636-bb33-170538c30ed2.png.296x216.jpg', '南北通透户型 采光充足 视野好 地铁 万达 明珠公园', '美树日记  | 2室2厅 | 87.65平米 | 南 北 | 简装 | 有电梯', '高楼层(共8层)2011年建板楼  -  第五郡', '165万', '单价18825元/平米')
('https://image1.ljcdn.com/210200-inspection/test-2057202f-a812-43c3-b73f-e7346d84e40c.png.296x216.jpg', '华锦80中 两室 诚心出售 价格可小议', '华锦铭苑  | 2室1厅 | 82.41平米 | 南 西 北 | 精装 | 有电梯', '低楼层(共10层)2009年建板楼  -  促进路', '153万', '单价18566元/平米')
('https://image1.ljcdn.com/210200-inspection/449841d1-0138-4dc8-86b9-dc86bc269072.jpg.296x216.jpg', '锦泉源D2区 2室1厅 98万', '锦泉源D2区  | 2室1厅 | 87.31平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)2005年建板楼  -  泉水锦泉源', '98万', '单价11225元/平米')
('https://image1.ljcdn.com/210200-inspection/f9fee119-4270-4660-8743-63b425969dc2.jpg.296x216.jpg', '泊林阳光A区 1室1厅 58.2万', '泊林阳光A区  | 1室1厅 | 48.57平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2007年建板楼  -  叠翠', '58.2万', '单价11983元/平米')
('https://image1.ljcdn.com/210200-inspection/9afd3988-3fa7-4d51-94d8-7ebb225960e0.jpg.296x216.jpg', '华南加州洋房公寓楼南向跃层房主诚心出售看房方便', '加州洋房  | 2室1厅 | 53.75平米 | 南 | 简装 | 有电梯', '中楼层(共8层)2008年建板楼  -  华南', '61万', '单价11349元/平米')
('https://image1.ljcdn.com/210200-inspection/test-5e86fd91-938d-4918-9f05-48c32c21c12d.png.296x216.jpg', '新华绿洲 精装修 两室南北通透 赠送花园', '新华绿洲  | 2室2厅 | 90.64平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2003年建板塔结合  -  大纺', '169.8万', '单价18734元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0d00b0d6-ae61-4237-8879-849ee866cfff.png.296x216.jpg', '户型好，南北两室，教育配套80中，近地铁', '王家桥  | 2室1厅 | 62.88平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  促进路', '90万', '单价14313元/平米')
('https://image1.ljcdn.com/210200-inspection/test-118386f6-4a01-4f4e-bbd4-6b4a2da5a42b.png.296x216.jpg', '大纺80中同侧，小户型两室，中间楼层，采光充足', '八十中东纬路  | 2室0厅 | 38.05平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1994年建板楼  -  促进路', '66万', '单价17346元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadc2cfd2cb-89e1-499f-b85f-2c440b0ee8c8.jpg.296x216.jpg', '第五郡四号地精装修三室两卫，满五唯一，楼位置好', '第五郡四号地  | 3室2厅 | 132平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2010年建板楼  -  第五郡', '330万', '单价25000元/平米')
('https://image1.ljcdn.com/210200-inspection/9b50b7ff-c58d-4980-b00b-af8c8d9c0281.jpg.296x216.jpg', '骏腾名苑 3室2厅 139.5万', '骏腾名苑  | 3室2厅 | 93.52平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)2008年建板楼  -  泉水美域盛景', '139.5万', '单价14917元/平米')
('https://image1.ljcdn.com/210200-inspection/88f6e03f-6a35-4c6d-94e5-a8301dfa976a.jpg.296x216.jpg', '房主诚心售房，中间楼层，精品装修，拎包入住', '芙蓉人家  | 2室2厅 | 91.33平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2006年建板楼  -  促进路', '183万', '单价20038元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f7d02d39-1f60-46c4-adcc-de87f7e35d4d.png.296x216.jpg', '马栏广场 彩虹园 2003年框架房 中间楼层 南向采光充足', '彩虹园  | 2室1厅 | 57.72平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2003年建板楼  -  马栏', '66万', '单价11435元/平米')
('https://image1.ljcdn.com/210200-inspection/fed19d31-534a-4cc4-ad27-447e8ccea71b.jpg.296x216.jpg', '芙蓉人家精装修四室南北向八十中交通便利配套齐全', '芙蓉人家  | 4室3厅 | 103.74平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  促进路', '197万', '单价18990元/平米')
('https://image1.ljcdn.com/210200-inspection/test-1a3722c5-b8fa-4d58-9024-d4a7b4e8a238.png.296x216.jpg', '万科精装修 位置好 采光好 看房有钥匙 交通便利', '万科魅力之城  | 2室1厅 | 75.56平米 | 南 | 精装 | 有电梯', '中楼层(共21层)2012年建板楼  -  魅力之城', '108.5万', '单价14360元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d04b9dc8-fada-4f96-b348-181d862df4aa.png.296x216.jpg', '西山水库西山阳光水岸 南向精装两室 电梯水景房', '西山阳光水岸  | 2室1厅 | 60.06平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  万科假日', '95万', '单价15818元/平米')
