('https://image1.ljcdn.com/210200-inspection/77c04763-38bb-4103-afb3-4104b70b0036.jpg.296x216.jpg', '金润三室 前后带院 门头已开好 位置好 适宜居住', '金润小区B区  | 3室1厅 | 102.18平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)2010年建板楼  -  金润', '90万', '单价8808元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload9d92639b-3090-4981-be3b-37288f34a746.jpg.296x216.jpg', '生辉 两室一厅 跃层 婚房装修', '生辉第一城  | 2室1厅 | 47.5平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  城润', '58.5万', '单价12316元/平米')
('https://image1.ljcdn.com/210200-inspection/baa031f9-ee2a-4ee1-b5bf-0245c66cc26e.JPG.296x216.jpg', '生辉第一城 3室1厅 76万', '生辉第一城  | 3室1厅 | 55平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2007年建板楼  -  城润', '76万', '单价13819元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0968fafa-7d3d-43c5-b95c-22842985e533.png.296x216.jpg', '滨海丰园三室两厅 通厅通透 户型好', '滨海丰园  | 3室2厅 | 102平米 | 南 北 | 简装', '低楼层(共17层)2011年建板楼  -  金湾新城', '85万', '单价8334元/平米')
('https://image1.ljcdn.com/210200-inspection/test-9c21e4f4-0608-47be-ab50-724cf821cc77.png.296x216.jpg', '此房采光充，精装修，框架楼。白色瓷砖楼', '桂林小区  | 2室1厅 | 42.37平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2006年建板楼  -  古城汇金', '30万', '单价7081元/平米')
('https://image1.ljcdn.com/210200-inspection/3f2ed853-5576-4d4a-aee4-826615a63921.jpg.296x216.jpg', '南棉小区 2室2厅 35万', '南棉小区  | 2室2厅 | 52.46平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1990年建板楼  -  南棉', '35万', '单价6672元/平米')
('https://image1.ljcdn.com/210200-inspection/290df7d4-6f2f-41d8-a578-cd3563ece71e.jpg.296x216.jpg', '东林世家  实验  101  上层跃层', '东林世家  | 1室1厅 | 33.68平米 | 东 西 | 简装 | 有电梯', '高楼层(共11层)2008年建塔楼  -  碧海', '49万', '单价14549元/平米')
('https://image1.ljcdn.com/210200-inspection/test-fac47a76-fef3-4795-b42b-2a867dedb125.png.296x216.jpg', '德泰岭秀逸城B区 3室2厅 136万', '德泰岭秀逸城B区  | 3室2厅 | 132平米 | 南 北 | 精装 | 有电梯', '低楼层(共34层)2013年建板楼  -  桃园', '136万', '单价10304元/平米')
('https://image1.ljcdn.com/210200-inspection/44641ca4-5bc2-40e3-949e-9d2956b5a557.jpg.296x216.jpg', '盛滨花园，精装修，可以做两室，，，', '盛滨花园A区  | 1室1厅 | 71.4平米 | 西北 | 精装 | 有电梯', '中楼层(共25层)2001年建板楼  -  站前', '49.9万', '单价6989元/平米')
('https://image1.ljcdn.com/210200-inspection/d806d3a9-9b37-49a2-8166-20a5b82df569.jpg.296x216.jpg', '南山市场 南北通透 户型好 优质房源', '联胜小区  | 2室2厅 | 95.5平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)2000年建塔楼  -  站前', '62万', '单价6493元/平米')
('https://image1.ljcdn.com/210200-inspection/e92665f6-bb8d-4da7-9f36-d65bc7dd659d.jpg.296x216.jpg', '碧海商圈二站体育场*小区两室一厅精装修', '体育场小区  | 2室1厅 | 67平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2007年建板楼  -  碧海', '42万', '单价6269元/平米')
('https://image1.ljcdn.com/210200-inspection/c32879b8-2836-4116-b383-d4a3ced64c51.jpg.296x216.jpg', '金连福地 两室一厅 清水房 此房为跃层的', '金连福地  | 2室1厅 | 51.11平米 | 南 | 毛坯 | 无电梯', '高楼层(共7层)2010年建板楼  -  站前', '48万', '单价9392元/平米')
('https://image1.ljcdn.com/210200-inspection/test-10690a50-5bd6-4464-b907-db3cfc5701b5.png.296x216.jpg', '碧海尚城 一居室 精装修 交通便利', '碧海尚城  | 1室1厅 | 63.8平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2007年建板楼  -  碧海', '44万', '单价6897元/平米')
('https://image1.ljcdn.com/210200-inspection/test-4c3a35fb-a8fa-4a77-b554-511420710fb0.png.296x216.jpg', '金元小区 2室1厅 42.8万', '金元小区  | 2室1厅 | 55平米 | 南 | 毛坯 | 无电梯', '低楼层(共7层)1999年建板楼  -  金润', '42.8万', '单价7782元/平米')
('https://image1.ljcdn.com/210200-inspection/f2677f3c-92fc-4236-85d0-caf9665c3e99.JPG.296x216.jpg', '古城乙区 南北通透  两室两厅，', '古城乙区  | 2室2厅 | 79平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  古城汇金', '47万', '单价5950元/平米')
('https://image1.ljcdn.com/210200-inspection/test-dda9e418-0ca0-4093-9fd2-5883f0af7462.png.296x216.jpg', '金纺馨公寓 框架房 交通便利 中间楼层', '金纺馨公寓  | 1室1厅 | 49.98平米 | 南 | 毛坯 | 有电梯', '高楼层(共18层)2006年建板楼  -  金纺', '31.8万', '单价6363元/平米')
('https://image1.ljcdn.com/210200-inspection/2d9111f8-b9d7-4a42-80e4-a1fa895e3cd9.jpg.296x216.jpg', '桃园小区1楼有下仓,可随意装修,位置好', '桃园小区  | 2室1厅 | 69.2平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)1992年建板楼  -  桃园', '50万', '单价7226元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a9a88fc0-ef5e-419d-ae95-14c9ca028723.png.296x216.jpg', '精装两室刚需婚房户型方正金马轻轨站旁交通便利', '新希望家园  | 2室1厅 | 77.74平米 | 东 西南 | 精装 | 有电梯', '高楼层(共28层)2009年建板塔结合  -  城润', '78万', '单价10034元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f67f9b5f-c728-4001-8f37-67f3077788ad.png.296x216.jpg', '金纺小区 2室1厅 28万', '金纺小区  | 2室1厅 | 46.71平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1988年建板楼  -  金纺', '28万', '单价5995元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload326b9bc7-63c8-4225-bc59-11c239131e1c.jpg.296x216.jpg', '生辉 跃层精装修 三室 拎包入住', '生辉第一城  | 3室1厅 | 55平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2007年建板楼  -  城润', '72.8万', '单价13237元/平米')
('https://image1.ljcdn.com/210200-inspection/26e3a3c3-b2df-415e-aed6-233d1ceefa37.jpg.296x216.jpg', '华夏金城！多层三楼！三室两厅两卫！南北通厅通透户型', '华夏金城  | 3室2厅 | 126.9平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2008年建板楼  -  古城汇金', '135万', '单价10639元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadca4601b3-3036-4f4c-a6cc-b5af5a230e07.jpg.296x216.jpg', '金纺小区两室一厅赠送3个仓房，精装修采光好', '金纺小区  | 2室1厅 | 54.17平米 | 南 | 精装 | 无电梯', '低楼层(共5层)1988年建板楼  -  金纺', '40.5万', '单价7477元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadc9e6e5b6-44ba-4e4f-84f1-bc3e4f383535.jpg.296x216.jpg', '金连领地 封闭小区 电梯房 中高层', '金连领地  | 2室1厅 | 81.47平米 | 南 | 精装 | 有电梯', '高楼层(共31层)1995年建板楼  -  南棉', '58万', '单价7120元/平米')
('https://image1.ljcdn.com/210200-inspection/test-8fea933d-609a-421f-b14e-87231cf5d453.png.296x216.jpg', '产权40年\u3000商\u3000住两用 拎包入住 南北通透 电梯入户', '御景园  | 2室2厅 | 76.95平米 | 南 北 | 精装', '低楼层(共6层)暂无数据  -  金石滩', '58万', '单价7538元/平米')
('https://image1.ljcdn.com/210200-inspection/ea371bc3-a6dc-4bda-b584-2e6270b4a3be.JPG.296x216.jpg', '南向跃层2居，视野采光好，使用面积110平。', '生辉第一城  | 2室2厅 | 55平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  城润', '64.8万', '单价11782元/平米')
('https://image1.ljcdn.com/210200-inspection/test-676491c2-3b87-4b77-ad18-7ea7c541cd9a.png.296x216.jpg', '连大一室精装修拎包入住近一中近沃尔玛近新玛特近安盛', '连大文润金宸一二期  | 1室1厅 | 41.06平米 | 北 | 简装 | 有电梯', '中楼层(共32层)2010年建板楼  -  连大', '32万', '单价7794元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploade43e81f2-89b0-4254-954d-39ec16e40e99.jpg.296x216.jpg', '辽轻院教师楼，南北，三楼，三室两卫，送仓房，保持好', '金纺纺校家属楼  | 3室2厅 | 115.36平米 | 南 北 | 精装', '中楼层(共7层)1995年建板楼  -  金纺', '75万', '单价6502元/平米')
('https://image1.ljcdn.com/210200-inspection/e1fc1f93-69f9-4c73-8b26-49cf267e8b66.jpg.296x216.jpg', '岭秀逸城小高层，楼层适中，不把边，配套齐全', '德泰岭秀逸城  | 2室1厅 | 86.11平米 | 南 北 | 其他 | 有电梯', '中楼层(共14层)2013年建板楼  -  桃园', '94万', '单价10917元/平米')
('https://image1.ljcdn.com/210200-inspection/62881155-b390-4827-9561-fdd2dd69d50a.jpg.296x216.jpg', '湖畔嘉园 5室3厅 320万', '湖畔嘉园  | 5室3厅 | 271平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2007年建板楼  -  碧海', '320万', '单价11809元/平米')
