('https://image1.ljcdn.com/210200-inspection/test-17f96236-17af-40cd-aa32-b43cc0d2e7a8.png.296x216.jpg', '大华精装修三室,拎包即住,随时看房.', '大华锦绣华城一期  | 3室2厅 | 91.35平米 | 南 北 | 精装 | 有电梯', '高楼层(共30层)2010年建板楼  -  庙岭', '235万', '单价25726元/平米')
('https://image1.ljcdn.com/210200-inspection/a858ad7e-23b2-4be0-8631-eba8620028a8.JPG.296x216.jpg', '新新园一期 4室2厅 190万', '新新园一期  | 4室2厅 | 160.74平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  庙岭', '190万', '单价11821元/平米')
('https://image1.ljcdn.com/210200-inspection/9177a63a-fc5f-45c8-8f9a-2d992e540653.JPG.296x216.jpg', '万奕学院派一室一厅精装修保持的很好，双语九年。', '万奕学院派  | 1室1厅 | 38.42平米 | 北 | 精装 | 有电梯', '中楼层(共13层)2010年建板楼  -  软件园', '105万', '单价27330元/平米')
('https://image1.ljcdn.com/210200-inspection/ae62fcbe-55a0-4eb8-9483-fa0e863a2674.JPG.296x216.jpg', '小区前排，一点不遮挡，采光好，视野开阔', '大华锦绣华城三期  | 4室2厅 | 131.18平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共30层)2012年建板楼  -  庙岭', '300万', '单价22870元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploade9f4500d-11f9-45fb-acfa-321440a75c9e.jpg.296x216.jpg', '理工西门，多层洋房，精装修，中间楼层，采光好', '华兴山庄  | 2室2厅 | 127.15平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  凌水', '188万', '单价14786元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload915bfeee-12d8-4369-aa80-1b4c53658789.JPG.296x216.jpg', '弘基一期三室两卫五明户型南北通透电梯房精装修可看海', '弘基一期  | 3室2厅 | 136.54平米 | 东 南 北 | 精装 | 有电梯', '中楼层(共13层)2001年建板楼  -  学府', '285万', '单价20874元/平米')
('https://image1.ljcdn.com/210200-inspection/test-bf36fcdb-d88d-475d-a59c-6c972af780e9.png.296x216.jpg', '弘基二期 2室2厅 225万', '弘基二期  | 2室2厅 | 107.23平米 | 南 北 | 简装 | 有电梯', '高楼层(共15层)2003年建板楼  -  学府', '225万', '单价20983元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload81ca58ad-c99d-4f83-882b-3b241027600b.JPG.296x216.jpg', '装修保持好，采光充足，近软件园，适合改善居住。', '亿达国际新城  | 3室2厅 | 117.93平米 | 南 北 | 精装 | 有电梯', '高楼层(共13层)2004年建板楼  -  软件园', '305万', '单价25863元/平米')
('https://image1.ljcdn.com/210200-inspection/3754cfb0-4c43-4389-8a29-502c0d555887.jpg.296x216.jpg', '多层洋房，带前后花园，南北通透，两室两厅！', '华兴尚园  | 2室1厅 | 89.47平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2008年建板楼  -  凌水', '200.5万', '单价22410元/平米')
('https://image1.ljcdn.com/210200-inspection/test-bd07411f-28c5-4770-be4e-2790724e391f.png.296x216.jpg', '中铁诺德B区 精装3室 一天未住 lou王位置 不把边', '中铁诺德滨海花园  | 3室2厅 | 91.34平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2015年建板楼  -  七贤岭', '202万', '单价22116元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadfddbde1c-c6ef-4a7e-8d3e-fd4710bbc5cb.jpg.296x216.jpg', '宏都峰景 2室1厅 190万', '宏都峰景  | 2室1厅 | 78.42平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2012年建板楼  -  万达', '190万', '单价24229元/平米')
('https://image1.ljcdn.com/210200-inspection/d559698e-660b-4f8c-82cb-9b65535f6b6c.JPG.296x216.jpg', '百万左右南向小两室，进地铁，近公交', '嘉创E人国际  | 2室1厅 | 58.41平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2011年建板楼  -  万达', '105万', '单价17977元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e45ffa75-e075-4896-b324-892d47697f27.png.296x216.jpg', '中铁大开发商三室改善楼层佳精装修拎包住看房方便', '中铁诺德滨海花园  | 3室2厅 | 91.5平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2015年建板楼  -  七贤岭', '218万', '单价23826元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload50512897-841d-43fc-a7ce-6130ccbd9410.jpg.296x216.jpg', '硅谷假日跃三层精装修，赠送露台，地铁沿线，改善居住', '硅谷假日  | 4室2厅 | 96.05平米 | 南 北 | 精装 | 有电梯', '高楼层(共10层)2005年建板楼  -  万达', '340万', '单价35399元/平米')
('https://image1.ljcdn.com/210200-inspection/test-70fc733d-7d3a-4c28-98de-3517653a5deb.png.296x216.jpg', '国滨馆 3室2厅 383万', '国滨馆  | 3室2厅 | 156平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2015年建板楼  -  万达', '383万', '单价24552元/平米')
