('https://image1.ljcdn.com/440600-inspection/cad2c1b2-f1dd-408c-b196-04501d45de57.jpg.296x216.jpg', '山水龙盘  花园小区 四房出售', '山水龙盘  | 4室2厅 | 118.52平米 | 南 北 | 其他', '中楼层(共25层)2015年建塔楼  -  三水', '142.3万', '单价12000元/平米')
('', '西南二小区 4室2厅 95万', '西南二小区  | 4室2厅 | 157.97平米 | 东南 北 | 简装', '高楼层(共7层)板楼  -  三水', '95万', '单价6014元/平米')
('', '三水万达广场 1室1厅 59万', '三水万达广场  | 1室1厅 | 56平米 | 南 | 其他', '中楼层(共29层)2017年建塔楼  -  三水', '59万', '单价10536元/平米')
('', '三水万达广场 1室1厅 39.5万', '三水万达广场  | 1室1厅 | 45平米 | 北 | 其他', '中楼层(共29层)2017年建塔楼  -  三水', '39.5万', '单价8778元/平米')
('', '山水庄园 6室3厅 380万', '山水庄园   | 独栋别墅 | 6室3厅 | 317.83平米 | 东南 南 | 毛坯', '1层2013年建暂无数据  -  三水', '380万', '单价11957元/平米')
('', '山水龙盘 花园小区 三房出售', '山水龙盘  | 3室2厅 | 90平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  三水', '76万', '单价8445元/平米')
('', '雅典居 3室2厅 123.8万', '雅典居  | 3室2厅 | 95.3平米 | 南 | 其他', '中楼层(共26层)暂无数据  -  三水', '123.8万', '单价12991元/平米')
('', '雍翠新城 3室2厅 110万', '雍翠新城  | 3室2厅 | 127平米 | 南 北 | 精装', '低楼层(共16层)2014年建塔楼  -  三水', '110万', '单价8662元/平米')
('', '沙头二街 3室2厅 55万', '沙头二街  | 3室2厅 | 116.7平米 | 东 | 简装', '高楼层(共8层)1997年建板楼  -  三水', '55万', '单价4713元/平米')
('', '御江南 1室1厅 43万', '御江南  | 1室1厅 | 40平米 | 南 | 其他', '高楼层(共27层)2012年建塔楼  -  三水', '43万', '单价10750元/平米')
('', '恒福丽铂公馆 2室2厅 54万', '恒福丽铂公馆  | 2室2厅 | 56平米 | 西南 | 其他', '低楼层(共32层)塔楼  -  三水', '54万', '单价9643元/平米')
