('https://image1.ljcdn.com/440600-inspection/test-4dad8e1a-6bfb-4c18-9472-ded3a55f49df.png.296x216.jpg', '依云天汇 3室2厅 265万', '依云天汇  | 3室2厅 | 102.12平米 | 南 | 其他', '低楼层(共45层)2011年建塔楼  -  千灯湖', '265万', '单价25950元/平米')
('https://image1.ljcdn.com/440600-inspection/test-c6bd6949-d926-4e4f-ab47-2c82cf1d1275.png.296x216.jpg', '中海万锦豪园 4室2厅 630万', '中海万锦豪园  | 4室2厅 | 196.48平米 | 南 北 | 精装', '低楼层(共17层)2005年建塔楼  -  千灯湖', '630万', '单价32065元/平米')
('https://image1.ljcdn.com/440600-inspection/test-1b64acda-43d3-4a66-9697-c9f9bc64c802.png.296x216.jpg', '桂南名都 一房一厅 配套成熟 交通便利', '桂南名都  | 1室1厅 | 39.2平米 | 东 | 精装', '高楼层(共28层)2007年建塔楼  -  桂城东（城市广场）', '80万', '单价20409元/平米')
('https://image1.ljcdn.com/440600-inspection/test-2e84208b-a417-405f-930a-972f4b5a48ce.png.296x216.jpg', '中海寰宇天下 礌岗地铁口 交通便利', '中海寰宇天下  | 3室2厅 | 89平米 | 西北 | 精装', '60层2015年建板塔结合  -  千灯湖', '280万', '单价31461元/平米')
('https://image1.ljcdn.com/440600-inspection/test-bfd588ac-3130-4e79-98a7-0f18622942db.png.296x216.jpg', '恒大御景 3室2厅 132万', '恒大御景  | 3室2厅 | 84平米 | 北 | 其他', '高楼层(共32层)2018年建塔楼  -  狮山', '132万', '单价15715元/平米')
('https://image1.ljcdn.com/440600-inspection/test-6cb017e2-0575-4534-b6cb-0585081f1b51.png.296x216.jpg', '依云天汇 带装修大三房 交通', '依云天汇  | 3室2厅 | 104平米 | 南 | 精装', '低楼层(共45层)2011年建塔楼  -  千灯湖', '280万', '单价26924元/平米')
('https://image1.ljcdn.com/440600-inspection/test-19a28843-50aa-4b7d-8b17-a9e7e245770b.png.296x216.jpg', '中恒海晖城,五房，格局方正', '中恒海晖城  | 5室2厅 | 90.65平米 | 南 | 精装', '高楼层(共15层)2018年建塔楼  -  狮山', '136万', '单价15003元/平米')
('https://image1.ljcdn.com/440600-inspection/test-0504ae59-2acc-4483-bd7d-d56183f820f5.png.296x216.jpg', '中海寰宇天下 大三房 140方', '中海寰宇天下  | 3室2厅 | 140平米 | 南 | 精装', '56层2015年建板塔结合  -  千灯湖', '400万', '单价28572元/平米')
('https://image1.ljcdn.com/440600-inspection/0a1f3434-1ac1-4d67-b16f-51341446a168.jpg.296x216.jpg', '云山峰境三期 3室2厅 108万', '云山峰境三期  | 3室2厅 | 91.4平米 | 南 北 | 精装', '高楼层(共18层)2015年建塔楼  -  丹灶', '108万', '单价11817元/平米')
('https://image1.ljcdn.com/440600-inspection/test-c12551f7-f0cd-412f-a46f-e065067cb59f.png.296x216.jpg', '桂丹颐景园 3室1厅 115万', '桂丹颐景园  | 3室1厅 | 89平米 | 南 | 精装', '低楼层(共33层)2016年建塔楼  -  丹灶', '115万', '单价12922元/平米')
('https://image1.ljcdn.com/440600-inspection/fc638f52-0cc1-4214-a4d5-de1566abe8de.jpg.296x216.jpg', '基业花园 户型方正 低层楼梯', '基业花园  | 2室2厅 | 77.5平米 | 南 | 简装', '8层2005年建板塔结合  -  平洲', '89万', '单价11484元/平米')
('https://image1.ljcdn.com/440600-inspection/test-e75c3d0c-ee8c-447f-a6fd-ee7316f2df5c.png.296x216.jpg', '中恒海晖城 3房2厅 125万元', '中恒海晖城  | 3室2厅 | 89平米 | 南 | 简装', '高楼层(共17层)2018年建塔楼  -  狮山', '125万', '单价14045元/平米')
('https://image1.ljcdn.com/440600-inspection/test-1c38554c-c3e6-447e-ad7d-34acbe3659a4.png.296x216.jpg', '上林苑 装修3房 带家具家电', '上林苑  | 3室2厅 | 92平米 | 北 | 其他', '高楼层(共18层)2013年建塔楼  -  狮山', '155万', '单价16848元/平米')
('https://image1.ljcdn.com/440600-inspection/test-09fbedc0-a2cd-421f-b90e-8d8c578fd55e.png.296x216.jpg', '南海万科广场 4室2厅 400万', '南海万科广场  | 4室2厅 | 136.27平米 | 南 | 其他', '低楼层(共37层)2016年建塔楼  -  佛平路', '400万', '单价29354元/平米')
('https://image1.ljcdn.com/440600-inspection/test-1c10c6eb-a43e-4335-8f65-77b5ff6b4430.png.296x216.jpg', '西提国 际花园 三房两厅', '西堤国际花园  | 3室2厅 | 122.91平米 | 南 北 | 其他', '11层2011年建板塔结合  -  狮山', '163万', '单价13262元/平米')
('https://image1.ljcdn.com/440600-inspection/test-394744cf-02df-4a29-b862-4474fd12fe59.png.296x216.jpg', '保利花园三期 3室2厅 459.52万', '保利花园三期  | 3室2厅 | 143.6平米 | 南 北 | 其他', '中楼层(共18层)2009年建塔楼  -  千灯湖', '459.6万', '单价32000元/平米')
