('https://image1.ljcdn.com/440600-inspection/8b97ab30-9e17-43de-af59-711f2161936b.jpg.296x216.jpg', '利豪名郡 2室2厅 145万', '利豪名郡  | 2室2厅 | 83.7平米 | 南 | 简装', '高楼层(共17层)2011年建塔楼  -  澜石', '145万', '单价17324元/平米')
('https://image1.ljcdn.com/440600-inspection/e2f93fb3-605c-4f73-a16f-86d8d93c65fd.jpg.296x216.jpg', '红棉雅苑 3室2厅 227万', '红棉雅苑  | 3室2厅 | 124.09平米 | 东北 | 精装', '低楼层(共14层)2006年建塔楼  -  亲仁', '227万', '单价18294元/平米')
('https://image1.ljcdn.com/440600-inspection/664e6f34-73a1-4fa1-b9af-c08a88f8ed39.jpg.296x216.jpg', '意境星语花园 3室2厅 150万', '意境星语花园  | 3室2厅 | 89.37平米 | 南 北 | 精装', '中楼层(共11层)2011年建塔楼  -  张槎', '150万', '单价16785元/平米')
('https://image1.ljcdn.com/440600-inspection/270a06e2-8772-4393-a3c6-311455102597.jpg.296x216.jpg', '玫瑰园山水居 3室2厅 155万', '玫瑰园山水居  | 3室2厅 | 105平米 | 南 | 精装', '中楼层(共6层)2003年建板楼  -  绿景', '155万', '单价14762元/平米')
('https://image1.ljcdn.com/440600-inspection/0eb395b3-4ae6-4e38-8169-8a9e0235cf5f.jpg.296x216.jpg', '海景蓝湾 装修4房', '海景蓝湾  | 4室2厅 | 165.74平米 | 南 | 精装', '中楼层(共28层)2011年建塔楼  -  澜石', '348万', '单价20997元/平米')
('https://image1.ljcdn.com/440600-inspection/26fe4e6d-076a-434b-8a16-962abfa3356d.jpg.296x216.jpg', '沿海馨庭 南向精装3房 户型方正 刚需实用 交通便利', '沿海馨庭  | 3室2厅 | 92.11平米 | 南 | 精装', '高楼层(共32层)2013年建塔楼  -  澜石', '190万', '单价20628元/平米')
('https://image1.ljcdn.com/440600-inspection/a3776a91-411b-41be-b729-729ce79f9c61.jpg.296x216.jpg', '玫瑰园山水居 新装修大四房，送新家电，', '玫瑰园山水居  | 4室2厅 | 146平米 | 南 | 精装', '高楼层(共10层)2003年建塔楼  -  绿景', '246万', '单价16850元/平米')
('https://image1.ljcdn.com/440600-inspection/819ccf81-fc78-4211-ab35-085808dfe470.jpg.296x216.jpg', '佛山万科城 3室2厅 132万', '佛山万科城  | 3室2厅 | 84.61平米 | 北 | 其他', '高楼层(共28层)2017年建板楼  -  南庄', '132万', '单价15601元/平米')
('https://image1.ljcdn.com/440600-inspection/74c3e5b8-0e6c-4498-8afc-4c872d290f58.JPG.296x216.jpg', '金地珑悦花园 三房两厅 环境优美', '金地珑悦  | 3室2厅 | 89平米 | 南 | 精装', '低楼层(共34层)2017年建塔楼  -  湖景', '160万', '单价17978元/平米')
('https://image1.ljcdn.com/440600-inspection/b191c5bf-63e1-4dae-a5f5-4c444cf1ec2a.JPG.296x216.jpg', '时代香海彼岸 3室2厅 210万', '时代香海彼岸  | 3室2厅 | 96.55平米 | 南 | 精装', '高楼层(共35层)2017年建塔楼  -  魁奇', '210万', '单价21751元/平米')
('https://image1.ljcdn.com/440600-inspection/7bbc200e-804b-44a3-becb-5b4ba31bfe1f.jpg.296x216.jpg', '绿地璀璨天城 3室2厅 239万', '绿地璀璨天城  | 3室2厅 | 104平米 | 南 北 | 其他', '低楼层(共33层)2018年建塔楼  -  湖景', '239万', '单价22981元/平米')
('https://image1.ljcdn.com/440600-inspection/d62cb93b-0ef0-411c-ab71-a91ab7460e66.jpg.296x216.jpg', '泷景花园 2室1厅 175万', '泷景花园  | 2室1厅 | 88.37平米 | 北 | 精装', '中楼层(共39层)塔楼  -  澜石', '175万', '单价19804元/平米')
('https://image1.ljcdn.com/440600-inspection/150852cf-bed1-4b0a-b6ee-685ce38a1aa0.jpg.296x216.jpg', '港宏世家 4室2厅 243万', '港宏世家  | 4室2厅 | 187平米 | 南 | 毛坯', '中楼层(共18层)2017年建塔楼  -  南庄', '243万', '单价12995元/平米')
('https://image1.ljcdn.com/440600-inspection/74adb300-3dd5-4d67-98b7-d2a920987b1d.jpg.296x216.jpg', '保利香槟花园 3室2厅 160万', '保利香槟花园  | 3室2厅 | 91.62平米 | 南 | 精装', '高楼层(共16层)2012年建塔楼  -  张槎', '160万', '单价17464元/平米')
('https://image1.ljcdn.com/440600-inspection/572dd5e4-02ed-44e7-80f3-32269e4b025d.jpg.296x216.jpg', '滨海御庭 南向中高楼层 有钥匙 看房方便', '滨海御庭  | 3室2厅 | 88.94平米 | 南 | 毛坯', '中楼层(共32层)2008年建塔楼  -  澜石', '175万', '单价19677元/平米')
('https://image1.ljcdn.com/440600-inspection/149134dc-3456-435c-bd46-5b9dfa10c20d.jpg.296x216.jpg', '汇银W新港湾 3室2厅 145万', '汇银W新港湾  | 3室2厅 | 91.56平米 | 北 | 精装', '高楼层(共18层)2017年建塔楼  -  南庄', '145万', '单价15837元/平米')
('https://image1.ljcdn.com/440600-inspection/40010d09-03b5-44c5-917c-b7e6fb37cad0.jpg.296x216.jpg', '普澜二路 3室2厅 123万', '普澜二路  | 3室2厅 | 88平米 | 南 | 其他', '中楼层(共7层)2001年建板楼  -  同济', '123万', '单价13978元/平米')
('https://image1.ljcdn.com/440600-inspection/2a86448c-640e-4fc8-bbea-68c28932ae38.jpg.296x216.jpg', '星海岸 靓装修2房 五年唯一 高层南向 采光好 通风好', '星海岸城市花园  | 2室2厅 | 82.02平米 | 南 | 精装', '高楼层(共17层)2012年建塔楼  -  澜石', '168万', '单价20483元/平米')
('https://image1.ljcdn.com/440600-inspection/f6a2f76a-6042-426f-9146-ee66e969360e.jpg.296x216.jpg', '丽日豪庭 2室2厅 190万', '丽日豪庭  | 2室2厅 | 85平米 | 南 | 简装', '低楼层(共6层)2002年建板楼  -  魁奇', '190万', '单价22353元/平米')
('https://image1.ljcdn.com/440600-inspection/f7b02790-26b9-46ec-b36b-f395b4ead69b.jpg.296x216.jpg', '天御盈品 1室1厅 75万', '天御盈品  | 1室1厅 | 51.13平米 | 西 | 其他', '中楼层(共26层)2012年建塔楼  -  绿景', '75万', '单价14669元/平米')
('https://image1.ljcdn.com/440600-inspection/252f89b9-dd91-45d6-8071-e03b83e60325.jpg.296x216.jpg', '碧桂园城市花园南区 3室2厅 210万', '碧桂园城市花园南区  | 3室2厅 | 117平米 | 北 | 毛坯', '中楼层(共32层)2013年建板塔结合  -  澜石', '210万', '单价17949元/平米')
('https://image1.ljcdn.com/440600-inspection/d106501a-30aa-428d-b636-64ab462de35e.jpg.296x216.jpg', '锦隆花园 3室2厅 280万', '锦隆花园  | 3室2厅 | 113.96平米 | 南 | 其他', '高楼层(共15层)2012年建塔楼  -  福升', '280万', '单价24571元/平米')
('https://image1.ljcdn.com/440600-inspection/99de88dd-a7ae-4c9b-9373-d411f42e162a.jpg.296x216.jpg', '东海国际花园四区1期 4室2厅 198万', '东海国际花园四区1期  | 4室2厅 | 118平米 | 北 | 其他', '低楼层(共17层)2014年建塔楼  -  汾江北', '198万', '单价16780元/平米')
('https://image1.ljcdn.com/440600-inspection/764f9748-8e44-4e66-8563-730c05b7b89a.jpg.296x216.jpg', '盈彩美居 2室2厅 120万', '盈彩美居  | 2室2厅 | 72.66平米 | 西南 | 其他', '高楼层(共25层)2007年建塔楼  -  季华', '120万', '单价16516元/平米')
('https://image1.ljcdn.com/440600-inspection/f240c11b-27e1-4671-bde5-84bbe1930fed.jpg.296x216.jpg', '盛南新都 交通便利 毛坯4房望花园', '盛南新都  | 4室2厅 | 144.7平米 | 北 南 | 毛坯', '低楼层(共31层)2016年建塔楼  -  石湾', '258万', '单价17830元/平米')
('https://image1.ljcdn.com/440600-inspection/612a8e7c-3ae6-4cd9-98a7-94c4a5e8845b.jpg.296x216.jpg', '天御尚城 3室2厅 170万', '天御尚城  | 3室2厅 | 88.14平米 | 北 | 其他', '中楼层(共24层)2012年建塔楼  -  绿景', '170万', '单价19288元/平米')
('https://image1.ljcdn.com/440600-inspection/835ac22b-746d-4d74-9aaf-a98ca4f9f59b.jpg.296x216.jpg', '天御盈品 1室1厅 82万', '天御盈品  | 1室1厅 | 50平米 | 南 | 其他', '低楼层(共26层)2012年建塔楼  -  绿景', '82万', '单价16400元/平米')
('https://image1.ljcdn.com/440600-inspection/47b66fd0-18ae-469f-b4dd-ee7840041949.jpg.296x216.jpg', '世纪嘉园方正舒适4房2厅 3.8米层高南北通透季华地铁口', '世纪嘉园  | 4室2厅 | 213.7平米 | 南 北 | 其他', '中楼层(共15层)2007年建塔楼  -  季华', '342万', '单价16004元/平米')
('https://image1.ljcdn.com/440600-inspection/c8f37198-7f6b-4e84-912c-b3846589b8e8.jpg.296x216.jpg', '恒福新城 毛坯出售', '恒福新城  | 4室2厅 | 188平米 | 南 北 | 其他', '低楼层(共22层)2010年建塔楼  -  朝安', '432.4万', '单价23000元/平米')
('https://image1.ljcdn.com/440600-inspection/d8a4e81e-f482-4f20-a48d-8f7b4882cdba.jpg.296x216.jpg', '南桂二街 2室2厅 128万', '南桂二街  | 2室2厅 | 101.35平米 | 南 | 其他', '中楼层(共7层)板楼  -  南桂西', '128万', '单价12630元/平米')
('https://image1.ljcdn.com/440600-inspection/d369dd64-f9d9-4495-ade1-f535eb5e80ed.jpg.296x216.jpg', '恒福新城 4室2厅 310万', '恒福新城  | 4室2厅 | 156平米 | 北 | 其他', '中楼层(共18层)2010年建塔楼  -  朝安', '310万', '单价19872元/平米')
('https://image1.ljcdn.com/440600-inspection/60bd6c36-5161-406b-aebc-060438f86947.jpg.296x216.jpg', '利豪名郡 3室2厅 176万', '利豪名郡  | 3室2厅 | 110.42平米 | 南 | 精装', '中楼层(共17层)2011年建塔楼  -  澜石', '176万', '单价15940元/平米')
