('https://image1.ljcdn.com/440600-inspection/0f1800d2-f314-450d-845b-3beaa9b01a93.jpg.296x216.jpg', '精装修3房 大阳台 送入户花园 家私电器全送  满五年', '金河水岸  | 3室2厅 | 109.21平米 | 北 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '148万', '单价13552元/平米')
('https://image1.ljcdn.com/440600-inspection/c2ef03a3-4c5f-4f01-91ee-1c4537683831.jpg.296x216.jpg', '威斯广场雍景轩 2室2厅 116万', '威斯广场雍景轩  | 2室2厅 | 91.79平米 | 南 | 其他', '中楼层(共11层)2005年建塔楼  -  乐从', '116万', '单价12638元/平米')
('https://image1.ljcdn.com/440600-inspection/fab29bf5-ae81-4e26-9f02-73581748762b.jpg.296x216.jpg', '帝锋康庭 电梯两房 高层 东南向 装修新净', '帝锋康庭  | 2室1厅 | 51.3平米 | 东南 | 其他', '20层2008年建板塔结合  -  乐从', '60万', '单价11696元/平米')
('https://image1.ljcdn.com/440600-inspection/5cf66d05-5ec9-4a1c-83f8-8c318baa6ed4.jpg.296x216.jpg', '佛山奥园美林水岸 3室2厅 167.4万', '佛山奥园美林水岸  | 3室2厅 | 124.06平米 | 西南 | 毛坯', '高楼层(共18层)2008年建塔楼  -  乐从', '167.4万', '单价13494元/平米')
('https://image1.ljcdn.com/440600-inspection/52b711e6-1f53-4b2c-a911-5d8b7799d54c.jpg.296x216.jpg', '嘉信城市花园三期 3室2厅 288万', '嘉信城市花园三期  | 3室2厅 | 160.75平米 | 东南 | 其他', '低楼层(共23层)2011年建塔楼  -  大良新区', '288万', '单价17917元/平米')
('https://image1.ljcdn.com/440600-inspection/2a08275c-9c0b-42bc-bb69-42124c16d94d.jpg.296x216.jpg', '保利东湾东景花园 4室2厅 340万', '保利东湾东景花园  | 4室2厅 | 146.41平米 | 南 | 毛坯', '高楼层(共29层)2014年建塔楼  -  乐从', '340万', '单价23223元/平米')
('https://image1.ljcdn.com/440600-inspection/a2756e1d-5186-4b29-a2ab-7de7c3aa1f0c.jpg.296x216.jpg', '万科水晶城 3室2厅 248万', '万科水晶城  | 3室2厅 | 113平米 | 南 北 | 其他', '低楼层(共32层)2012年建塔楼  -  陈村', '248万', '单价21947元/平米')
('https://image1.ljcdn.com/440600-inspection/8c3e7b3d-be04-4698-a4ac-dfc954d10618.jpg.296x216.jpg', '金河水岸 4室2厅 222万', '金河水岸  | 4室2厅 | 178平米 | 南 | 其他', '中楼层(共26层)2009年建塔楼  -  乐从', '222万', '单价12472元/平米')
('https://image1.ljcdn.com/440600-inspection/43fde8d8-931c-49e7-9d37-057567dd96a4.jpg.296x216.jpg', '康城尚域尚华苑 3室2厅 160万', '康城尚域尚华苑  | 3室2厅 | 104平米 | 南 | 其他', '高楼层(共7层)2005年建塔楼  -  大良东区', '160万', '单价15385元/平米')
('https://image1.ljcdn.com/440600-inspection/24dd257c-533d-445c-957a-9b007ce6db4a.jpg.296x216.jpg', '康城花园百合园 3室2厅 178万', '康城花园百合园  | 3室2厅 | 109.1平米 | 南 | 其他', '低楼层(共7层)2004年建板楼  -  大良东区', '178万', '单价16316元/平米')
('https://image1.ljcdn.com/440600-inspection/843b929d-bda7-4e1d-92d8-9f2ae14962cf.jpg.296x216.jpg', '博澳城 4室2厅 168万', '博澳城  | 4室2厅 | 144平米 | 南 北 | 其他', '低楼层(共21层)塔楼  -  大良北区', '168万', '单价11667元/平米')
