('https://image1.ljcdn.com/440100-inspection/e9faa787-6770-4c5e-8319-83c94bcf6037.jpg.296x216.jpg', '万科金色城品 精装3房 南向望园景', '万科金色城品  | 3室2厅 | 63平米 | 东南 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  沙湾', '360万', '单价57143元/平米')
('https://image1.ljcdn.com/440100-inspection/2aad71a4-2506-4b90-8284-e44a213a99ee.JPG.296x216.jpg', '金海岸一期 楼梯楼 望园景 业主只有一套房', '金海岸花园金石碧苑  | 3室2厅 | 92.9平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  市桥东', '268万', '单价28849元/平米')
('https://image1.ljcdn.com/440100-inspection/4a784dd0-b2f0-4a70-8060-67020aa1a9cd.jpg.296x216.jpg', '祈福新村康怡居 3室2厅 248万', '祈福新村康怡居  | 3室2厅 | 80.61平米 | 北 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  祈福', '248万', '单价30766元/平米')
('https://image1.ljcdn.com/440100-inspection/3f8282e8-3c67-43e4-9054-5b8b53c2720e.jpg.296x216.jpg', '锦官城 高层三房诚售', '雅居乐锦官城雍容南台  | 3室2厅 | 98.25平米 | 东北 | 毛坯 | 有电梯', '高楼层(共15层)2011年建塔楼  -  沙湾', '285万', '单价29008元/平米')
('https://image1.ljcdn.com/440100-inspection/dab26283-0b1c-4d41-a640-47a35d5b2b4a.jpg.296x216.jpg', '尚东尚筑A区 中间楼层 朝向南 毛坯可以自己装修', '尚东尚筑  | 4室2厅 | 128平米 | 南 | 毛坯 | 有电梯', '中楼层(共18层)2008年建塔楼  -  市桥东', '423万', '单价33047元/平米')
('https://image1.ljcdn.com/440100-inspection/9b0efc80-23c2-4b58-9154-85a8d1e5218d.jpg.296x216.jpg', '百乐园，高楼层，采光好，南北通透', '富丽家园百乐园  | 2室1厅 | 75.63平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1995年建塔楼  -  大石', '155万', '单价20495元/平米')
('https://image1.ljcdn.com/440100-inspection/9528496f-7f7e-48b4-a4cb-72a0cbccdc5c.JPG.296x216.jpg', '桥东路 中楼层  大四房 市桥繁华位置', '桥东路  | 4室1厅 | 88.4平米 | 南 | 其他 | 无电梯', '高楼层(共7层)暂无数据  -  市桥', '148万', '单价16743元/平米')
('https://image1.ljcdn.com/440100-inspection/f41b5e3a-02f7-47c9-92ef-2618ebd4daee.jpg.296x216.jpg', '奥园养生广场 高楼层两方', '奥园养生广场  | 2室2厅 | 82.35平米 | 南 | 简装 | 有电梯', '中楼层(共30层)2012年建塔楼  -  沙湾', '112万', '单价13601元/平米')
('https://image1.ljcdn.com/440100-inspection/b5524a4c-6899-4257-b883-1ad977786303.jpg.296x216.jpg', '富丽家园  框架结构 格局方正 高层采光好', '富丽家园百佳楼  | 3室2厅 | 91.5平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  大石', '162万', '单价17705元/平米')
('https://image1.ljcdn.com/440100-inspection/8311a339-796a-4fba-aec7-241060dc5e26.JPG.296x216.jpg', '祈福新村青怡居 大两房 南向精装修', '祈福新村青怡居  | 2室2厅 | 68.9平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1995年建板楼  -  祈福', '198万', '单价28738元/平米')
('https://image1.ljcdn.com/440100-inspection/0d6c2fdd-198c-411b-a5dc-bfb59279049d.jpg.296x216.jpg', '金利大厦 标准三房 交通便利', '金利大厦  | 3室2厅 | 114平米 | 南 北 | 其他 | 无电梯', '中楼层(共8层)1998年建塔楼  -  市桥', '260万', '单价22808元/平米')
('https://image1.ljcdn.com/440100-inspection/ab5d4080-e3b9-4fdd-9ae4-24d26a6ba91f.jpg.296x216.jpg', '富庭东园  中楼层南向三房 通风采光好', '富庭东园  | 3室1厅 | 71平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2003年建板楼  -  大石', '215万', '单价30282元/平米')
('https://image1.ljcdn.com/440100-inspection/09e8dc0a-94b3-40e2-82a0-29d6c7a60932.jpg.296x216.jpg', '德字楼,电梯一房 带大阳台', '丽江花园德荫楼  | 1室0厅 | 36平米 | 西北 | 简装 | 有电梯', '低楼层(共16层)1997年建塔楼  -  南浦', '118万', '单价32778元/平米')
('https://image1.ljcdn.com/440100-inspection/5243ab27-fa1a-42f8-bf7e-e9b9e69df8ea.JPG.296x216.jpg', '金沙湾花园 3室2厅 300万', '金沙湾花园  | 3室2厅 | 106.3平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2007年建塔楼  -  沙湾', '300万', '单价28223元/平米')
('https://image1.ljcdn.com/440100-inspection/e68aa4a2-632b-4299-8bac-b6309390542f.jpg.296x216.jpg', '锦绣生态园 大三房出售', '锦绣生态园乐满园  | 3室2厅 | 120平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2003年建塔楼  -  钟村', '300万', '单价25000元/平米')
('https://image1.ljcdn.com/440100-inspection/fd6ddc57-916a-4219-a458-97e589f5edff.jpg.296x216.jpg', '东华花园 东西对流两房 可改三房 满五唯一免个税', '东华花园  | 2室2厅 | 83.9平米 | 东 西 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  市桥东', '213万', '单价25388元/平米')
('https://image1.ljcdn.com/440100-inspection/test-dea81fd8-b229-46e9-9814-e52dee05750f.png.296x216.jpg', '朗陶居 低层三房 户型方正 采光好', '朗陶居  | 3室2厅 | 118.7平米 | 南 | 精装 | 无电梯', '低楼层(共7层)2001年建塔楼  -  沙湾', '259万', '单价21820元/平米')
('https://image1.ljcdn.com/440100-inspection/3d2ca4a6-8121-429d-870f-e375b327cb48.jpg.296x216.jpg', '东方花园又一居 大三房 望园景', '东方花园又一居  | 3室2厅 | 124.5平米 | 南 | 简装 | 有电梯', '低楼层(共16层)2002年建塔楼  -  市桥', '380万', '单价30523元/平米')
('https://image1.ljcdn.com/440100-inspection/81287b36-e278-4dea-b6a9-78cae7f81f9f.jpg.296x216.jpg', '洛湖居 南向两房 望花园', '芳华花园洛湖居  | 2室1厅 | 69平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1999年建塔楼  -  洛溪', '215万', '单价31160元/平米')
