('https://image1.ljcdn.com/440100-inspection/e74c660e-183a-4352-a7f9-531a9954f25b.jpg.296x216.jpg', '科城山庄精装五房 南北通透 近地铁', '科城山庄  | 6室2厅 | 239平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2012年建塔楼  -  科学城', '850万', '单价35565元/平米')
('https://image1.ljcdn.com/440100-inspection/21cbb65b-69dc-46f8-a4c0-2e17ce5410fb.jpg.296x216.jpg', '金碧领秀 南向单间 精致装修', '金碧领秀国际  | 1室0厅 | 39平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2007年建塔楼  -  区府', '170万', '单价43590元/平米')
('https://image1.ljcdn.com/440100-inspection/7d7dee74-356b-498c-b1fe-c6dce80ba05b.jpg.296x216.jpg', '三村远洋宿舍 2室1厅 168万', '三村远洋宿舍  | 2室1厅 | 60.22平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1999年建板楼  -  区府', '168万', '单价27898元/平米')
('https://image1.ljcdn.com/440100-inspection/ee18755a-749f-4e6b-a3a5-636e8e499d33.jpg.296x216.jpg', '悦涛雅苑，精装修两房，地铁口，交通便利', '悦涛雅苑  | 2室1厅 | 61平米 | 北 | 精装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  区府', '235万', '单价38525元/平米')
('https://image1.ljcdn.com/440100-inspection/11ca231a-c728-468b-8d9b-538ba114e467.jpg.296x216.jpg', '港湾五村 温馨两房 看房方便 交通便利', '港湾五村  | 2室1厅 | 49.06平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1999年建板楼  -  区府', '175万', '单价35671元/平米')
('https://image1.ljcdn.com/440100-inspection/50760b67-8d71-4bcc-8607-f62fa838fbf8.jpg.296x216.jpg', '海关大院  精装三房 户型方正', '海关大院  | 3室1厅 | 93平米 | 西 | 精装 | 有电梯', '高楼层(共30层)1998年建塔楼  -  区府', '297万', '单价31936元/平米')
('https://image1.ljcdn.com/440100-inspection/4369a8a4-6275-41ad-994e-c364cdf25a26.jpg.296x216.jpg', '金碧世纪花园 南向两居 装修两年没入住', '金碧世纪花园  | 2室1厅 | 65.8平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2004年建塔楼  -  区府', '260万', '单价39514元/平米')
('https://image1.ljcdn.com/440100-inspection/654ae0b9-36c2-47f8-84c5-8f5fea3a4f83.jpg.296x216.jpg', '黄埔花园 精装一房一厅 格局方正', '黄埔花园  | 1室1厅 | 62.13平米 | 东南 | 精装 | 有电梯', '低楼层(共24层)2011年建塔楼  -  区府', '265万', '单价42653元/平米')
('https://image1.ljcdn.com/440100-inspection/a74d65c5-94bc-40e3-95ba-e41829afc20b.jpg.296x216.jpg', '林语山庄望小区游泳池别致三房  近地铁 配套完善', '保利林语山庄6区  | 3室2厅 | 103平米 | 西北 | 简装 | 有电梯', '中楼层(共18层)塔楼  -  科学城', '345万', '单价33496元/平米')
('https://image1.ljcdn.com/440100-inspection/43e05751-40a2-42f0-a690-14255216252b.jpg.296x216.jpg', '黄埔花园 南向高层 江景四房 送车位', '黄埔花园  | 4室2厅 | 138平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2011年建塔楼  -  区府', '700万', '单价50725元/平米')
('https://image1.ljcdn.com/440100-inspection/27805cff-9961-4ad5-a01f-ebe638fa4360.jpg.296x216.jpg', '金碧世纪花园 南向高楼层 望花园 精装修', '金碧世纪花园  | 3室2厅 | 108平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '435万', '单价40278元/平米')
