('https://image1.ljcdn.com/340100-inspection/dc1c6217-f3b8-4225-8a9d-f628a7042745.jpg.296x216.jpg', '纯毛坯三房，南北通透，送产权车位，', '蓝鼎星河府  | 3室2厅 | 122.76平米 | 南 北 | 其他', '低楼层(共31层)2013年建塔楼  -  周谷堆', '197万', '单价16048元/平米')
('https://image1.ljcdn.com/340100-inspection/04224d35-a359-4478-a02a-0caeba1f0cd8.jpg.296x216.jpg', '铂金汉宫 挑高复式楼 户型方正 中间楼层  采光好', '铂金汉宫  | 2室2厅 | 50.77平米 | 东 | 其他', '高楼层(共24层)2009年建塔楼  -  包公', '96万', '单价18909元/平米')
('https://image1.ljcdn.com/340100-inspection/e29091d5-216f-466c-b4f4-4503fd1c9c9d.jpg.296x216.jpg', '海顿公馆 复式两房 朝东双阳台 采光好 中楼层 单价低', '绿地海顿公馆D  | 2室2厅 | 83.83平米 | 南 | 其他', '低楼层(共18层)2011年建板楼  -  周谷堆', '126万', '单价15031元/平米')
('https://image1.ljcdn.com/340100-inspection/d44d684c-2654-4988-860e-896a199ea97a.jpg.296x216.jpg', '桐城绿苑 2室1厅 90万', '桐城绿苑  | 2室1厅 | 57.69平米 | 南 | 其他', '高楼层(共25层)2011年建板塔结合  -  常青', '90万', '单价15601元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload70e38b1e-55ff-4eb1-83a8-5a520097ee9e.jpg.296x216.jpg', '琥珀新天地西苑 小区中间位置  小高层适合居住', '琥珀新天地西苑  | 3室2厅 | 100.96平米 | 南 | 其他', '低楼层(共11层)2010年建板楼  -  常青', '165万', '单价16344元/平米')
('https://image1.ljcdn.com/340100-inspection/bdb8e5dc-f9cb-4607-9743-547f640688e5.JPG.296x216.jpg', '满五非唯一，无增值税，精装修，送储物间。', '元一柏庄  | 3室2厅 | 111.96平米 | 南 | 其他', '高楼层(共34层)2008年建板楼  -  周谷堆', '161万', '单价14381元/平米')
('https://image1.ljcdn.com/340100-inspection/a4da8ea2-a894-48f5-8751-882867d6bf9f.jpg.296x216.jpg', '地矿家园 新上精装3房满2年中间层 采光好家电家具都送', '地矿家园  | 3室2厅 | 109.95平米 | 南 | 精装', '高楼层(共34层)2012年建板楼  -  周谷堆', '177万', '单价16099元/平米')
('https://image1.ljcdn.com/340100-inspection/c3aceac3-e674-4105-8672-fdf91f8acb87.jpg.296x216.jpg', '精装修两房   南北通透 东边套 采光充足 业主诚售', '地矿家园  | 2室2厅 | 96.68平米 | 南 北 | 其他', '中楼层(共34层)2012年建板楼  -  周谷堆', '162万', '单价16757元/平米')
('https://image1.ljcdn.com/340100-inspection/786bd7b1-eaf7-48af-b4eb-3037446a72a4.jpg.296x216.jpg', '边套两房户型 朝南双阳台 阳台8平米 满两年 采光好', '万振逍遥苑四期  | 2室2厅 | 81.56平米 | 南 | 其他', '中楼层(共34层)2008年建板楼  -  周谷堆', '120万', '单价14714元/平米')
('https://image1.ljcdn.com/340100-inspection/a0cd741c-744b-4b00-8644-e32e07b658d2.jpg.296x216.jpg', '为你而选为你为家 天下锦城  毛坯房   户型好 小高层', '天下锦城巴斯镇  | 2室2厅 | 83.34平米 | 南 | 其他', '15层板楼  -  常青', '160万', '单价19199元/平米')
('https://image1.ljcdn.com/340100-inspection/54c4b936-a719-4f43-bd9f-c6d00da5abbb.jpg.296x216.jpg', '绿地铭公馆 2室2厅 145万', '绿地铭公馆  | 2室2厅 | 74.79平米 | 南 | 其他', '中楼层(共33层)2014年建板楼  -  常青', '145万', '单价19388元/平米')
('https://image1.ljcdn.com/340100-inspection/bdd95db2-aedf-4842-a850-00cdb8d58c2f.jpg.296x216.jpg', '万振四期 精装修两居室 视野采光无遮挡 位置安静 通风', '万振逍遥苑四期  | 2室2厅 | 90.5平米 | 南 | 其他', '中楼层(共33层)2008年建板楼  -  周谷堆', '152万', '单价16796元/平米')
('https://image1.ljcdn.com/340100-inspection/2d9c7363-32aa-4645-88c1-ab732ba2f72d.jpg.296x216.jpg', '精装复式 电梯房 配套齐 采光好 实际面积大', '江南新里程  | 3室2厅 | 63.51平米 | 东北 | 其他', '低楼层(共16层)2009年建塔楼  -  芜湖路', '116万', '单价18265元/平米')
('https://image1.ljcdn.com/340100-inspection/21a7ee02-ea64-4002-ac09-4fd1a6841e25.jpg.296x216.jpg', '满2年 地铁沿线 精装两房 可拎包入住 全明户型', '金悦领地  | 2室1厅 | 54.58平米 | 南 | 其他', '中楼层(共29层)2008年建板楼  -  周谷堆', '105万', '单价19238元/平米')
