('https://image1.ljcdn.com/340100-inspection/d314142f-f3da-4dd7-ac64-9a151bec095b.JPG.296x216.jpg', '恒盛招牌敞亮大三房 南北双阳台 无遮挡采光', '恒盛皇家花园  | 3室2厅 | 132.96平米 | 南 北 | 其他', '低楼层(共24层)2013年建板楼  -  林店', '170万', '单价12786元/平米')
('https://image1.ljcdn.com/340100-inspection/7cf14ae6-b1d1-4564-9ef2-e84ecf3b5b03.jpg.296x216.jpg', '水木春城 4室2厅 300万', '水木春城  | 4室2厅 | 156.33平米 | 南 | 其他', '低楼层(共18层)2010年建板楼  -  四里河', '300万', '单价19191元/平米')
('https://image1.ljcdn.com/340100-inspection/26e234f1-dbb2-4f95-8333-372a283f2d10.jpg.296x216.jpg', '瑞地祥和府 2室1厅 100万', '瑞地祥和府  | 2室1厅 | 55.17平米 | 北 | 其他', '高楼层(共20层)2012年建塔楼  -  海棠', '100万', '单价18126元/平米')
('https://image1.ljcdn.com/340100-inspection/a1eca815-2093-47db-a5e9-16fdb376738c.jpg.296x216.jpg', '： 庐阳区政府单位房，市政集中供暖，采光好。', '庐阳馨苑  | 3室2厅 | 117.18平米 | 南 北 | 其他', '低楼层(共18层)2010年建板塔结合  -  海棠', '198万', '单价16898元/平米')
('https://image1.ljcdn.com/340100-inspection/cfe74145-9465-4d90-a6dc-5c77215c2d17.jpg.296x216.jpg', '海亚花园，中间楼层，采光充足，南北通透，位处繁华', '海亚花园  | 3室2厅 | 157.63平米 | 南 北 | 其他', '中楼层(共9层)板楼  -  逍遥津', '230万', '单价14592元/平米')
('https://image1.ljcdn.com/340100-inspection/f55a2d43-a410-4aa6-9203-928b6083e9af.jpg.296x216.jpg', '水木春城 3室2厅 225万', '水木春城  | 3室2厅 | 132.69平米 | 南 | 其他', '低楼层(共18层)2010年建板楼  -  四里河', '225万', '单价16957元/平米')
('https://image1.ljcdn.com/340100-inspection/491a660a-ab8c-4013-9d23-25d10b52d003.jpg.296x216.jpg', '紫桐新村(C区.D区) 2室2厅 95万', '紫桐新村(C区.D区)  | 2室2厅 | 66.22平米 | 南 | 其他', '高楼层(共6层)2005年建板楼  -  四里河', '95万', '单价14347元/平米')
('https://image1.ljcdn.com/340100-inspection/3498b119-e4d9-4ac6-b536-9f14c8b76a82.jpg.296x216.jpg', '为您选择为您家 荷塘月色两房 业主诚心售', '荷塘月色  | 2室1厅 | 90平米 | 南 | 其他', '中楼层(共18层)2006年建板楼  -  海棠', '145万', '单价16112元/平米')
('https://image1.ljcdn.com/340100-inspection/05767207-7dd2-4687-a710-585c03e31f94.jpg.296x216.jpg', '幸福人家 3室2厅 157万', '幸福人家  | 3室2厅 | 95.88平米 | 南 | 其他', '低楼层(共6层)2001年建板楼  -  亳州', '157万', '单价16375元/平米')
('https://image1.ljcdn.com/340100-inspection/86d7c9a2-24ae-4b23-b0ca-a6d600a3b005.jpg.296x216.jpg', '为你而选为你为家 雅筑纯毛坯 随时看房', '置地栢景雅筑  | 2室1厅 | 101.27平米 | 南 | 其他', '低楼层(共18层)2014年建塔楼  -  亳州', '176万', '单价17380元/平米')
('https://image1.ljcdn.com/340100-inspection/2d88100c-6f84-4667-b331-73f6542a71c5.jpg.296x216.jpg', '新装修，南向正规二居室，采光视野好', '杏花小区  | 2室1厅 | 56.55平米 | 南 | 其他', '高楼层(共6层)1992年建板楼  -  三孝口', '82万', '单价14501元/平米')
