('https://image1.ljcdn.com/340100-inspection/b38fdbfa-b5e1-4192-959b-33a6be533b07.jpg.296x216.jpg', '绿怡居东区 2室1厅 94万', '绿怡居东区  | 2室1厅 | 51.8平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '94万', '单价18147元/平米')
('https://image1.ljcdn.com/340100-inspection/57e34aa1-04c8-43aa-9dbb-dee93dfc9f4c.jpg.296x216.jpg', '水墨兰庭 2室2厅 255万', '水墨兰庭  | 2室2厅 | 110平米 | 南 北 | 其他', '低楼层(共9层)2005年建板楼  -  笔架山', '255万', '单价23182元/平米')
('https://image1.ljcdn.com/340100-inspection/7d110c18-50a4-4fc5-8a04-8ff2ad644f83.jpg.296x216.jpg', '恒润花园居家中等装修3居室，天鹅湖万达商圈', '合肥恒润花园  | 3室2厅 | 129.1平米 | 南 | 其他', '中楼层(共16层)2006年建板楼  -  笔架山', '275万', '单价21302元/平米')
('https://image1.ljcdn.com/340100-inspection/a72ecd23-b0a3-4c64-844b-17f4428caaf5.jpg.296x216.jpg', '凯旋门三居室、三开间朝南、高楼层，诚心卖', '凯旋门  | 3室2厅 | 119.24平米 | 南 | 其他', '高楼层(共51层)2012年建塔楼  -  荷叶地', '288万', '单价24153元/平米')
('https://image1.ljcdn.com/340100-inspection/b3961916-f7b0-4588-866e-227ae7584a5f.jpg.296x216.jpg', '户型稀有，诚意卖，采光好，简装', '天鹅湖一号  | 4室2厅 | 163平米 | 南 | 其他', '中楼层(共34层)2011年建塔楼  -  荷叶地', '420万', '单价25767元/平米')
('https://image1.ljcdn.com/340100-inspection/fc741d21-5654-4b53-b8ea-b71b5955007b.JPG.296x216.jpg', '交通便利   采光充足  位置安静', '国际丽晶城  | 3室2厅 | 91.11平米 | 南 北 | 其他', '高楼层(共26层)2006年建塔楼  -  笔架山', '218万', '单价23928元/平米')
('https://image1.ljcdn.com/340100-inspection/0f416f0a-525e-444a-a281-b136a09e00ea.jpg.296x216.jpg', '旭辉花园 3室2厅 406万', '旭辉花园  | 3室2厅 | 157.1平米 | 南 | 其他', '32层2012年建板楼  -  荷叶地', '406万', '单价25844元/平米')
('https://image1.ljcdn.com/340100-inspection/253580b8-9f50-495e-b933-c05db7f80e21.jpg.296x216.jpg', '政务区恒大华府大平层大四房，楼层好，装修保养好。', '恒大华府  | 4室2厅 | 206平米 | 南 北 | 精装', '中楼层(共32层)2011年建板楼  -  兴园', '415万', '单价20146元/平米')
('https://image1.ljcdn.com/340100-inspection/d1ba4b5d-d3ab-4cef-90a8-5d00e030197c.jpg.296x216.jpg', '琥珀五环城精装四房，楼层高，视野好', '琥珀五环城和风阁  | 4室2厅 | 141.69平米 | 南 | 其他', '高楼层(共32层)2016年建塔楼  -  荷叶地', '325万', '单价22938元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload371d06e4-0212-404a-9406-b7adf737b308.jpg.296x216.jpg', '合肥恒润花园 3室2厅 265万', '合肥恒润花园  | 3室2厅 | 140.46平米 | 南 北 | 其他', '低楼层(共16层)2006年建板楼  -  笔架山', '265万', '单价18867元/平米')
('https://image1.ljcdn.com/340100-inspection/e44493e9-de8b-4eb7-88cb-d4018ff79651.jpg.296x216.jpg', '为你而选 为你为家  水墨兰亭中装二房 采光好 楼层佳', '水墨兰庭  | 2室1厅 | 83平米 | 南 | 其他', '高楼层(共26层)2005年建板塔结合  -  笔架山', '210万', '单价25302元/平米')
('https://image1.ljcdn.com/340100-inspection/9aec3fcd-f11e-464f-ac95-edfab16bc71b.jpg.296x216.jpg', '精装自住大三房，高楼层，采光好。小区环境幽静。', '丹青花园  | 3室2厅 | 137.95平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  荷叶地', '250万', '单价18123元/平米')
('https://image1.ljcdn.com/340100-inspection/af8d5955-e11e-4c42-8bc1-ac2dc0801db4.JPG.296x216.jpg', '融科九重锦，人车分流，生活便利，环境好、朝南采光好', '融科九重锦  | 2室1厅 | 67.92平米 | 南 | 其他', '高楼层(共26层)2010年建塔楼  -  笔架山', '165万', '单价24294元/平米')
('https://image1.ljcdn.com/340100-inspection/4d9b725e-2478-474c-90fb-2d5e1379754d.jpg.296x216.jpg', '保利精装四房，精装修，中高楼层，采光好，视野开阔', '保利香槟国际  | 4室2厅 | 138.9平米 | 南 | 其他', '中楼层(共41层)2015年建塔楼  -  兴园', '365万', '单价26278元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload98381272-e1d7-4979-9868-a28b4aea71f4.jpg.296x216.jpg', '地段繁华 出行方便 采光无遮挡', '茗香苑  | 2室2厅 | 91.03平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  荷叶地', '175万', '单价19225元/平米')
('https://image1.ljcdn.com/340100-inspection/553fbb82-65d8-4456-a9fe-bf433f7ed832.jpg.296x216.jpg', '为你而选 为你为家  满二年 楼层好 位置佳 采光无遮挡', '凯旋门  | 3室2厅 | 108.66平米 | 南 北 | 其他', '中楼层(共41层)2012年建塔楼  -  荷叶地', '330万', '单价30370元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada2beb351-d4cc-472f-b267-fea8edf9af5b.jpg.296x216.jpg', '满5年，房型方正，小区位置好!', '宋都西湖花苑  | 3室2厅 | 121.85平米 | 南 北 | 其他', '低楼层(共16层)2007年建板楼  -  笔架山', '289万', '单价23718元/平米')
('https://image1.ljcdn.com/340100-inspection/b8f2ecb8-cd70-4259-9dd5-2dcd8ba263c6.jpg.296x216.jpg', '保利香槟国际精装两室 采光无遮挡 满两年税费少', '保利香槟国际  | 2室1厅 | 84.7平米 | 南 | 其他', '中楼层(共33层)2014年建塔楼  -  兴园', '195万', '单价23023元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload808d312b-7ea1-43e7-b03e-39a9d8e1f113.jpg.296x216.jpg', '水墨蘭庭住宅小公寓，可以落*西园校区和五十中新区', '水墨兰庭  | 2室1厅 | 69.52平米 | 南 | 其他', '低楼层(共24层)2005年建塔楼  -  笔架山', '175万', '单价25173元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploaddf7a27c4-8389-47b2-99cc-30d8cd7535f4.jpg.296x216.jpg', '冷暖双供  欢乐谷幼儿园、西园新村、五十中新区', '天鹅湖畔  | 3室2厅 | 129.37平米 | 南 | 其他', '中楼层(共27层)2008年建塔楼  -  笔架山', '366万', '单价28291元/平米')
