('https://image1.ljcdn.com/340100-inspection/79021de0-8fab-4b80-92e3-27e81c75dfa5.JPG.296x216.jpg', '莱茵河畔花园 2室2厅 102万', '莱茵河畔花园  | 2室2厅 | 78.54平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  东站', '102万', '单价12988元/平米')
('https://image1.ljcdn.com/340100-inspection/b8aec25d-3f18-4488-b7d4-0798d50b3161.JPG.296x216.jpg', '家电齐全 拎包入住 香江生态名郡 3室2厅1厨1卫102.8㎡', '香江生态名郡  | 3室2厅 | 102.8平米 | 南 | 其他', '中楼层(共26层)2010年建塔楼  -  七里塘', '115万', '单价11187元/平米')
('https://image1.ljcdn.com/340100-inspection/bdc807f8-afe8-4c20-a4ea-001bff23f0fe.JPG.296x216.jpg', '中环东方名景 南北三居室 户型方正 无浪费', '中环东方名景  | 3室2厅 | 123.41平米 | 南 北 | 简装', '低楼层(共18层)2006年建板楼  -  七里塘', '141万', '单价11426元/平米')
('https://image1.ljcdn.com/340100-inspection/9017e429-03ef-4ebf-80b2-a55f91c24d65.jpg.296x216.jpg', '此房满五 大三房 精装修 拎包即住', '隆昊昊天园  | 3室2厅 | 143平米 | 南 | 其他', '低楼层(共18层)2012年建板塔结合  -  七里塘', '172万', '单价12028元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadcfe90af1-0da5-4c11-acb7-684c561059cc.JPG.296x216.jpg', '品质小区 精装修 满五年 看房方便 采光充足', '帝豪星港湾  | 2室2厅 | 89.14平米 | 南 | 其他', '高楼层(共18层)2009年建板塔结合  -  七里塘', '120万', '单价13462元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9c776a7c-be98-434a-85b6-dbb3a500f013.JPG.296x216.jpg', '单价低，复式带露台，精装修直接入住', '香江生态丽景  | 3室2厅 | 114平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '148万', '单价12983元/平米')
('https://image1.ljcdn.com/340100-inspection/0ddce739-4be1-433b-8bce-87b99b371f98.JPG.296x216.jpg', '省二院 精装 满五唯一户型方正 业主诚售', '铁静苑B区  | 2室2厅 | 85.03平米 | 南 | 其他', '高楼层(共6层)2000年建塔楼  -  七里塘', '96万', '单价11291元/平米')
('https://image1.ljcdn.com/340100-inspection/291046a3-ce68-46ea-a062-d7a46e8f079c.JPG.296x216.jpg', '家天下 精装三房，户型方正，采光很好。', '家天下  | 3室2厅 | 104.8平米 | 南 北 | 其他', '高楼层(共32层)2014年建塔楼  -  七里塘', '190万', '单价18130元/平米')
('https://image1.ljcdn.com/340100-inspection/b5fb1d07-fdd7-44bf-9860-a57e79c13a3d.JPG.296x216.jpg', '精装修 拎包入住 随时看房  价格可谈 交通便利', '家天下  | 2室2厅 | 77平米 | 南 | 其他', '低楼层(共27层)2014年建塔楼  -  七里塘', '128万', '单价16624元/平米')
('https://image1.ljcdn.com/340100-inspection/d30679ed-5e12-434a-b2d7-4b9edc444202.JPG.296x216.jpg', '家天下精装两房，采光充足，业主诚心卖', '家天下  | 2室2厅 | 77.07平米 | 南 | 其他', '低楼层(共27层)2014年建塔楼  -  七里塘', '135万', '单价17517元/平米')
('https://image1.ljcdn.com/340100-inspection/7495f2d7-9498-4bb1-b1d4-6ecf4a570461.JPG.296x216.jpg', '家天下 2室2厅 139万', '家天下  | 2室2厅 | 77.08平米 | 南 | 其他', '高楼层(共27层)2014年建塔楼  -  七里塘', '139万', '单价18034元/平米')
('https://image1.ljcdn.com/340100-inspection/6c6b1e04-4843-4a67-a0d9-cff2bb373599.JPG.296x216.jpg', '周边设施齐全，精装修  拎包入住 交通便利', '康城水云间  | 3室2厅 | 98.52平米 | 南 北 | 精装', '高楼层(共18层)塔楼  -  七里塘', '147万', '单价14921元/平米')
('https://image1.ljcdn.com/340100-inspection/f79194a6-00db-4be8-b33f-bf01d1b1cc31.JPG.296x216.jpg', '安粮双景佳苑 3室2厅 175万', '安粮双景佳苑  | 3室2厅 | 122.65平米 | 南 北 | 其他', '中楼层(共11层)塔楼  -  七里塘', '175万', '单价14269元/平米')
('https://image1.ljcdn.com/340100-inspection/0df0e29f-34b0-41f4-a457-cb2e208a2f4d.JPG.296x216.jpg', '金成港湾 2室2厅 123万', '金成港湾  | 2室2厅 | 88.34平米 | 南 | 其他', '中楼层(共24层)暂无数据  -  七里塘', '123万', '单价13924元/平米')
('https://image1.ljcdn.com/340100-inspection/664afd06-b32e-466e-b4f5-32261819c76f.JPG.296x216.jpg', '信达格兰云天 3室2厅 145万', '信达格兰云天  | 3室2厅 | 106.96平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '145万', '单价13557元/平米')
('https://image1.ljcdn.com/340100-inspection/9c137eb6-ad92-4712-9673-c55e01db94b7.JPG.296x216.jpg', '信达格兰云天 2室2厅 135万', '信达格兰云天  | 2室2厅 | 89.98平米 | 南 | 其他', '中楼层(共24层)塔楼  -  七里塘', '135万', '单价15004元/平米')
('https://image1.ljcdn.com/340100-inspection/a71969cb-2113-4693-92d2-71b4b04f551c.JPG.296x216.jpg', '碧水雅居 3室2厅 135万', '碧水雅居  | 3室2厅 | 101.4平米 | 南 | 其他', '中楼层(共26层)2008年建板楼  -  七里塘', '135万', '单价13314元/平米')
('https://image1.ljcdn.com/340100-inspection/01007fff-24ff-4970-bbd4-3fc4785c551f.JPG.296x216.jpg', '信达格兰云天 2室2厅 135万', '信达格兰云天  | 2室2厅 | 84.8平米 | 南 | 其他', '低楼层(共18层)塔楼  -  七里塘', '135万', '单价15920元/平米')
('https://image1.ljcdn.com/340100-inspection/dd011cba-1d8a-4166-bc3a-c795ab0d1306.JPG.296x216.jpg', '碧水雅居 2室2厅 130万', '碧水雅居  | 2室2厅 | 99.83平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  七里塘', '130万', '单价13023元/平米')
('https://image1.ljcdn.com/340100-inspection/ef89f909-9caf-44ef-90d1-e2378abbe4bd.JPG.296x216.jpg', '国耀园上园，毛坯三房，看房方便。', '国耀园上园  | 3室1厅 | 97平米 | 南 北 | 其他', '低楼层(共16层)2012年建板塔结合  -  东站', '145万', '单价14949元/平米')
('https://image1.ljcdn.com/340100-inspection/a74f6724-6c18-4ccb-8abf-97d426d03935.JPG.296x216.jpg', '家天下精装两房，采光好，环境优美', '家天下  | 2室2厅 | 77平米 | 南 | 其他', '中楼层(共27层)2014年建塔楼  -  七里塘', '132.6万', '单价17221元/平米')
('https://image1.ljcdn.com/340100-inspection/30bb9ead-9bc5-400a-b6d8-42786b9fc8a8.JPG.296x216.jpg', '中兴西湖花园 3室2厅 160万', '中兴西湖花园  | 3室2厅 | 126.29平米 | 南 北 | 其他', '中楼层(共18层)2004年建板塔结合  -  七里塘', '160万', '单价12670元/平米')
('https://image1.ljcdn.com/340100-inspection/4f823baa-ecd7-40ad-adf5-21ede524f5f5.JPG.296x216.jpg', '国耀园上园 3室2厅 150万', '国耀园上园  | 3室2厅 | 96.86平米 | 南 北 | 其他', '低楼层(共18层)2012年建板塔结合  -  东站', '150万', '单价15487元/平米')
('https://image1.ljcdn.com/340100-inspection/c30e2f40-68d4-4bb2-8939-a87ae46704d8.JPG.296x216.jpg', '瑶海区帝豪星港湾精装2室诚意出售', '帝豪星港湾  | 2室2厅 | 90.13平米 | 南 | 其他', '中楼层(共18层)2009年建板塔结合  -  七里塘', '115万', '单价12760元/平米')
('https://image1.ljcdn.com/340100-inspection/220e770c-f6b3-43c6-bd36-6b7d802bb8b2.JPG.296x216.jpg', '在一楼不用爬楼，老人可多考虑居住', '兴海苑  | 2室2厅 | 82.64平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '92万', '单价11133元/平米')
('https://image1.ljcdn.com/340100-inspection/ef3a7e85-386e-4f06-bec7-2cbedf614f4c.JPG.296x216.jpg', '阳光汇景，精装两室，家电家具齐全，拎包即住', '阳光汇景  | 2室2厅 | 85.9平米 | 南 | 其他', '中楼层(共18层)2007年建板塔结合  -  七里塘', '125万', '单价14552元/平米')
('https://image1.ljcdn.com/340100-inspection/6a33b75b-228b-4159-919b-cade7fd431e3.JPG.296x216.jpg', '品质商品房小区，南北自带露台，不靠马路，看房也方便', '中兴西湖花园  | 2室2厅 | 102.71平米 | 南 北 | 简装', '低楼层(共18层)2004年建板塔结合  -  七里塘', '130万', '单价12657元/平米')
('https://image1.ljcdn.com/340100-inspection/1efee960-7fa1-4dc6-9235-521ad57ebe8b.JPG.296x216.jpg', '家天下两居室，户型方正，采光无遮挡', '家天下  | 2室2厅 | 77.05平米 | 南 | 其他', '低楼层(共27层)2014年建塔楼  -  七里塘', '128万', '单价16613元/平米')
('https://image1.ljcdn.com/340100-inspection/971f31e6-ef3e-4e8f-894e-1212cbb72dfc.JPG.296x216.jpg', '实嘉原创生活 品质小区 户型方正  满五年', '实嘉原创生活  | 3室2厅 | 104.91平米 | 南 北 | 其他', '中楼层(共11层)2011年建板塔结合  -  东站', '148万', '单价14108元/平米')
('https://image1.ljcdn.com/340100-inspection/6622ab59-7a13-4e2b-a979-140888106b9e.JPG.296x216.jpg', '品质商品房小区，上下两层，不靠马路，看房也方便', '家天下四期  | 2室1厅 | 47.97平米 | 南 | 精装', '高楼层(共19层)2014年建塔楼  -  七里塘', '80万', '单价16678元/平米')
('https://image1.ljcdn.com/340100-inspection/7d746942-1274-41da-a348-2a1a3966a258.jpg.296x216.jpg', '巴黎春天 精装两居室 看房方便，中间楼层，采光不挡', '巴黎春天  | 2室2厅 | 85.25平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  七里塘', '120万', '单价14077元/平米')
('https://image1.ljcdn.com/340100-inspection/45244253-c88f-4c13-a12a-69aab47c5d0b.JPG.296x216.jpg', '精装房 交通便利 小区环境幽雅', '隆昊昊博园  | 2室1厅 | 59.81平米 | 南 | 其他', '低楼层(共18层)塔楼  -  七里塘', '76万', '单价12707元/平米')
('https://image1.ljcdn.com/340100-inspection/cf67d60a-2ff0-421c-90b7-8085972e891a.JPG.296x216.jpg', '安粮双景佳苑，精装两房，看房方便，', '安粮双景佳苑  | 2室2厅 | 73平米 | 南 | 其他', '低楼层(共11层)塔楼  -  七里塘', '106万', '单价14521元/平米')
('https://image1.ljcdn.com/340100-inspection/1fc91bf3-4d94-41d8-ad8a-b63fbb012650.JPG.296x216.jpg', '家天下四期，家电家具齐全，上下复式，拎包即住', '家天下四期  | 1室1厅 | 38.7平米 | 南 北 | 其他', '中楼层(共19层)2014年建塔楼  -  七里塘', '72万', '单价18605元/平米')
('https://image1.ljcdn.com/340100-inspection/ec03e9cf-02af-478d-9b5b-e0935d06b2ea.jpg.296x216.jpg', '瑶海生态公园旁 品质社区  复式采光佳  南北双阳台', '香江生态丽景  | 3室2厅 | 132.04平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '165万', '单价12497元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf046eda3-dfb4-4f5f-9c79-4016af2c0ebc.jpg.296x216.jpg', '业主诚心出售，采光无遮挡，好楼层！！！', '兴海苑  | 3室2厅 | 122.12平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  七里塘', '130万', '单价10646元/平米')
('https://image1.ljcdn.com/340100-inspection/c5326886-1cab-4927-a004-41c7a2cece5d.JPG.296x216.jpg', '德邦翠馨居 2室2厅 110万', '德邦翠馨居  | 2室2厅 | 89.93平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '110万', '单价12232元/平米')
