('https://image1.ljcdn.com/340100-inspection/84da976b-a06e-477d-a6f4-542f1a6a88b9.jpg.296x216.jpg', '蓝鼎滨湖假日翰林苑 3室2厅 170万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 86.3平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '170万', '单价19699元/平米')
('https://image1.ljcdn.com/340100-inspection/fbe68cc3-814c-42de-a3ac-9669add6d7dd.JPG.296x216.jpg', '清华园精装三房，送车位。业主诚心出售', '蓝鼎滨湖假日清华园  | 3室1厅 | 87.79平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '196万', '单价22327元/平米')
('https://image1.ljcdn.com/340100-inspection/06225d5c-ba3b-4086-8e23-272883ceeba3.JPG.296x216.jpg', '枫丹园 正对塘西河公园 满五年唯一  325万', '蓝鼎滨湖假日枫丹园  | 4室2厅 | 135.46平米 | 南 北 | 其他', '中楼层(共32层)2012年建塔楼  -  滨湖世纪', '326万', '单价24067元/平米')
('https://image1.ljcdn.com/340100-inspection/6f0b0118-8c77-46c8-b607-b00874b95751.JPG.296x216.jpg', '此房为三房，一室朝南，两室朝北，南北通透，采光好。', '旭辉御府  | 3室2厅 | 92.06平米 | 南 北 | 其他', '中楼层(共35层)2014年建塔楼  -  烟墩', '189万', '单价20531元/平米')
('https://image1.ljcdn.com/340100-inspection/57ee7343-24d1-44eb-9802-6af1a40d06ef.jpg.296x216.jpg', '滨湖 大两房 地铁口 配套齐全 满2年 诚意出售', '蓝鼎观湖苑  | 2室2厅 | 96.43平米 | 南 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '148万', '单价15348元/平米')
('https://image1.ljcdn.com/340100-inspection/test-00bc69b8-a468-44ce-a03b-7fb6fcbcd395.png.296x216.jpg', '繁华都市中一片宁静！配套成熟满五唯一 诚意出售', '蓝鼎观湖苑  | 2室1厅 | 71.77平米 | 南 | 其他', '中楼层(共33层)2010年建塔楼  -  滨湖世纪', '130万', '单价18114元/平米')
('https://image1.ljcdn.com/340100-inspection/3e17a7de-afaf-4980-a4c3-ff88bb7ff673.jpg.296x216.jpg', '巴黎都市边户4房含车位中间楼层直观巢湖随时看房', '巴黎都市波旁宫  | 4室2厅 | 131.86平米 | 南 北 | 毛坯', '高楼层(共30层)2014年建塔楼  -  方兴', '268万', '单价20325元/平米')
('https://image1.ljcdn.com/340100-inspection/27e4c42a-8e39-4218-8780-5b1a411ada3c.jpg.296x216.jpg', '万科统一精装修+车位+全天采光+观景房+看房方便+可谈', '万科蓝山一期  | 4室2厅 | 93.12平米 | 南 | 其他', '高楼层(共34层)2016年建塔楼  -  方兴', '218万', '单价23411元/平米')
('https://image1.ljcdn.com/340100-inspection/272eb890-c692-45e3-9163-2b4bc0aa0921.JPG.296x216.jpg', '大三房东边套，南北通透，带供暖，采光好，视野开阔', '滨湖品阁  | 3室2厅 | 121.87平米 | 南 北 | 简装', '中楼层(共28层)2007年建板塔结合  -  滨湖世纪', '265万', '单价21745元/平米')
('https://image1.ljcdn.com/340100-inspection/58a5a8d0-8df0-4de1-adc9-2f129f8eb5a7.JPG.296x216.jpg', '满五年带车位 南北通透 高楼层 采光足 阳光无遮挡', '世纪城徽杰苑  | 3室2厅 | 98.13平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '175万', '单价17834元/平米')
('https://image1.ljcdn.com/340100-inspection/a11db072-1e8d-4450-9e6f-f228fd1ca6d0.jpg.296x216.jpg', '满五年唯一，送车位，居家装修拎包入住，前后景观很棒', '世纪城春融苑  | 2室2厅 | 82.04平米 | 南 北 | 其他', '中楼层(共33层)2008年建塔楼  -  滨湖世纪', '165万', '单价20113元/平米')
('https://image1.ljcdn.com/340100-inspection/e5c67fce-83bb-4b8e-9175-9b7f8fd35a53.jpg.296x216.jpg', '金泉小区 南北通透三房 满两年 带车位有钥匙随时看房', '金泉小区  | 3室1厅 | 126.92平米 | 南 北 | 其他', '中楼层(共17层)2011年建板楼  -  滨湖世纪', '310万', '单价24425元/平米')
('https://image1.ljcdn.com/340100-inspection/a0457302-bfce-414c-a24d-ea69b8e73176.JPG.296x216.jpg', '精装两房 拎包入住  采光好 楼层好', '滨湖万科城  | 2室2厅 | 75.9平米 | 南 北 | 其他', '中楼层(共34层)2013年建塔楼  -  烟墩', '162万', '单价21344元/平米')
('https://image1.ljcdn.com/340100-inspection/74c37b32-d4bf-459d-8ab7-571dffeefdc7.JPG.296x216.jpg', '小区正中楼栋，视野开阔景观好，远离喧嚣，得房高', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 83.82平米 | 南 | 其他', '低楼层(共33层)2008年建塔楼  -  滨湖世纪', '165万', '单价19686元/平米')
('https://image1.ljcdn.com/340100-inspection/test-ac4adafd-e8d6-421e-b96e-d2ea1782d29b.png.296x216.jpg', '蓝鼎假日金榈园 装修好 楼层视野好 看房方便 诚售', '蓝鼎滨湖假日金榈园  | 3室2厅 | 90.55平米 | 南 | 其他', '中楼层(共22层)2012年建塔楼  -  滨湖世纪', '197万', '单价21756元/平米')
('https://image1.ljcdn.com/340100-inspection/71f55910-3507-465d-bdef-3d3009a9bb4b.JPG.296x216.jpg', '世纪城徽昌苑 3室2厅 169万', '世纪城徽昌苑  | 3室2厅 | 99.01平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '169万', '单价17069元/平米')
('https://image1.ljcdn.com/340100-inspection/test-750581d8-f947-438b-adc8-b6feba244f1d.png.296x216.jpg', '翰林苑低总价  简单一室  高楼层  采光好', '蓝鼎滨湖假日翰林苑  | 1室1厅 | 52.27平米 | 南 | 其他', '高楼层(共33层)2008年建板塔结合  -  滨湖世纪', '106万', '单价20280元/平米')
('https://image1.ljcdn.com/340100-inspection/7493451b-c0ce-4ea4-83dc-0d13ad3d43d3.JPG.296x216.jpg', '枫丹园边户三房 南北通透采光好 看房提前约', '蓝鼎滨湖假日枫丹园  | 3室2厅 | 102.29平米 | 南 北 | 其他', '低楼层(共30层)2012年建塔楼  -  滨湖世纪', '249万', '单价24343元/平米')
