('https://image1.ljcdn.com/340100-inspection/140b7668-86a7-4d29-bd92-5990a7ee96e1.JPG.296x216.jpg', '琥珀名城沁园 3室1厅 130万', '琥珀名城沁园  | 3室1厅 | 95.84平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  龙岗', '130万', '单价13565元/平米')
('https://image1.ljcdn.com/340100-inspection/c05e7983-0b2b-45e1-8dca-fe6480b85638.jpg.296x216.jpg', '金色梧桐 明光路 地铁口 纯毛坯 交通便利', '金色梧桐  | 3室2厅 | 108.99平米 | 南 北 | 其他', '高楼层(共30层)2011年建塔楼  -  胜利路', '148万', '单价13580元/平米')
('https://image1.ljcdn.com/340100-inspection/41014795-6235-4446-9931-fa6aac96fb16.jpg.296x216.jpg', '三室两厅一厨一卫、华润物业、人车分流、华润紫云府', '紫云府  | 3室2厅 | 94.25平米 | 南 | 精装', '低楼层(共34层)2012年建板楼  -  三里街', '188.5万', '单价20000元/平米')
('https://image1.ljcdn.com/340100-inspection/6b9e9c5e-966b-4e6e-92c3-25ab3e211568.JPG.296x216.jpg', '柏莊春暖花开 新小区三居室 中高楼层 地铁口万达宝业', '柏莊春暖花开  | 3室2厅 | 89.25平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  七里站', '145万', '单价16247元/平米')
('https://image1.ljcdn.com/340100-inspection/4cfd0276-5271-4e4d-9609-1795e2350988.JPG.296x216.jpg', '精装三房 位置安静 多层总价低 诚心出售', '瑞泰江南  | 3室2厅 | 83.66平米 | 南 | 简装', '高楼层(共6层)板楼  -  龙岗', '105万', '单价12551元/平米')
('https://image1.ljcdn.com/340100-inspection/47a90bb6-b759-4fff-a15f-e1c3a8f4bc86.JPG.296x216.jpg', '中天左岸 3室1厅 170万', '中天左岸  | 3室1厅 | 101.48平米 | 南 | 其他', '高楼层(共31层)2010年建板楼  -  城东', '170万', '单价16753元/平米')
('https://image1.ljcdn.com/340100-inspection/85122aa1-88e1-44d7-a052-2cd2c38dc7e4.jpg.296x216.jpg', '刚需简装两房，高层视野，楼层好，采光好，诚心出售', '锦绣豪庭  | 2室2厅 | 91.07平米 | 南 | 毛坯', '高楼层(共32层)2012年建塔楼  -  胜利路', '136万', '单价14934元/平米')
('https://image1.ljcdn.com/340100-inspection/cad41d61-3bb8-4c81-991d-12d67ace977b.JPG.296x216.jpg', '元一名城三室好房，满五年，精心装修，', '元一名城C区  | 3室2厅 | 111.85平米 | 南 北 | 其他', '中楼层(共18层)2009年建塔楼  -  嘉山路', '163万', '单价14574元/平米')
('https://image1.ljcdn.com/340100-inspection/97184e3f-546c-429e-a525-f6ab66410085.jpg.296x216.jpg', '御景湾经典边户，南北通透，采光佳，楼层好，位置安静', '御景湾  | 3室2厅 | 116.66平米 | 南 北 | 其他', '高楼层(共33层)2009年建板塔结合  -  明光路', '225万', '单价19287元/平米')
('https://image1.ljcdn.com/340100-inspection/7aeb70b3-0e3e-4b37-b083-459952217da5.jpg.296x216.jpg', '三里街站南都雲庭 交通便利 采光好', '南都雲庭  | 2室2厅 | 91.92平米 | 南 北 | 精装', '高楼层(共10层)2011年建塔楼  -  三里街', '130万', '单价14143元/平米')
('https://image1.ljcdn.com/340100-inspection/aadd32e8-c3f4-4f52-bd92-38fc0d9b688e.jpg.296x216.jpg', '南都雲庭 三里街 地铁2号线旁边  1室0厅', '南都雲庭  | 1室0厅 | 34.35平米 | 南 | 简装', '低楼层(共33层)2011年建塔楼  -  三里街', '39.5万', '单价11500元/平米')
