('https://image1.ljcdn.com/340100-inspection/d29bc567-db84-4449-bd5e-c46d29c0b2d2.JPG.296x216.jpg', '熔安家园，刚需两房，朝南户型，大阳台，采光好，诚售', '熔安家园  | 2室2厅 | 85.76平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  临湖', '115万', '单价13410元/平米')
('https://image1.ljcdn.com/340100-inspection/6be06b8e-f84b-4be8-b27a-77b16828ff0a.JPG.296x216.jpg', '御景前城 平层大四房 小区中间楼栋 业主诚心出售', '御景前城  | 4室2厅 | 145.39平米 | 东 南 北 | 其他', '低楼层(共24层)2014年建塔楼  -  临湖', '220万', '单价15132元/平米')
('https://image1.ljcdn.com/340100-inspection/7ea141b2-813d-4708-9e01-11641dc79e9f.JPG.296x216.jpg', '熔安家园  近滨湖 诚心售 满两年', '熔安家园  | 2室2厅 | 99.95平米 | 南 | 其他', '高楼层(共18层)2015年建塔楼  -  临湖', '115万', '单价11506元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadafa70ee7-1628-422d-b541-4dc2bb3df822.jpg.296x216.jpg', '满五年 比邻翡翠湖 视野开阔 户型方正 大三居', '国耀一方城  | 3室1厅 | 214.77平米 | 南 | 其他', '中楼层(共32层)2011年建塔楼  -  芙蓉', '420万', '单价19556元/平米')
('https://image1.ljcdn.com/340100-inspection/ad64fa82-0aa5-4a08-a3a3-49d7a75adfb3.jpg.296x216.jpg', '九溪江南园 20万精装大三房 品质入住', '九溪江南  | 3室1厅 | 143.73平米 | 南 北 | 其他', '中楼层(共6层)2007年建板楼  -  芙蓉', '254万', '单价17673元/平米')
('https://image1.ljcdn.com/340100-inspection/592ec593-bd6f-4069-bcc4-a4e268ee5ad4.JPG.296x216.jpg', '东海星城 4室2厅 350万', '东海星城  | 4室2厅 | 207.61平米 | 南 北 | 其他', '高楼层(共27层)2010年建板楼  -  莲花', '350万', '单价16859元/平米')
('https://image1.ljcdn.com/340100-inspection/0e64f958-9aa8-49cd-9854-63c312302e96.jpg.296x216.jpg', '精装修 满五年 带小院 美丽小洋房！', '一里洋房  | 3室2厅 | 136.69平米 | 东南 南 | 精装', '低楼层(共6层)2008年建板楼  -  芙蓉', '226万', '单价16534元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload79c92fba-9ec2-4230-8217-f6458a3364d9.jpg.296x216.jpg', '明珠湖畔 2室2厅 138万', '明珠湖畔  | 2室2厅 | 87.11平米 | 南 | 其他', '低楼层(共11层)2007年建板楼  -  芙蓉', '138万', '单价15843元/平米')
('https://image1.ljcdn.com/340100-inspection/f708a07d-636d-4dbe-a18a-289644eda8d6.JPG.296x216.jpg', '滨湖时光 3室2厅 140万', '滨湖时光  | 3室2厅 | 97.58平米 | 南 | 其他', '高楼层(共18层)2005年建塔楼  -  海恒', '140万', '单价14348元/平米')
('https://image1.ljcdn.com/340100-inspection/01da5541-e284-4596-b2a0-a7bbf4882453.JPG.296x216.jpg', '百乐门悦府 新上两房客厅带阳台 户型方正', '百乐门悦府  | 2室2厅 | 89.5平米 | 南 | 其他', '低楼层(共34层)2013年建板楼  -  莲花', '142万', '单价15866元/平米')
('https://image1.ljcdn.com/340100-inspection/f09c0885-90be-4765-b466-0a51371e7ca9.JPG.296x216.jpg', '视野宽阔 小区物业管理好，满两年无增值税 交通便利', '中环云邸  | 2室2厅 | 88.45平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  芙蓉', '180万', '单价20351元/平米')
('https://image1.ljcdn.com/340100-inspection/8e8c5082-7c81-4ab6-af30-8b8f2a585e0a.JPG.296x216.jpg', '御湖观邸 2室2厅 150万', '御湖观邸  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  海恒', '150万', '单价16305元/平米')
('https://image1.ljcdn.com/340100-inspection/f91fbabc-d543-4b15-91ab-93e51bea686b.JPG.296x216.jpg', '经开区 明珠广场 南北通透 大三房 双卫两阳台 精装修', '东海徽园  | 3室2厅 | 141.34平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  莲花', '201万', '单价14222元/平米')
