('https://image1.ljcdn.com/340100-inspection/a882516e-ee9a-4f5e-a301-a58111ee4b91.jpg.296x216.jpg', '宝翠园 三房可改四房 多层复式 双露台', '宝翠园  | 3室2厅 | 111.11平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  肥东', '126万', '单价11341元/平米')
('', '彩虹新城 4室2厅 176万', '彩虹新城  | 4室2厅 | 159.9平米 | 南 北 | 其他', '中楼层(共15层)塔楼  -  肥东', '176万', '单价11007元/平米')
('', '华盛大运城 2室2厅 108万', '华盛大运城  | 2室2厅 | 89.21平米 | 南 | 其他', '低楼层(共32层)板塔结合  -  肥东', '108万', '单价12107元/平米')
('', '瑞景兰庭 2室2厅 95万', '瑞景兰庭  | 2室2厅 | 88.29平米 | 南 | 其他', '高楼层(共6层)板楼  -  肥东', '95万', '单价10760元/平米')
('', '锦绣花园 3室2厅 117万', '锦绣花园  | 3室2厅 | 130.43平米 | 南 | 其他', '中楼层(共18层)板塔结合  -  肥东', '117万', '单价8971元/平米')
('', '锦绣花园 2室1厅 82万', '锦绣花园  | 2室1厅 | 91.41平米 | 南 | 其他', '中楼层(共18层)板塔结合  -  肥东', '82万', '单价8971元/平米')
('', '锦绣花园 3室2厅 108万', '锦绣花园  | 3室2厅 | 120.01平米 | 南 | 其他', '中楼层(共18层)板塔结合  -  肥东', '108万', '单价9000元/平米')
('', '彩虹新城 3室2厅 129万', '彩虹新城  | 3室2厅 | 129平米 | 南 | 其他', '高楼层(共9层)板楼  -  肥东', '129万', '单价10000元/平米')
('', '华盛大运城 3室2厅 105万', '华盛大运城  | 3室2厅 | 88.27平米 | 南 | 其他', '中楼层(共32层)暂无数据  -  肥东', '105万', '单价11896元/平米')
('', '彩虹新城 3室2厅 155万', '彩虹新城  | 3室2厅 | 130平米 | 南 | 其他', '中楼层(共9层)板楼  -  肥东', '155万', '单价11924元/平米')
('', '御景花园二期 3室1厅 120万', '御景花园二期  | 3室1厅 | 84.03平米 | 南 | 其他', '高楼层(共11层)板楼  -  肥东', '120万', '单价14281元/平米')
('', '汇景新城 2室1厅 95万', '汇景新城  | 2室1厅 | 89平米 | 南 | 其他', '低楼层(共6层)板楼  -  肥东', '95万', '单价10675元/平米')
