('https://image1.ljcdn.com/340100-inspection/0d3ee94d-bdc6-4564-a0d1-4fb2a8bf040b.JPG.296x216.jpg', '此房满两年， 视野开阔采光好 精装，南北通透', '东冠繁华逸城  | 3室2厅 | 90.72平米 | 南 北 | 其他', '低楼层(共18层)2014年建塔楼  -  黄小', '148万', '单价16314元/平米')
('https://image1.ljcdn.com/340100-inspection/8260eedb-dba9-4e57-8699-bda41c1507c3.JPG.296x216.jpg', '满5年 肥西产证 中等楼层 采光视野都很好', '长安萨尔斯堡  | 2室2厅 | 75.32平米 | 南 | 其他', '高楼层(共11层)2011年建板楼  -  桃花工业园', '125万', '单价16596元/平米')
('https://image1.ljcdn.com/340100-inspection/115225c2-1532-42b4-8661-e72c288facaf.jpg.296x216.jpg', '此房户型好，户型方正，小区环境优美', '禹洲华侨城一期  | 3室2厅 | 117平米 | 南 | 其他', '低楼层(共6层)2010年建板楼  -  染坊', '185万', '单价15812元/平米')
('https://image1.ljcdn.com/340100-inspection/19e871de-0f5b-4386-a4c1-83bbaa3e687c.JPG.296x216.jpg', '适宜居住 配套设施齐全楼层采光好', '长安萨尔斯堡  | 3室2厅 | 111.02平米 | 南 北 | 其他', '中楼层(共11层)2011年建板楼  -  桃花工业园', '175万', '单价15763元/平米')
('https://image1.ljcdn.com/340100-inspection/76e0fde0-c6b2-43fb-ab1d-248376b1dd2e.jpg.296x216.jpg', '肥西产证业主诚售高楼层采光棒视野好三开间朝南带车位', '信地华地城  | 3室2厅 | 86.41平米 | 南 | 其他', '低楼层(共33层)2016年建塔楼  -  繁华新园', '138万', '单价15971元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload7d70ab4c-5f56-4e24-afe4-3245239278b4.jpg.296x216.jpg', '经开区学林雅苑顶楼复式大四房业主诚意出售', '学林雅苑  | 4室2厅 | 129.04平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '168万', '单价13020元/平米')
('https://image1.ljcdn.com/340100-inspection/a52f4456-2435-48c2-a46a-f8dc671daa07.jpg.296x216.jpg', '肥西产证业主诚售三开间朝南楼层好采光棒视野无遮挡', '信地华地城  | 3室2厅 | 86平米 | 南 | 其他', '高楼层(共33层)2016年建暂无数据  -  繁华新园', '128万', '单价14884元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4d0f3133-4f83-4fd9-8cce-28c0b1bfceb3.jpg.296x216.jpg', '肥西产证业主诚售南北通透楼层好采光无遮挡视野棒', '信地华地城  | 3室1厅 | 98.89平米 | 南 北 | 其他', '中楼层(共30层)2016年建塔楼  -  繁华新园', '152万', '单价15371元/平米')
('https://image1.ljcdn.com/340100-inspection/298d3fe3-3a83-4d03-bacc-ad9e34826aa8.JPG.296x216.jpg', '禹洲华侨城二期柳园 2室1厅 142万', '禹洲华侨城二期柳园  | 2室1厅 | 78.23平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  染坊', '142万', '单价18152元/平米')
('https://image1.ljcdn.com/340100-inspection/fc035716-056a-4dd3-a7af-3bbd97b91131.JPG.296x216.jpg', '翡翠湖通透大三房 户型方正 经典多层住宅 业主诚售', '学林雅苑  | 3室2厅 | 121.99平米 | 南 北 | 其他', '低楼层(共6层)2006年建板楼  -  桃花工业园', '190万', '单价15576元/平米')
('https://image1.ljcdn.com/340100-inspection/4164cc94-4019-4e89-9322-509746392976.JPG.296x216.jpg', '翡翠湖旁、次新小区、户型方正、交通便利', '原树提香  | 2室2厅 | 79.78平米 | 南 | 其他', '高楼层(共34层)2017年建塔楼  -  桃花工业园', '135万', '单价16922元/平米')
('https://image1.ljcdn.com/340100-inspection/b7bab7ef-cc2d-43d6-897d-c144c33d086e.jpg.296x216.jpg', '太平洋森公馆 3室2厅 149万', '太平洋森公馆  | 3室2厅 | 98.61平米 | 南 北 | 其他', '中楼层(共28层)塔楼  -  染坊', '149万', '单价15111元/平米')
('https://image1.ljcdn.com/340100-inspection/f0e10402-578b-49c5-8608-e73b8dfde7ba.JPG.296x216.jpg', '长安一品 2室1厅 100万', '长安一品  | 2室1厅 | 51.39平米 | 南 | 其他', '低楼层(共32层)2013年建板楼  -  桃花工业园', '100万', '单价19460元/平米')
('https://image1.ljcdn.com/340100-inspection/1875ade0-8afc-414f-8735-3cc8d55f557d.jpg.296x216.jpg', '此房满两年出租装修 楼层好采光充足户型方正通风好！', '禹洲华侨城一期  | 4室2厅 | 125.17平米 | 南 | 其他', '中楼层(共33层)2010年建板楼  -  染坊', '220万', '单价17577元/平米')
('https://image1.ljcdn.com/340100-inspection/8ea75da0-c3c8-43d8-90a5-3ed1aa91560e.JPG.296x216.jpg', '南北通透大两房，精装 赠送两个储物间', '东冠繁华逸城  | 2室2厅 | 83.36平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  黄小', '132万', '单价15835元/平米')
('https://image1.ljcdn.com/340100-inspection/0bfd49b6-be1b-4a92-90d5-1512255099e1.JPG.296x216.jpg', '满五年  精装修拎包入住  小三房  户型方正', '东冠繁华逸城  | 3室2厅 | 88.82平米 | 南 | 其他', '高楼层(共6层)2014年建板楼  -  黄小', '148万', '单价16663元/平米')
('https://image1.ljcdn.com/340100-inspection/5b657ac3-1689-4f56-a386-0c846cd59352.JPG.296x216.jpg', '翡翠湖旁，交通便利，舒适小两房', '长安一品  | 2室1厅 | 63.1平米 | 南 | 其他', '低楼层(共32层)2013年建板楼  -  桃花工业园', '95万', '单价15056元/平米')
('https://image1.ljcdn.com/340100-inspection/0f8360f5-31eb-4818-a88c-0821a100f9db.JPG.296x216.jpg', '满两年 肥西产证 采光视野都很好 业主诚心售房', '长安萨尔斯堡  | 2室2厅 | 93.29平米 | 南 北 | 其他', '低楼层(共11层)2011年建板楼  -  桃花工业园', '140万', '单价15007元/平米')
('https://image1.ljcdn.com/340100-inspection/7038ae5d-5c3d-40ad-920b-9006ca9dbe67.JPG.296x216.jpg', '南北通透 精装修15万 10H采光不遮挡', '长安萨尔斯堡  | 4室2厅 | 108.43平米 | 南 北 | 其他', '中楼层(共11层)2011年建板楼  -  桃花工业园', '170万', '单价15679元/平米')
('https://image1.ljcdn.com/340100-inspection/714299c1-0de8-432e-a2e2-9f42c9da3400.JPG.296x216.jpg', '此房产证满两年，采光好，交通便利！', '省水安公司  | 2室2厅 | 77.89平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  桃花工业园', '110万', '单价14123元/平米')
('https://image1.ljcdn.com/340100-inspection/57cdf05e-4e8d-4152-9650-05ac22ac8c48.JPG.296x216.jpg', '满2年，精装修，房东诚心出售。', '禹洲华侨城三期荷园  | 2室1厅 | 77.95平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  染坊', '138万', '单价17704元/平米')
