('https://image1.ljcdn.com/340100-inspection/17c8b8ef-9ee7-4f83-91ec-fd663fe1edfb.jpg.296x216.jpg', '信旺华府骏苑 2室2厅 159万', '信旺华府骏苑  | 2室2厅 | 103.33平米 | 南 | 其他', '高楼层(共28层)2005年建塔楼  -  南七', '159万', '单价15388元/平米')
('https://image1.ljcdn.com/340100-inspection/612d6b52-c1ad-420d-b1fa-c8dcc78287a5.jpg.296x216.jpg', '天一家园精装两室 户型方正 视野佳', '天一家园  | 2室1厅 | 86平米 | 南 | 其他', '中楼层(共6层)2010年建板楼  -  五里墩', '138万', '单价16047元/平米')
('https://image1.ljcdn.com/340100-inspection/8f4cf45b-40b0-4c7c-9605-f8950707311b.jpg.296x216.jpg', '山水间花园精装三房双阳台拎包入住', '山水间花园  | 3室2厅 | 95.22平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  新产业园', '158万', '单价16594元/平米')
('https://image1.ljcdn.com/340100-inspection/87383b08-4e5e-48bd-8382-e6897fddbdce.jpg.296x216.jpg', '建业领翔花园 2室1厅 98万', '建业领翔花园  | 2室1厅 | 52.56平米 | 南 | 其他', '高楼层(共31层)2012年建塔楼  -  南七', '98万', '单价18646元/平米')
('https://image1.ljcdn.com/340100-inspection/49956dd0-d5a3-4645-a83d-c30c326206d4.JPG.296x216.jpg', '新华学府春天 3室2厅 220万', '新华学府春天  | 3室2厅 | 122.46平米 | 南 北 | 其他', '低楼层(共34层)2012年建塔楼  -  南七', '220万', '单价17966元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd463056c-7d8d-44e8-a9f8-4db9ef14352b.jpg.296x216.jpg', '大溪地天悦轩 2室2厅 173万', '大溪地天悦轩  | 2室2厅 | 86.14平米 | 南 | 其他', '高楼层(共18层)2008年建板楼  -  西园', '173万', '单价20084元/平米')
('https://image1.ljcdn.com/340100-inspection/f558d802-3b3f-4a50-a05f-2fd5366dcf69.jpg.296x216.jpg', '信达西山银杏 南北三居 户型方正 双阳台', '信达西山银杏  | 3室2厅 | 114.74平米 | 南 北 | 其他', '高楼层(共18层)2014年建塔楼  -  南七', '275万', '单价23968元/平米')
('https://image1.ljcdn.com/340100-inspection/ccaa63a8-20b2-48c3-ba0e-5040bf01660a.jpg.296x216.jpg', '精装两室 家电齐全 拎包即住  一环内', '登云庭  | 2室2厅 | 82.88平米 | 南 | 其他', '中楼层(共34层)2009年建塔楼  -  琥珀', '135万', '单价16289元/平米')
('https://image1.ljcdn.com/340100-inspection/6b981517-36b4-4783-b201-35b7c133711b.jpg.296x216.jpg', '安粮城市广场QQ公寓 2室2厅 88万', '安粮城市广场QQ公寓  | 2室2厅 | 59.59平米 | 南 | 其他', '高楼层(共32层)2013年建塔楼  -  稻香村', '88万', '单价14768元/平米')
('https://image1.ljcdn.com/340100-inspection/62416e5f-57cc-4340-8144-d962e4f8f818.jpg.296x216.jpg', '丰乐公寓四十年产权 带天然气 不能贷款 只能全款', '丰乐世纪公寓  | 2室1厅 | 120.81平米 | 东南 | 毛坯', '中楼层(共28层)2016年建塔楼  -  西园', '80万', '单价6622元/平米')
('https://image1.ljcdn.com/340100-inspection/e009ae41-b6b4-4828-8b71-25f4b2c9cc9f.jpg.296x216.jpg', '精装修 保养好  楼层好 采光无影响  满五且唯一', '海亚当代  | 2室2厅 | 101.6平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  五里墩', '157万', '单价15453元/平米')
('https://image1.ljcdn.com/340100-inspection/7281b21b-324c-425f-a8cd-dd0d2e8560fb.jpg.296x216.jpg', '信旺华府骏苑 4室2厅 225万', '信旺华府骏苑  | 4室2厅 | 182.28平米 | 东 南 北 | 其他', '高楼层(共29层)2005年建塔楼  -  南七', '225万', '单价12344元/平米')
('https://image1.ljcdn.com/340100-inspection/88f82c21-4b0d-4dfc-9f54-88e6cdb66f9a.jpg.296x216.jpg', '安居苑西村 2室1厅 140万', '安居苑西村  | 2室1厅 | 51.43平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  西园', '140万', '单价27222元/平米')
('https://image1.ljcdn.com/340100-inspection/333397f0-e70c-482b-9622-770de61fcb9c.jpg.296x216.jpg', '信达西山银杏 朝南二居 精装修 中高楼层', '信达西山银杏  | 2室2厅 | 85.11平米 | 南 | 其他', '高楼层(共26层)2012年建塔楼  -  南七', '187万', '单价21972元/平米')
('https://image1.ljcdn.com/340100-inspection/c4d19b8b-e59f-4ade-a38c-9e4725f685b6.jpg.296x216.jpg', '大溪地天逸轩 2室1厅 120万', '大溪地天逸轩  | 2室1厅 | 67.52平米 | 东 | 其他', '中楼层(共32层)2014年建板楼  -  西园', '120万', '单价17773元/平米')
('https://image1.ljcdn.com/340100-inspection/4fc954bc-6297-49c3-b042-9eae2222538a.jpg.296x216.jpg', '此房是一室 装修很舒服 适合年轻小夫妻居住', '蜀麓苑  | 1室1厅 | 46.4平米 | 北 | 其他', '高楼层(共18层)2012年建塔楼  -  新产业园', '72万', '单价15518元/平米')
('https://image1.ljcdn.com/340100-inspection/8db4fc2c-26ca-4609-b9c4-73a64a342681.jpg.296x216.jpg', '金色名郡 3室2厅 296万', '金色名郡  | 3室2厅 | 126平米 | 东 南 北 | 其他', '中楼层(共34层)2015年建塔楼  -  南七', '296万', '单价23493元/平米')
('https://image1.ljcdn.com/340100-inspection/b87f6cfd-b17d-4e82-86e2-9bd9157f5f26.jpg.296x216.jpg', '三房朝南 采光好 满五 交通便捷', '华地学府名都  | 3室2厅 | 110.83平米 | 南 | 其他', '低楼层(共18层)2011年建塔楼  -  南七', '265万', '单价23911元/平米')
