('https://image1.ljcdn.com/340100-inspection/f6c652fb-13e0-4b6b-9275-9ce8211bc4d4.JPG.296x216.jpg', '北城世纪城泽徽苑 3室2厅 127万', '北城世纪城泽徽苑  | 3室2厅 | 96.97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '127万', '单价13097元/平米')
('https://image1.ljcdn.com/340100-inspection/1ff6b985-ece6-41bc-85f9-a2286d423b41.JPG.296x216.jpg', '恒大帝景 3室2厅 148万', '恒大帝景  | 3室2厅 | 122平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '148万', '单价12132元/平米')
('https://image1.ljcdn.com/340100-inspection/70302ae4-a8bd-4805-ac6f-39a8c28f84d7.JPG.296x216.jpg', '恒大帝景 3室1厅 140万', '恒大帝景  | 3室1厅 | 122平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '140万', '单价11476元/平米')
('https://image1.ljcdn.com/340100-inspection/1ef19523-00e3-44d0-91b9-5a4f63e661ab.jpg.296x216.jpg', '北部湾双子星座 3室2厅 92万', '北部湾双子星座  | 3室2厅 | 86.36平米 | 南 | 其他', '中楼层(共34层)塔楼  -  北城', '92万', '单价10654元/平米')
('https://image1.ljcdn.com/340100-inspection/ef642f34-053d-48ff-a3e9-f1da077ff56f.JPG.296x216.jpg', '新慧金水岸北区 3室1厅 105万', '新慧金水岸北区  | 3室1厅 | 118.5平米 | 南 | 其他', '低楼层(共18层)塔楼  -  北城', '105万', '单价8861元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload33f8a5e8-a6cf-4257-8b47-8d081cd826d3.JPG.296x216.jpg', '北城世纪城禄徽苑 3室2厅 110万', '北城世纪城禄徽苑  | 3室2厅 | 99平米 | 南 北 | 其他', '高楼层(共34层)2016年建塔楼  -  北城', '110万', '单价11112元/平米')
('https://image1.ljcdn.com/340100-inspection/aa0b10e4-1bd3-484f-9226-e7b75987b90d.JPG.296x216.jpg', '北城世纪城吉徽苑 3室2厅 113万', '北城世纪城吉徽苑  | 3室2厅 | 93.18平米 | 南 | 其他', '低楼层(共33层)2013年建塔楼  -  北城', '113万', '单价12128元/平米')
('https://image1.ljcdn.com/340100-inspection/fc9e1b99-c477-4ddd-b0ab-ecb0dd8d6761.JPG.296x216.jpg', '北部湾双子星座 3室2厅 116万', '北部湾双子星座  | 3室2厅 | 94.5平米 | 南 | 其他', '低楼层(共34层)塔楼  -  北城', '116万', '单价12276元/平米')
('https://image1.ljcdn.com/340100-inspection/2e95a919-d785-4c50-b5f5-cb838d43ef74.jpg.296x216.jpg', '新慧金水岸北区 3室1厅 85.6万', '新慧金水岸北区  | 3室1厅 | 90平米 | 南 | 其他', '高楼层(共33层)塔楼  -  北城', '85.6万', '单价9512元/平米')
('https://image1.ljcdn.com/340100-inspection/464a217d-f737-485a-97a9-ef4e589b6923.JPG.296x216.jpg', '恒大帝景边户精装三房中间楼层 采光好小区', '恒大帝景  | 3室2厅 | 100.15平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '125万', '单价12482元/平米')
('https://image1.ljcdn.com/340100-inspection/037ae25b-0c93-4242-858a-b56a485a610c.jpg.296x216.jpg', '恒大帝景四居室，满两年  中高楼层  采光好', '恒大帝景  | 4室2厅 | 159.22平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '180万', '单价11306元/平米')
