('https://image1.ljcdn.com/340100-inspection/b57f6a55-d3aa-4bf1-bbda-2762eb7c789a.jpg.296x216.jpg', '永和家园，简装，业主诚心急售。', '永和家园  | 3室2厅 | 94.75平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '125万', '单价13193元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbdda7424-c808-4dd5-89f2-22fad48d36e8.jpg.296x216.jpg', '和一花园  精装两房  楼层好 采光好', '和一花园  | 2室2厅 | 88平米 | 南 北 | 其他', '中楼层(共11层)2010年建板楼  -  兴园', '130万', '单价14773元/平米')
('https://image1.ljcdn.com/340100-inspection/427c6e91-e280-4573-b8e3-ecea208833ee.jpg.296x216.jpg', '如果你还要观望，还在徘徊, 那我建议你看看这套房子', '阳光御湖苑  | 1室1厅 | 55平米 | 南 | 其他', '高楼层(共26层)2014年建塔楼  -  长宁', '98万', '单价17819元/平米')
('https://image1.ljcdn.com/340100-inspection/e518c3bf-7949-45cb-a966-bfc115b660c2.jpg.296x216.jpg', '满五年。户型正气，南北通透，价格便宜，业主诚售', '兴园小区  | 3室2厅 | 76.58平米 | 南 北 | 简装', '中楼层(共6层)2005年建板楼  -  兴园', '115万', '单价15017元/平米')
('https://image1.ljcdn.com/340100-inspection/fef55f03-0aa0-478a-937f-63f7a75475fd.jpg.296x216.jpg', '为你而选为你为家 绿城桂花园 精装一居室 满五年', '绿城桂花园  | 1室1厅 | 50.91平米 | 南 | 其他', '中楼层(共11层)2009年建板楼  -  天乐', '120万', '单价23572元/平米')
('https://image1.ljcdn.com/340100-inspection/aa26ea39-3197-4bb1-9952-fcb1af7613a0.jpg.296x216.jpg', '祥源城 三居毛坯  主卧和客厅朝南  高楼层 视野采光赞', '祥源城  | 3室2厅 | 99.36平米 | 南 北 | 其他', '高楼层(共33层)2017年建塔楼  -  长宁', '200万', '单价20129元/平米')
('https://image1.ljcdn.com/340100-inspection/1216f8b7-429b-4453-9fcc-9f9f24f55187.jpg.296x216.jpg', '为你而选为你为家 新西茗阁 精装单身公寓 满二免增', '新西茗阁  | 1室1厅 | 43.41平米 | 南 | 其他', '高楼层(共30层)2012年建塔楼  -  天乐', '66万', '单价15204元/平米')
('https://image1.ljcdn.com/340100-inspection/bc1e4803-7a54-48f9-be68-3381c24ee0a2.jpg.296x216.jpg', '华地紫园新上双阳台全朝南两居室采光好', '华地紫园  | 2室2厅 | 87.97平米 | 南 | 其他', '高楼层(共32层)2014年建塔楼  -  兴园', '175万', '单价19894元/平米')
('https://image1.ljcdn.com/340100-inspection/9df5aa8b-5eac-41ab-8bce-a065625cb8d5.jpg.296x216.jpg', '百商尚成 户型方正 通透两居室', '百商尚成  | 2室2厅 | 84.74平米 | 南 | 其他', '中楼层(共18层)2011年建板楼  -  兴园', '140万', '单价16522元/平米')
('https://image1.ljcdn.com/340100-inspection/4a7686d8-e860-4602-82f4-bcd15f92fc87.JPG.296x216.jpg', '为你而选为你为家 精装两房 交通便利 户型方正 采光好', '金徽阳光大厦  | 2室1厅 | 65.7平米 | 南 北 | 其他', '高楼层(共29层)2012年建塔楼  -  天乐', '92万', '单价14004元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload239408dc-651e-415a-90ec-be6c677a005f.jpg.296x216.jpg', '为你而选为你为家 淮矿馥邦天下 南北通透 采光充足', '淮矿馥邦天下  | 4室2厅 | 126.78平米 | 南 | 毛坯', '高楼层(共33层)2015年建塔楼  -  兴园', '242万', '单价19089元/平米')
