('https://image1.ljcdn.com/330100-inspection/353626ee-aedd-4977-88f2-6d8fa77aa0e3.jpg.296x216.jpg', '都市枫林经典三房，房东诚心卖，看房方便', '通和都市枫林  | 3室2厅 | 106.82平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  石桥', '352.6万', '单价33004元/平米')
('https://image1.ljcdn.com/330100-inspection/test-3fcfe491-6295-475c-87d1-bfbb36917a38.png.296x216.jpg', '钻石四楼精装两房 给你和他一个爱的小窝', '东园小区  | 2室1厅 | 49.75平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1993年建板楼  -  建国北路', '228万', '单价45830元/平米')
('https://image1.ljcdn.com/330100-inspection/test-98ea02bd-6c7e-465f-8ecf-62698328c139.png.296x216.jpg', '体育场路71-176号 2室1厅 310万', '体育场路71-176号  | 2室1厅 | 68.69平米 | 东 南 北 | 精装 | 无电梯', '低楼层(共6层)2000年建板楼  -  体育场路', '310万', '单价45131元/平米')
('https://image1.ljcdn.com/330100-inspection/56a08059-e0fb-4f18-b92e-eb6ca276d013.jpg.296x216.jpg', '精装修 满五唯一 电梯房 小区环境好', '中大凤栖花园  | 3室2厅 | 119平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2003年建板楼  -  潮鸣', '595万', '单价50000元/平米')
('https://image1.ljcdn.com/330100-inspection/e5683958-10c2-496d-be39-95d66c4e52c0.jpg.296x216.jpg', '简单装修 沿上塘河 视野好 南北通透', '现代雅苑  | 3室2厅 | 107平米 | 东 南 北 | 其他 | 有电梯', '低楼层(共11层)2003年建板楼  -  和平', '520万', '单价48599元/平米')
('https://image1.ljcdn.com/330100-inspection/89533c16-6ab6-4ab7-ba2c-42983b5dc492.jpg.296x216.jpg', '房东诚心出售 简单装修 户型正气 采光好 视野好', '北景园莲趣苑  | 2室2厅 | 63.14平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2005年建塔楼  -  石桥', '210万', '单价33260元/平米')
('https://image1.ljcdn.com/330100-inspection/227432fe-62e8-4f8c-8ffd-6876765f7b44.jpg.296x216.jpg', '秋水巷 2室1厅 298万', '秋水巷  | 2室1厅 | 72.86平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2003年建板楼  -  朝晖', '298万', '单价40901元/平米')
('https://image1.ljcdn.com/330100-inspection/ddf3228f-bd3c-476e-848e-69add165c3b3.jpg.296x216.jpg', '房龄旁边的两房户型好交通便利双地铁口', '泰和苑  | 2室1厅 | 48.49平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  潮鸣', '215万', '单价44340元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploade908f2c0-cd57-4ea8-844d-da8112e11edf.jpg.296x216.jpg', '体育场路中间楼层自住精装两房 房东诚心出售188万', '体育场路2-70号  | 2室1厅 | 41.27平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  建国北路', '188万', '单价45554元/平米')
('https://image1.ljcdn.com/330100-inspection/ee67e843-8db4-4c0a-8139-05b5208335ba.jpg.296x216.jpg', '艮山福居 运河景观房 户型正气 楼层极好', '艮山福居  | 2室2厅 | 113.47平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2000年建板楼  -  流水苑', '560万', '单价49353元/平米')
('https://image1.ljcdn.com/330100-inspection/bc4dec75-dfe9-441f-8d34-43c926ae5b8e.jpg.296x216.jpg', '朝晖七区 两房朝南 南北通透 1梯2户 中间楼层', '朝晖七区  | 2室2厅 | 59.79平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1986年建板楼  -  朝晖', '265万', '单价44322元/平米')
('https://image1.ljcdn.com/330100-inspection/d1e5274d-ef41-4a25-b8d5-0ca14883bcb9.jpg.296x216.jpg', '绿洲花园169.08方 户型正气 三房朝南东边套 看房方便', '绿洲花园  | 4室2厅 | 169.08平米 | 东 南 北 | 简装 | 有电梯', '低楼层(共23层)2004年建板塔结合  -  流水苑', '798万', '单价47197元/平米')
('https://image1.ljcdn.com/330100-inspection/test-1b54e918-d0be-414f-bd1a-92bd32f093d8.png.296x216.jpg', '天赐苑 边套全明 实用3房 随时看房', '天赐苑  | 3室1厅 | 82.72平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  建国北路', '370万', '单价44730元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload5a5647be-eef5-492a-b2ea-ffae9a6d65f3.jpg.296x216.jpg', '游泳巷 两房朝南  户型正气 采光充足', '游泳巷20号  | 2室1厅 | 53.63平米 | 西南 | 精装 | 无电梯', '高楼层(共5层)1990年建板楼  -  潮鸣', '240万', '单价44752元/平米')
('https://image1.ljcdn.com/330100-inspection/70db8532-3d02-4378-ae6c-8a28ace37941.jpg.296x216.jpg', '万家星城二期，刚需小两房，清爽装修，中上楼层，诚售', '万家星城  | 2室1厅 | 79.35平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2010年建塔楼  -  三塘', '350万', '单价44109元/平米')
('https://image1.ljcdn.com/330100-inspection/89a8731b-eaba-49a2-9424-9a7dd75287f0.jpg.296x216.jpg', '领骏世界 位置好 配套成熟 水电民用 房龄较新', '领骏世界  | 1室1厅 | 70.7平米 | 西南 | 精装 | 有电梯', '中楼层(共20层)2012年建塔楼  -  朝晖', '200万', '单价28289元/平米')
('https://image1.ljcdn.com/330100-inspection/5f20167a-9a6f-4b6f-a9d7-b4f0b0e0148a.jpg.296x216.jpg', '绿洲之馨公寓  出行方便  位置好 西边套 ，户型棒', '绿洲之馨公寓  | 3室2厅 | 129.12平米 | 南 北 | 简装 | 有电梯', '高楼层(共16层)2007年建板塔结合  -  流水苑', '545万', '单价42209元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload058591bf-e994-4aff-b761-79e28994eac9.jpg.296x216.jpg', '中山北园 业主精装修 交通方便 闹中取静 户型方正', '中山北园  | 2室1厅 | 56.06平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1996年建板楼  -  朝晖', '289万', '单价51552元/平米')
('https://image1.ljcdn.com/330100-inspection/f723b9e1-2137-4cb2-bb97-281568a4c0c6.jpg.296x216.jpg', '房改房满五唯一，98年房龄，两房朝南中间楼层。', '木庵小区  | 2室1厅 | 50.9平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1999年建板楼  -  体育场路', '245万', '单价48134元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploaddad1f385-2cf6-459e-862c-9c3bd7630830.jpg.296x216.jpg', '业主诚心出售，市场价，loft户型，买一层送一层', '水印康庭  | 3室2厅 | 59.53平米 | 南 北 | 精装 | 有电梯', '高楼层(共12层)2006年建板楼  -  三塘', '360万', '单价60474元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload0342c190-64bd-4d3d-89c8-dc9419479644.jpg.296x216.jpg', '世嘉新座 民水民电  通燃气  自住好选择', '新天地世嘉新座  | 3室2厅 | 78平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2015年建板楼  -  三塘', '328万', '单价42052元/平米')
('https://image1.ljcdn.com/330100-inspection/59cd9eee-2fd8-4740-aa4a-d54ed7718e56.jpg.296x216.jpg', '一楼带架空的 不潮的 户型两南户型 房间很方正的', '流水苑  | 2室1厅 | 57.97平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1999年建板楼  -  流水苑', '246万', '单价42436元/平米')
('https://image1.ljcdn.com/330100-inspection/81f9700f-e2d3-4f90-98a0-0f1f0cf2fa42.jpg.296x216.jpg', '桦枫居精装三房，中间楼层，采光好！', '嘉里桦枫居  | 3室1厅 | 105.54平米 | 南 北 | 精装 | 有电梯', '中楼层(共17层)2013年建塔楼  -  石桥', '380万', '单价36006元/平米')
('https://image1.ljcdn.com/330100-inspection/eff9aa11-750d-4aeb-bbdf-a657b8e92176.jpg.296x216.jpg', '德胜东村 ，户型方正，全明户型 ，楼层好 采光好', '德胜东村  | 3室1厅 | 79.4平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1995年建板楼  -  德胜东', '302万', '单价38036元/平米')
('https://image1.ljcdn.com/330100-inspection/test-f77b4656-266c-406e-b721-322484b9f40a.png.296x216.jpg', '三房夹边套，业主诚心置换，随时看房', '万家星城  | 3室2厅 | 88.63平米 | 南 | 简装 | 有电梯', '低楼层(共20层)2009年建塔楼  -  三塘', '430万', '单价48517元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada75f9d9e-776f-4429-8077-d17e9fa0be67.jpg.296x216.jpg', '朝晖七区 运河景观房 精装修 两房朝南 拎包入住', '朝晖七区  | 2室1厅 | 77.06平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  朝晖', '309万', '单价40099元/平米')
('https://image1.ljcdn.com/330100-inspection/747bb09b-db66-4521-8aa1-a897a881ace7.jpg.296x216.jpg', '精装修，可直接拎包入住，交通便利。', '钛合国际  | 1室1厅 | 54.02平米 | 南 | 精装 | 有电梯', '中楼层(共27层)2008年建塔楼  -  流水苑', '128万', '单价23695元/平米')
('https://image1.ljcdn.com/330100-inspection/f0c2262c-3a4b-4bab-bd1b-2f8a8efd2243.jpg.296x216.jpg', '长板里两室一厅 单价3.5万不到，卖小  65.75平米', '长板里  | 2室1厅 | 65.75平米 | 东 西 | 简装 | 无电梯', '低楼层(共7层)1996年建板楼  -  朝晖', '230万', '单价34981元/平米')
('https://image1.ljcdn.com/330100-inspection/eb469fe7-7001-47ce-88c4-0e8593275252.jpg.296x216.jpg', '绿洲花园 一期 全明东边套 河景房', '绿洲花园  | 3室2厅 | 143.97平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)2000年建板塔结合  -  流水苑', '820万', '单价56957元/平米')
('https://image1.ljcdn.com/330100-inspection/0e3f916b-922a-4f26-b791-b11dcd8f7c96.jpg.296x216.jpg', '仙林苑  楼层好 小套户型 看房有钥匙', '仙林苑  | 1室1厅 | 36.42平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2002年建板楼  -  众安桥', '255万', '单价70017元/平米')
('https://image1.ljcdn.com/330100-inspection/test-c1e99f0f-32cf-4e8a-b358-e5555a4d7c7e.png.296x216.jpg', '品质小区，刚需好房，购物美食一应俱全', '万家星城  | 2室2厅 | 85.96平米 | 南 | 毛坯 | 有电梯', '高楼层(共22层)2009年建塔楼  -  三塘', '430万', '单价50024元/平米')
('https://image1.ljcdn.com/330100-inspection/264e96ca-14d9-4afb-a760-a372caa2575b.jpg.296x216.jpg', '青春坊 3室1厅 530万', '青春坊  | 3室1厅 | 112.93平米 | 南 北 | 简装 | 有电梯', '中楼层(共20层)1998年建板楼  -  长庆', '530万', '单价46932元/平米')
('https://image1.ljcdn.com/330100-inspection/02f74470-37b6-4f61-8e2a-b65f8bfc7fc3.JPG.296x216.jpg', '开发商统一精装修，保养好，小区环境好，诚心出售', '嘉里桦枫居  | 4室2厅 | 134.61平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2009年建塔楼  -  石桥', '450万', '单价33430元/平米')
