('https://image1.ljcdn.com/330100-inspection/6f4321b9-f318-42b7-9cac-b174e9c69cab.jpg.296x216.jpg', '莫干新村 满五唯一 小三房 送院子', '莫干新村  | 2室1厅 | 64.87平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1982年建板楼  -  湖墅', '272万', '单价41931元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b105518c-883a-4564-855a-19c5c66b90be.png.296x216.jpg', '市区，2006年房龄，京杭大运河+赠送10平方露台，不多', '定海西园  | 1室1厅 | 40.39平米 | 南 | 简装 | 无电梯', '低楼层(共6层)板楼  -  拱宸桥', '160万', '单价39614元/平米')
('https://image1.ljcdn.com/330100-inspection/6bd37f33-f9a3-49eb-a1c0-97f8ad5c31f2.jpg.296x216.jpg', '中天西城纪 1室1厅 105万', '中天西城纪  | 1室1厅 | 34.15平米 | 北 | 精装 | 有电梯', '低楼层(共14层)2014年建板楼  -  申花', '105万', '单价30747元/平米')
('https://image1.ljcdn.com/330100-inspection/9cdaf48d-7502-4d9f-b410-a26372270d61.jpg.296x216.jpg', '星河明苑  2006年电梯房 地铁近 东边套 三房朝南', '星河明苑  | 4室2厅 | 153.83平米 | 东南 | 毛坯 | 有电梯', '低楼层(共16层)2003年建板楼  -  湖墅', '655万', '单价42580元/平米')
('https://image1.ljcdn.com/330100-inspection/af783480-65db-44a1-a613-a5df96e28f3b.jpg.296x216.jpg', '正四房 ，三房朝南，看房随时可看', '左岸花园  | 4室2厅 | 152.49平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2005年建板楼  -  拱宸桥', '540万', '单价35413元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload3da0bf9f-3a87-47b8-8e97-3157037e04f1.jpg.296x216.jpg', '小河旁边，三开间朝南，大两房。', '米市巷  | 2室2厅 | 75平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  湖墅', '280万', '单价37334元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada9e50150-ede7-4617-b9ad-5e0cf7c896d7.jpg.296x216.jpg', '德胜新村 户型方正 两房朝南带院子', '德胜新村  | 2室1厅 | 55.56平米 | 南 | 毛坯 | 无电梯', '低楼层(共7层)1988年建板楼  -  德胜', '215万', '单价38697元/平米')
('https://image1.ljcdn.com/330100-inspection/34910489-bdea-42c1-9a06-136ce6386030.jpg.296x216.jpg', '杭城两房价格低廉 两房户型 无增值税 有钥匙', '蚕花园永宁坊  | 2室1厅 | 66.16平米 | 西南 | 毛坯 | 有电梯', '中楼层(共22层)2000年建板楼  -  拱宸桥', '190万', '单价28719元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4d78eca2-5fc9-4527-bbc6-6ca0b59c4558.jpg.296x216.jpg', '新上房源 南北户型 中间楼层 看房方便', '左家新村  | 2室1厅 | 54.37平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1993年建板楼  -  湖墅', '245万', '单价45062元/平米')
('https://image1.ljcdn.com/330100-inspection/bb1af75d-6791-4626-8d7f-9f395cef8cf5.jpg.296x216.jpg', '满五唯一，距离卖小本部不到100米的优质三房急售！', '文一路38弄  | 3室1厅 | 73.38平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共5层)1985年建板楼  -  信义坊', '348万', '单价47425元/平米')
('https://image1.ljcdn.com/330100-inspection/aca8de10-d2e9-4364-a4dc-c316fd46d465.jpg.296x216.jpg', '中天西城纪中间楼层，65平三房公寓了解一下', '中天西城纪  | 3室1厅 | 65平米 | 东 | 精装 | 有电梯', '中楼层(共14层)2014年建板楼  -  申花', '218万', '单价33539元/平米')
('https://image1.ljcdn.com/330100-inspection/e5692a72-6db4-4b89-ad3b-91cda00de7da.jpg.296x216.jpg', '自住精装 纯边套 南北通透 楼层好 视野开阔 无遮挡', '天阳上河  | 3室2厅 | 88.96平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2010年建板楼  -  桥西', '465万', '单价52271元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4c8d1398-a0e5-4994-ade5-6bf2d06fba0d.jpg.296x216.jpg', '都市水乡水曲苑，拱墅区，刚需两房，得房率高！', '都市水乡水曲苑  | 2室2厅 | 70平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2008年建板楼  -  三墩', '250万', '单价35715元/平米')
('https://image1.ljcdn.com/330100-inspection/29deb547-0cf2-4331-9929-2b5e03808dd7.jpg.296x216.jpg', '庆隆苑三期2012年房龄，两房朝南两个卫生间，诚心出售', '庆隆苑  | 2室1厅 | 87.96平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2004年建板塔结合  -  和睦', '310万', '单价35244元/平米')
('https://image1.ljcdn.com/330100-inspection/53187aad-fea9-49c0-b0d8-2134415f04c1.jpg.296x216.jpg', '左岸全明两房，前后无遮挡，多层得房率高，诚心出售。', '左岸花园  | 2室2厅 | 84.23平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2005年建板楼  -  拱宸桥', '360万', '单价42741元/平米')
('https://image1.ljcdn.com/330100-inspection/2daff8d2-bc2b-4649-913a-61caa69fa9ac.jpg.296x216.jpg', '和睦新村 两房精装修 满五年 看房预约不沿街 自带公园', '和睦新村  | 2室1厅 | 48.54平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1989年建板楼  -  和睦', '190万', '单价39143元/平米')
('https://image1.ljcdn.com/330100-inspection/041e0219-e689-480a-b3cb-be8815f29fab.jpg.296x216.jpg', '大关小区 全明两室 精装修 拎包入住', '大关南八苑  | 2室1厅 | 63.25平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  大关', '250万', '单价39526元/平米')
('https://image1.ljcdn.com/330100-inspection/3ad79c71-0152-4d08-b12c-515b11543748.jpg.296x216.jpg', '大关西六苑 一楼架空半层全明户型。', '大关西七苑  | 2室1厅 | 54.33平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  大关', '225万', '单价41414元/平米')
('https://image1.ljcdn.com/330100-inspection/fe2e78fc-accd-4c2b-9493-3d945b3626e7.jpg.296x216.jpg', '德胜新村新上两房，中间楼层，采光充足.', '德胜新村  | 2室1厅 | 54.68平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  德胜', '220万', '单价40235元/平米')
('https://image1.ljcdn.com/330100-inspection/f9b48b55-aa56-4137-9201-918caca7f6e9.jpg.296x216.jpg', '香港开发商 申花版块 九龙仓珑玺 舒适宜居', '九龙仓珑玺  | 3室2厅 | 89.78平米 | 西 | 毛坯', '低楼层(共24层)2017年建板楼  -  申花', '440万', '单价49009元/平米')
('https://image1.ljcdn.com/330100-inspection/f72b5c79-0131-4b87-9559-bc721c40f2a1.jpg.296x216.jpg', '古新路 古新河边 地铁口 楼层好', '古新路  | 2室1厅 | 50.85平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1990年建板楼  -  湖墅', '215万', '单价42282元/平米')
('https://image1.ljcdn.com/330100-inspection/7f6a36fd-12bf-40a7-b8df-e839b4016be6.jpg.296x216.jpg', '运河景观房满五唯一 ，清爽装修，拎包入住', '北国之春人家  | 3室2厅 | 136.03平米 | 南 北 | 简装 | 有电梯', '中楼层(共16层)2004年建板楼  -  拱宸桥', '586万', '单价43079元/平米')
('https://image1.ljcdn.com/330100-inspection/0bdb46ae-d662-4947-8d94-f6496e20b88c.jpg.296x216.jpg', '满五唯一，采光良好，交通便利，配套成熟', '德胜新村  | 2室1厅 | 58.39平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1988年建板楼  -  德胜', '220万', '单价37678元/平米')
('https://image1.ljcdn.com/330100-inspection/c301a71c-6db3-4647-a37f-45dcf5c23282.jpg.296x216.jpg', '刚满两年，婚房装修，房东已买好更大的房子', '德信北海公园  | 3室1厅 | 87.63平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2011年建板楼  -  万达广场', '400万', '单价45647元/平米')
('https://image1.ljcdn.com/330100-inspection/933e55cf-1740-41d7-8be9-e13bf572a958.jpg.296x216.jpg', '主城区 拱墅区板块 总价低两房 房东诚心卖', '都市水乡水滟苑  | 2室2厅 | 76.8平米 | 南 | 精装 | 有电梯', '低楼层(共10层)2008年建板楼  -  三墩', '250万', '单价32553元/平米')
('https://image1.ljcdn.com/330100-inspection/4772b91e-93b2-4060-9264-16697718b717.jpg.296x216.jpg', '自住精装修，南北通透，免双税，诚心出售', '名城燕园  | 2室2厅 | 87.78平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2010年建板楼  -  桥西', '460万', '单价52404元/平米')
('https://image1.ljcdn.com/330100-inspection/a625f102-ffda-4c3c-b72f-252465fc42a4.jpg.296x216.jpg', '自住精装小三房，南北通透，采光超好', '大关东一苑  | 3室1厅 | 65平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  大关', '285万', '单价43847元/平米')
('https://image1.ljcdn.com/330100-inspection/405a23c0-d618-4386-b2c5-b9ce8665cce7.jpg.296x216.jpg', '面对市政公园 采光视野好 可以看到京杭大运河免增值税', '凯德视界  | 2室2厅 | 87.79平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2009年建塔楼  -  桥西', '427万', '单价48639元/平米')
('https://image1.ljcdn.com/330100-inspection/968bba8d-3c5b-4f27-9552-4c1e5211cc60.jpg.296x216.jpg', '莫干新村 2号线地铁500米  2房朝南 户型正气', '莫干新村  | 2室1厅 | 57.72平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1984年建板楼  -  湖墅', '255万', '单价44179元/平米')
('https://image1.ljcdn.com/330100-inspection/test-477d5716-e866-49d2-9d9a-595870145e92.png.296x216.jpg', '经典户型双阳台赠送面积多得房率90%户型方正景观楼层', '富越香郡  | 3室2厅 | 89.8平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2014年建板楼  -  桥西', '388万', '单价43208元/平米')
('https://image1.ljcdn.com/330100-inspection/bc4d2aeb-9134-4b83-9a23-f1ffd84d7ec7.jpg.296x216.jpg', '荣华里 全明户型 夏天无需开空调就能感受微风吹过脸颊', '荣华里  | 2室1厅 | 64.21平米 | 南 | 简装 | 无电梯', '低楼层(共7层)2000年建板楼  -  拱宸桥', '280万', '单价43607元/平米')
('https://image1.ljcdn.com/330100-inspection/91f2c9d2-14c1-4f71-a4c6-25d3653e91de.jpg.296x216.jpg', '精装修，中间楼层，免双税，南北通透全明', '名城燕园  | 3室2厅 | 88.47平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2010年建板楼  -  桥西', '460万', '单价51996元/平米')
('https://image1.ljcdn.com/330100-inspection/4b4836fb-6f34-455d-a03f-69082441e13b.jpg.296x216.jpg', '左岸三房  高得房率+运河景观+采光好', '左岸花园  | 3室2厅 | 103.92平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  拱宸桥', '465万', '单价44746元/平米')
('https://image1.ljcdn.com/330100-inspection/1e175a52-a73d-4b5e-9a2d-581f58a756ca.jpg.296x216.jpg', '卖小本部 楼层中间楼层 业主诚心出售', '左家新村  | 2室1厅 | 51.65平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  湖墅', '245万', '单价47435元/平米')
