('https://image1.ljcdn.com/330100-inspection/df63673a-b304-46da-a708-6c0f9c85ab3a.jpg.296x216.jpg', '降低身价，只为遇见你，急降40万诚心卖', '钱塘景苑  | 4室2厅 | 171.5平米 | 南 北 | 简装 | 有电梯', '中楼层(共12层)2000年建板楼  -  彩虹城', '630万', '单价36735元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploade663bd4f-6af2-429f-8b8b-a2d794f9fbdc.jpg.296x216.jpg', '一线江景，满五年三房，精装急售，约看方便', '太阳国际公寓  | 3室2厅 | 128.4平米 | 南 北 | 精装 | 有电梯', '高楼层(共31层)2007年建板楼  -  彩虹城', '688万', '单价53583元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadeda02fe5-7482-436a-9796-42984d860af1.JPG.296x216.jpg', '钱塘春晓，板楼东边套，满五免增', '钱塘春晓  | 4室2厅 | 161.9平米 | 东 南 北 | 简装 | 有电梯', '中楼层(共11层)2005年建板楼  -  滨江区政府', '725万', '单价44781元/平米')
('https://image1.ljcdn.com/330100-inspection/test-321da2ef-3ce7-4b77-b04a-23ffb0f6b1eb.png.296x216.jpg', '彩虹城满五年精装修大四房270度一线江景视野开阔', '彩虹城  | 4室2厅 | 147.22平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2007年建板楼  -  彩虹城', '725万', '单价49247元/平米')
('https://image1.ljcdn.com/330100-inspection/614e7c60-8b53-4562-9392-34b9fa250abf.jpg.296x216.jpg', '高品质小区，精装修，大平层，没有双税。', '钱塘帝景  | 5室1厅 | 250.94平米 | 南 北 | 精装 | 有电梯', '低楼层(共45层)2013年建板楼  -  彩虹城', '1350万', '单价53798元/平米')
('https://image1.ljcdn.com/330100-inspection/test-4f3d7275-5443-4536-b53d-5948854a5c6d.png.296x216.jpg', '此房满五唯一免双税，钱塘江畔，交通便利配套设施齐全', '钱江湾花园  | 1室1厅 | 54.61平米 | 南 | 精装 | 有电梯', '中楼层(共16层)2003年建板楼  -  浦沿', '255万', '单价46695元/平米')
('https://image1.ljcdn.com/330100-inspection/test-06f14577-5b2f-4756-99da-6567594fa27b.png.296x216.jpg', '江景房，自住装修满两年。有负一层车位，业主诚意出售', '中海钱塘山水  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2009年建板楼  -  浦沿', '428万', '单价48090元/平米')
('https://image1.ljcdn.com/330100-inspection/ad5bbb9d-93ae-48d8-8bdc-d60df269d21c.jpg.296x216.jpg', '彩虹城小三居  户型方正  高楼层采光好', '钱江水晶城  | 3室1厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2011年建板楼  -  彩虹城', '560万', '单价62922元/平米')
('https://image1.ljcdn.com/330100-inspection/e0d22df0-f79a-4ad3-84a4-a067dbc87fee.JPG.296x216.jpg', '江南铭庭 满五年唯一免双税，全明户型，中低间楼层', '江南铭庭  | 2室2厅 | 86.61平米 | 南 | 毛坯 | 有电梯', '低楼层(共27层)2012年建板楼  -  白马湖', '325万', '单价37525元/平米')
('https://image1.ljcdn.com/330100-inspection/test-59a6a77b-2656-4f7b-9850-41787d4b95db.png.296x216.jpg', '超级星期天 2室1厅 230万', '超级星期天  | 2室1厅 | 75.97平米 | 南 | 简装 | 有电梯', '低楼层(共13层)2008年建板楼  -  浦沿', '230万', '单价30276元/平米')
('https://image1.ljcdn.com/330100-inspection/0262b522-4e40-4702-9cdc-fedd5038423b.jpg.296x216.jpg', '彩虹城 江景房 视野开阔 大四居', '彩虹城  | 4室2厅 | 174平米 | 南 | 毛坯 | 有电梯', '高楼层(共30层)2007年建板楼  -  彩虹城', '800万', '单价45978元/平米')
('https://image1.ljcdn.com/330100-inspection/39b1fe73-ff5c-4f80-abc3-5a458a3a4363.jpg.296x216.jpg', '全明户型，户型方正，多层顶跃，采光充足', '时代长岛之春  | 3室3厅 | 139.95平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  浦沿', '410万', '单价29297元/平米')
('https://image1.ljcdn.com/330100-inspection/e5bc4b9b-634e-4c8c-9ae8-ab22b2e4ab67.JPG.296x216.jpg', '风情苑精装修4房，中间楼层，位置好', '温兴风情苑  | 4室2厅 | 144.4平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2007年建板楼  -  西兴', '479万', '单价33172元/平米')
('https://image1.ljcdn.com/330100-inspection/fc5f44cc-7bad-4c8b-ac3f-131d25e7b2ea.jpg.296x216.jpg', '国信嘉园 户型正气 采光无遮挡', '国信嘉园  | 4室2厅 | 150.53平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2006年建板楼  -  彩虹城', '590万', '单价39195元/平米')
('https://image1.ljcdn.com/330100-inspection/6c94dbed-b872-4190-b89a-d2a9ea84887f.JPG.296x216.jpg', '寰宇天下优选好房大，看房随时方便，有两个车位另算！', '寰宇天下  | 5室2厅 | 257.21平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2014年建板楼  -  滨江区政府', '1280万', '单价49765元/平米')
('https://image1.ljcdn.com/330100-inspection/test-c0284cbb-22d8-4f65-ba32-6c2b26ec088d.png.296x216.jpg', '满五不唯一免综合税，交通便利，配套齐全', '贺田尚城  | 2室2厅 | 97.22平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2003年建板楼  -  浦沿', '385万', '单价39601元/平米')
('https://image1.ljcdn.com/330100-inspection/5bf97373-bc72-42bd-b470-c22d3e888e1c.JPG.296x216.jpg', '钱塘春晓 区政府板 块地铁口 户型板正', '钱塘春晓  | 2室2厅 | 118.3平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2005年建板楼  -  滨江区政府', '548万', '单价46323元/平米')
('https://image1.ljcdn.com/330100-inspection/fff44dc2-81d3-4c8d-a09f-05d20592b2d7.jpg.296x216.jpg', '高新板块 精装两房 中间楼层 诚心出售', '钱塘景苑  | 2室2厅 | 92.42平米 | 东 | 精装 | 有电梯', '中楼层(共12层)2000年建板楼  -  彩虹城', '382万', '单价41334元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b3df5523-fb19-4d2f-92bf-78b6899189d7.png.296x216.jpg', '坐拥钱江美景   户型方正明亮   楼层最宜居住', '太阳国际公寓  | 4室2厅 | 167.63平米 | 南 北 | 简装 | 有电梯', '中楼层(共31层)2007年建板楼  -  彩虹城', '800万', '单价47725元/平米')
('https://image1.ljcdn.com/330100-inspection/5207f3e7-4095-4ce0-86cf-03784655414b.JPG.296x216.jpg', '海威国际二线江景，大三房，户型方正，看房方便', '银泰海威国际  | 3室2厅 | 132.83平米 | 南 | 毛坯 | 有电梯', '高楼层(共33层)2009年建板楼  -  长河', '690万', '单价51947元/平米')
('https://image1.ljcdn.com/330100-inspection/830053b0-4e1a-4040-a28c-fd8c9d826bc9.jpg.296x216.jpg', '钱江美景   得一此房   美不胜收', '太阳国际公寓  | 3室2厅 | 133.39平米 | 南 北 | 精装 | 有电梯', '中楼层(共31层)2007年建板楼  -  彩虹城', '725万', '单价54352元/平米')
('https://image1.ljcdn.com/330100-inspection/c0a96e5d-bea6-4a4e-9f9b-96520de338e5.jpg.296x216.jpg', '绿地旭辉城 4室2厅 760万', '绿地旭辉城  | 4室2厅 | 129平米 | 南 | 毛坯 | 有电梯', '高楼层(共47层)2017年建板楼  -  奥体', '760万', '单价58915元/平米')
('https://image1.ljcdn.com/330100-inspection/18cb76a3-a2ca-498b-a32f-08da2c635a89.JPG.296x216.jpg', '东方郡纯毛坯大四房 可自行设计风格 可做婚房', '欣盛东方郡西区  | 3室2厅 | 136.78平米 | 南 | 毛坯 | 有电梯', '低楼层(共10层)2010年建板楼  -  滨江区政府', '700万', '单价51178元/平米')
('https://image1.ljcdn.com/330100-inspection/b51847ce-5845-49a1-a974-8f745d35d712.JPG.296x216.jpg', '风景蝶院 精装两居室 中间楼层视野开阔 诚心出售', '保亿风景蝶院观园  | 2室2厅 | 82.28平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2010年建板楼  -  白马湖', '348万', '单价42295元/平米')
('https://image1.ljcdn.com/330100-inspection/382ced51-27be-4237-bd52-e1b7ecaffca1.JPG.296x216.jpg', '铁岭花园，西兴地铁口500米，装修风格清爽', '铁岭花园  | 3室2厅 | 105.03平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  西兴', '336万', '单价31991元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload70b70811-7d50-4b46-81f6-517b1500ccf3.JPG.296x216.jpg', '滨康地铁站500米 独立厨房 青年公寓4.79m挑高 朝南', '玲珑府  | 3室2厅 | 57.86平米 | 南 | 精装 | 有电梯', '21层2016年建板楼  -  西兴', '210万', '单价36295元/平米')
('https://image1.ljcdn.com/330100-inspection/test-f3a37754-9a53-4db9-a95a-89c1893dd02e.png.296x216.jpg', '贺田新上小高层南北通精装修看房方便', '贺田尚城  | 3室2厅 | 135.31平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  浦沿', '570万', '单价42126元/平米')
('https://image1.ljcdn.com/330100-inspection/a61fd58b-e1c6-461c-8455-c0810e21a67a.JPG.296x216.jpg', '中兴花园百合苑满五年免双税 精装修', '中兴花园百合苑  | 2室2厅 | 99.89平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2009年建板楼  -  滨江区政府', '490万', '单价49054元/平米')
('https://image1.ljcdn.com/330100-inspection/49c212e2-5467-40ea-82b3-be7c55948764.JPG.296x216.jpg', '精装大三房，东边套，双阳台，户型正，诚心出售！', '南岸晶都花园  | 3室2厅 | 136.08平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2007年建板楼  -  长河', '490万', '单价36009元/平米')
('https://image1.ljcdn.com/330100-inspection/d03e6e8f-798d-4b8a-8808-53b23be8ab98.jpg.296x216.jpg', '滨江浦沿 改善大三房 送精装修 诚心出售！', '银爵世纪公寓  | 3室2厅 | 122平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2008年建板楼  -  浦沿', '460万', '单价37705元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload6db6265e-2b7e-48d0-b5be-7578d5e529ad.jpg.296x216.jpg', '碧水豪园精装顶跃，满五唯一，180度采光，带露台', '碧水豪园  | 5室2厅 | 235平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  彩虹城', '658万', '单价28000元/平米')
('https://image1.ljcdn.com/330100-inspection/9c34c6b8-d134-41bd-aeb0-3ee7069cac2e.jpg.296x216.jpg', '滨江宝龙城旁 配套完善，品质小区', '钱江水晶城  | 3室2厅 | 126.9平米 | 南 北 | 简装 | 有电梯', '高楼层(共25层)2010年建板楼  -  彩虹城', '788万', '单价62097元/平米')
('https://image1.ljcdn.com/330100-inspection/e208b114-3513-41f5-a3d5-3d97e1d8feb0.JPG.296x216.jpg', '水印城平层塔式楼结构，满五唯一免双税。业主诚心卖房', '水印城  | 3室2厅 | 142.5平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2008年建板楼  -  长河', '580万', '单价40702元/平米')
('https://image1.ljcdn.com/330100-inspection/6a2f7349-800b-4bf0-a99e-dd8e20627821.JPG.296x216.jpg', '风景蝶院两居室 南北通透三阳台 交通便利 环境优雅', '保亿风景蝶院观园  | 2室2厅 | 88.28平米 | 南 北 | 简装 | 有电梯', '中楼层(共25层)2010年建板楼  -  白马湖', '335万', '单价37948元/平米')
('https://image1.ljcdn.com/330100-inspection/46fb6553-aa13-47e1-8e0d-f2f29bf00e20.jpg.296x216.jpg', '滨江高新江景刚需两房，自住装修', '太阳国际公寓  | 2室1厅 | 85.34平米 | 南 北 | 精装 | 有电梯', '低楼层(共31层)2007年建板楼  -  彩虹城', '430万', '单价50387元/平米')
('https://image1.ljcdn.com/330100-inspection/270f184c-cc82-4751-bd6a-b5ee3ae89296.jpg.296x216.jpg', '钱塘大观次新两房 纯毛坯 一线江景 面积可拓', '钱塘大观  | 2室2厅 | 88.94平米 | 南 | 毛坯', '中楼层(共33层)2017年建板楼  -  浦沿', '370万', '单价41602元/平米')
('https://image1.ljcdn.com/330100-inspection/9ad340a1-640f-4050-bbaf-0163adf63f72.JPG.296x216.jpg', '网易阿里精装修大三房拎包入住动静分离', '南岸晶都花园  | 3室2厅 | 132.47平米 | 南 | 简装 | 有电梯', '高楼层(共26层)2007年建板楼  -  长河', '488万', '单价36839元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada5528685-3c52-4a5f-a736-fa3a5a0a1590.JPG.296x216.jpg', '钱塘春晓 总价低 单价便宜 双地铁口 配套齐全', '钱塘春晓  | 3室2厅 | 153平米 | 南 北 | 精装 | 有电梯', '低楼层(共26层)2006年建板楼  -  滨江区政府', '635万', '单价41504元/平米')
('https://image1.ljcdn.com/330100-inspection/fa615213-fe0d-44ad-9311-7b8aaf0c1922.jpg.296x216.jpg', '彩虹城浪琴轩经典装修大四房南北通透', '彩虹城  | 4室2厅 | 195.31平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2007年建板楼  -  彩虹城', '1030万', '单价52737元/平米')
('https://image1.ljcdn.com/330100-inspection/b707cc17-54fc-4070-a309-72861f1acfb2.JPG.296x216.jpg', '南岸晶都花园精装修三房南北双阳台满五年', '南岸晶都花园  | 3室2厅 | 136平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2007年建板楼  -  长河', '530万', '单价38971元/平米')
('https://image1.ljcdn.com/330100-inspection/11412216-b947-48fc-ba4f-e958f12e859f.JPG.296x216.jpg', '江锦国际 精装修朝东带阳台 中高层视野好 可拎包入住', '中奥江锦国际  | 1室1厅 | 57.55平米 | 东 东南 | 精装 | 有电梯', '中楼层(共26层)2012年建板楼  -  滨江区政府', '138万', '单价23980元/平米')
('https://image1.ljcdn.com/330100-inspection/6bdc65f1-1f85-43c9-ac53-fac2d828026b.jpg.296x216.jpg', '金盛曼城地铁口 南北通透 价格可谈 诚售', '金盛曼城  | 2室2厅 | 85.52平米 | 南 | 毛坯 | 有电梯', '低楼层(共11层)2010年建板楼  -  浦沿', '320万', '单价37419元/平米')
('https://image1.ljcdn.com/330100-inspection/fa86d2b4-1e2f-4265-9014-2efe193d1425.jpg.296x216.jpg', '地铁4号线杨家墩站，自住精装两房，楼层好', '银爵世纪公寓  | 2室1厅 | 89.21平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2009年建板楼  -  浦沿', '365万', '单价40915元/平米')
('https://image1.ljcdn.com/330100-inspection/cb4403c6-7255-486e-94e4-5b0f678f01be.JPG.296x216.jpg', '东方商务会馆单价低房东诚心出售', '东方商务会馆  | 1室2厅 | 41.12平米 | 东 | 精装 | 有电梯', '中楼层(共16层)2000年建板楼  -  长河', '135万', '单价32831元/平米')
('https://image1.ljcdn.com/330100-inspection/cb372800-351a-4feb-a0db-a9200a0f8f26.JPG.296x216.jpg', '绿城明月江南 89方精装交付 优质校区', '绿城明月江南  | 2室2厅 | 89.32平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2014年建板楼  -  滨江区政府', '580万', '单价64936元/平米')
('https://image1.ljcdn.com/330100-inspection/34950efa-2455-463e-8f5f-fc0877d51260.JPG.296x216.jpg', '东和时代边上配套设施完善地处滨江主要地段', '东和时代  | 1室1厅 | 51平米 | 西 | 精装 | 有电梯', '高楼层(共28层)2013年建板楼  -  滨江区政府', '150万', '单价29412元/平米')
('https://image1.ljcdn.com/330100-inspection/252bf1f0-a9fa-4680-9011-af77bad98acb.JPG.296x216.jpg', '倾城之恋 3室2厅 575万', '倾城之恋  | 3室2厅 | 113.58平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2005年建板塔结合  -  滨江区政府', '575万', '单价50626元/平米')
('https://image1.ljcdn.com/330100-inspection/df0c32a1-29eb-4bec-96eb-c79d143cf78c.JPG.296x216.jpg', '此房满五唯一 精装修夹边套 近地铁交通便利 配套齐全', '瑞立中央花城  | 3室2厅 | 137.6平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2009年建板楼  -  滨江区政府', '710万', '单价51599元/平米')
