('https://image1.ljcdn.com/330100-inspection/2ba2f57e-745b-44b1-a42a-8263d7b9573f.jpg.296x216.jpg', '金成经典4跃5好户型，中间楼层，全明格局。', '金成花园  | 3室2厅 | 132.77平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文一西路', '480万', '单价36153元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload9068bc13-a4dc-40f8-99c8-d0ad55023582.jpg.296x216.jpg', '山水人家四房东边套，中间楼层不沿街户型正气！', '山水人家香溪地  | 4室2厅 | 144.86平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2005年建板楼  -  文三西路', '585万', '单价40384元/平米')
('https://image1.ljcdn.com/330100-inspection/da746e98-b418-44ec-946a-c04d9072c647.jpg.296x216.jpg', '紫金小区飞机户型，中间楼层，单价低', '紫金公寓  | 3室2厅 | 98.65平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共7层)1996年建板楼  -  文三西路', '380万', '单价38521元/平米')
('https://image1.ljcdn.com/330100-inspection/dfb6728f-62e0-41d7-a0c9-595c0290d571.jpg.296x216.jpg', '春天大四房诚心卖房，户型正气四房朝南，实用170平', '春天花园  | 4室2厅 | 145.82平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2001年建板楼  -  文一西路', '600万', '单价41147元/平米')
('https://image1.ljcdn.com/330100-inspection/d16b9eb8-67f2-4b45-8873-ee6064453d4d.jpg.296x216.jpg', '嘉绿北苑 正气两房 南北通透 不沿街', '嘉绿北苑  | 2室2厅 | 71.42平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  嘉绿', '352万', '单价49286元/平米')
('https://image1.ljcdn.com/330100-inspection/679d2055-7993-4b5e-9e09-bf3ccef738ca.jpg.296x216.jpg', '新上不走破小两房，低总价，采光好，坐北朝南全明户型', '古荡新村西区  | 2室1厅 | 51.05平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1990年建板楼  -  古荡', '210万', '单价41137元/平米')
('https://image1.ljcdn.com/330100-inspection/ecf0d509-8c71-4eed-82db-f811d59aa195.jpg.296x216.jpg', '新上品质房源、顶跃复式，带阁楼，带阳台，随时看房。', '亚洲城花园  | 4室1厅 | 130.11平米 | 西南 | 简装 | 无电梯', '高楼层(共6层)1996年建塔楼  -  古荡', '405万', '单价31128元/平米')
('https://image1.ljcdn.com/330100-inspection/a26db096-c45c-4f5a-a763-440f33fc7708.jpg.296x216.jpg', '港湾家园 两房可改三房 朝南户型 不临街', '港湾家园  | 2室2厅 | 119.51平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)2006年建塔楼  -  申花', '620万', '单价51879元/平米')
('https://image1.ljcdn.com/330100-inspection/8cf70467-badb-49bf-969b-a3d6bca9189a.jpg.296x216.jpg', '交通便利，全明户型 小区配套设施齐全', '物华小区  | 3室2厅 | 135.71平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  嘉绿', '430万', '单价31686元/平米')
('https://image1.ljcdn.com/330100-inspection/61c6dfd9-39a6-468d-8ddb-2041ebd4c38b.JPG.296x216.jpg', '金地复式79方两房 总价低 房东诚售无户口无学籍', '金地自在城  | 2室2厅 | 79.39平米 | 南 北 | 精装 | 有电梯', '中楼层(共25层)2012年建板楼  -  三墩', '290万', '单价36529元/平米')
('https://image1.ljcdn.com/330100-inspection/6958f963-6672-4d94-af85-6758878994f5.jpg.296x216.jpg', '翠苑五区经典的三房户型南北通透', '翠苑五区  | 3室1厅 | 75.68平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  翠苑', '358万', '单价47305元/平米')
('https://image1.ljcdn.com/330100-inspection/8095572a-55dc-473c-9a22-8b4645ae99a1.jpg.296x216.jpg', '溪畔花园 2室1厅 315万', '溪畔花园  | 2室1厅 | 50.38平米 | 东 南 北 | 简装 | 无电梯', '高楼层(共5层)2000年建板楼  -  文教', '315万', '单价62525元/平米')
('https://image1.ljcdn.com/330100-inspection/3777102e-049f-44d2-8758-94f431cfaa9f.jpg.296x216.jpg', '南都德迦 电梯大四房 错层结构 中间楼层 有钥匙', '南都德迦东区  | 4室2厅 | 162.42平米 | 南 | 简装 | 有电梯', '中楼层(共7层)2001年建板楼  -  文三西路', '730万', '单价44946元/平米')
('https://image1.ljcdn.com/330100-inspection/935b98cb-be32-4135-bf51-ef72daa327eb.jpg.296x216.jpg', '德迦东区大四居，户型方正，看房方便', '南都德迦东区  | 4室2厅 | 141.39平米 | 南 | 精装 | 无电梯', '低楼层(共5层)板楼  -  文三西路', '630万', '单价44558元/平米')
('https://image1.ljcdn.com/330100-inspection/11130aec-bbba-4b58-b577-cff1e610923e.jpg.296x216.jpg', '康乐香港城简装两房 业主诚心出售', '康乐香港城  | 2室2厅 | 73.3平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  文三西路', '320万', '单价43657元/平米')
('https://image1.ljcdn.com/330100-inspection/3cd8d0a2-1cd5-467b-83d9-c7a2e0b3d44e.jpg.296x216.jpg', '南北三房  免征收增值税和个税 学军十三中本部 诚心卖', '马塍路35号  | 3室1厅 | 67.2平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1983年建板楼  -  学军', '540万', '单价80358元/平米')
('https://image1.ljcdn.com/330100-inspection/71b7cf38-79b7-4dd5-bbf5-291f2d307e0b.jpg.296x216.jpg', '嘉绿北苑，带露台，三房朝南，采光良好', '嘉绿北苑  | 3室2厅 | 107.2平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  嘉绿', '468万', '单价43657元/平米')
