('https://image1.ljcdn.com/131000-inspection/7b9b6f74-1e3d-4aeb-b8c6-62fc0a117f34.jpg.296x216.jpg', '国道旁满两年两个房子一个房本随时看房', '方城馨苑  | 3室2厅 | 117.68平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  固安', '150万', '单价12747元/平米')
('https://image1.ljcdn.com/131000-inspection/c419ae24-7d80-4b44-adef-02d04cefd70b.jpg.296x216.jpg', '长福宫 2室2厅 140万', '长福宫  | 2室2厅 | 95.66平米 | 南 北 | 其他', '中楼层(共12层)暂无数据  -  固安', '140万', '单价14636元/平米')
('https://image1.ljcdn.com/131000-inspection/0d4e2052-dc6c-4423-9531-be7b8d89db00.jpg.296x216.jpg', '天园小区 2室1厅 115万', '天园小区  | 2室1厅 | 83.81平米 | 南 | 其他', '高楼层(共17层)暂无数据  -  固安', '115万', '单价13722元/平米')
('', '方城茗苑 2室1厅 110万', '方城茗苑  | 2室1厅 | 82.56平米 | 南 北 | 其他', '中楼层(共16层)暂无数据  -  固安', '110万', '单价13324元/平米')
('', '孔雀城五期棠墅园 5室3厅 450万', '孔雀城五期棠墅园  | 5室3厅 | 275.16平米 | 南 北 | 其他 | 无电梯', '未知(共0层)暂无数据  -  固安', '450万', '单价16355元/平米')
('', '环大湖精英大堡别墅 上下三层动静分离 本满两年大产权', '孔雀城六期颂春园  | 4室2厅 | 274.89平米 | 东 南 西 | 毛坯 | 有电梯', '未知(共0层)暂无数据  -  固安', '600万', '单价21827元/平米')
('', '安泰小区 3室2厅 130万', '安泰小区  | 3室2厅 | 128.5平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)暂无数据  -  固安', '130万', '单价10117元/平米')
('', '馨领域 2室2厅 110万', '馨领域  | 2室2厅 | 88.19平米 | 南 北 | 其他', '低楼层(共17层)暂无数据  -  固安', '110万', '单价12474元/平米')
('', '金海太阳城 1室1厅 85万', '金海太阳城  | 1室1厅 | 53.18平米 | 南 | 其他', '低楼层(共24层)暂无数据  -  固安', '85万', '单价15984元/平米')
('', '金海太阳城 2室2厅 145万', '金海太阳城  | 2室2厅 | 90.52平米 | 南 北 | 其他', '底层(共18层)暂无数据  -  固安', '145万', '单价16019元/平米')
('', '天园小区 2室2厅 120万', '天园小区  | 2室2厅 | 85.05平米 | 南 | 其他', '低楼层(共28层)暂无数据  -  固安', '120万', '单价14110元/平米')
('', '东方源龙 2室1厅 140万', '东方源龙  | 2室1厅 | 85.78平米 | 南 北 | 其他 | 无电梯', '底层(共6层)暂无数据  -  固安', '140万', '单价16321元/平米')
('', '金海铂郡 2室1厅 68万', '金海铂郡  | 2室1厅 | 70.83平米 | 南 北 | 其他', '顶层(共7层)暂无数据  -  固安', '68万', '单价9601元/平米')
('', '京南绿洲 2室2厅 140万', '京南绿洲  | 2室2厅 | 100.94平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  固安', '140万', '单价13870元/平米')
('', '绿宸万华城 3室2厅 152万', '绿宸万华城  | 3室2厅 | 99.93平米 | 南 北 | 其他', '低楼层(共25层)板楼  -  固安', '152万', '单价15211元/平米')
('', '天园四期 2室1厅 105万', '天园四期  | 2室1厅 | 64.57平米 | 南 北 | 其他', '高楼层(共23层)暂无数据  -  固安', '105万', '单价16262元/平米')
('https://image1.ljcdn.com/131000-inspection/a45238ee-040b-494f-af8e-d9f60694136d.JPG.296x216.jpg', 'K2红树湾 2室2厅 180万', 'K2红树湾  | 2室2厅 | 59.34平米 | 南 | 其他', '底层(共10层)暂无数据  -  固安', '180万', '单价30334元/平米')
('', '固安机场院墅 大面积赠送 带花园小院 私密别墅', '孔雀城三期佳园  | 4室2厅 | 225.46平米 | 东 南 西 北 | 毛坯 | 有电梯', '未知(共0层)暂无数据  -  固安', '450万', '单价19960元/平米')
