('https://image1.ljcdn.com/320100-inspection/833073a0-0945-4401-ae89-abb11e398e1a.jpg.296x216.jpg', '荣盛茉莉苑 2室2厅 118万', '荣盛茉莉苑  | 2室2厅 | 75.57平米 | 南 | 简装', '低楼层(共12层)暂无数据  -  六合其它', '118万', '单价15615元/平米')
('https://image1.ljcdn.com/320100-inspection/1b9a8070-db46-420a-b3a0-81e8a1ac5d5b.jpg.296x216.jpg', '荣盛莉湖春晓 2室2厅 108万', '荣盛莉湖春晓  | 2室2厅 | 63平米 | 南 | 其他', '低楼层(共18层)2016年建塔楼  -  六合其它', '108万', '单价17143元/平米')
('https://image1.ljcdn.com/320100-inspection/7c669948-bbbc-4d9a-901e-a0bbfb8cd67d.jpg.296x216.jpg', '荣盛莉湖春晓 2室1厅 133万', '荣盛莉湖春晓  | 2室1厅 | 78平米 | 南 北 | 精装', '低楼层(共26层)暂无数据  -  六合其它', '133万', '单价17052元/平米')
('https://image1.ljcdn.com/320100-inspection/1228fa8d-6c53-45c5-868b-f7e0f663abcc.jpg.296x216.jpg', '荣鼎幸福城 4室2厅 155万', '荣鼎幸福城  | 4室2厅 | 130平米 | 南 北 | 毛坯', '中楼层(共15层)2020年建板楼  -  六合其它', '155万', '单价11924元/平米')
('https://image1.ljcdn.com/320100-inspection/bfad3d40-86ac-4208-b041-072bb45c76df.jpg.296x216.jpg', '隆泰花园 3室2厅 165万', '隆泰花园  | 3室2厅 | 128平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)暂无数据  -  六合其它', '165万', '单价12891元/平米')
('https://image1.ljcdn.com/320100-inspection/bccb2ab3-40c2-4583-a9cc-6218ca86bd9f.jpg.296x216.jpg', '荣鼎幸福城 3室2厅 120万', '荣鼎幸福城  | 3室2厅 | 95.12平米 | 南 北 | 其他', '高楼层(共15层)2016年建塔楼  -  六合其它', '120万', '单价12616元/平米')
('', '时代广场边金陵学府，毛坯三房，配套成熟，环境优美', '荣盛金陵学府  | 3室2厅 | 107.53平米 | 南 北 | 其他', '中楼层(共28层)暂无数据  -  六合其它', '170万', '单价15810元/平米')
('', '冠城大通蓝郡松苑 3室1厅 135万', '冠城大通蓝郡松苑  | 3室1厅 | 83平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  六合其它', '135万', '单价16266元/平米')
('', '龙池湖边 德邑花园 精装 楼层好 采光佳 适合居住', '华欧德邑花园  | 3室2厅 | 90.87平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)暂无数据  -  六合其它', '120万', '单价13206元/平米')
('', '雄州复兴园精装3房 满五年 滁河边河景房 环境好楼层好', '复兴园  | 3室1厅 | 88平米 | 南 | 其他 | 无电梯', '中楼层(共6层)暂无数据  -  六合其它', '125万', '单价14205元/平米')
('', '邻近地铁 龙池湖畔 时代广场商圈 好楼层 精装3房 证满', '龙池翠洲  | 3室2厅 | 94.55平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)暂无数据  -  六合其它', '140万', '单价14807元/平米')
