('https://image1.ljcdn.com/320100-inspection/6a8ca2d2-a17a-4f9a-afb2-877985baded6.jpg.296x216.jpg', '南邮旁 新空毛坯 通透大三房 中间楼层 报价含车位', '诚品城  | 3室1厅 | 99.02平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2009年建板楼  -  仙林', '285万', '单价28783元/平米')
('https://image1.ljcdn.com/320100-inspection/23fbe606-e172-4356-947d-9c06c04aaad6.jpg.296x216.jpg', '满五年无个税 精装修 小三房 出行便利', '鸿运嘉园  | 3室1厅 | 95.7平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2011年建板楼  -  仙林', '300万', '单价31348元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload314c6341-3fa8-488d-a0ac-316e8fd4f058.jpg.296x216.jpg', '三味公寓 小二房 带电梯 物业管理好', '三味公寓  | 2室1厅 | 60.99平米 | 东 西 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  仙林', '200万', '单价32793元/平米')
('https://image1.ljcdn.com/320100-inspection/96b5ae87-8394-4431-8cfa-90cdada9657a.jpg.296x216.jpg', '迈皋桥商圈 刚需两房 中间楼层 南北通透 采光好', '迈皋桥街2号  | 2室1厅 | 44.5平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1990年建塔楼  -  迈皋桥', '127万', '单价28540元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload393b4f5c-4408-441e-a5dc-2d285ff68512.jpg.296x216.jpg', '此房为南湾营电梯两房，毛坯，业主诚心出售', '南湾营馨康苑  | 2室1厅 | 65.32平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2004年建板塔结合  -  马群', '135万', '单价20668元/平米')
('https://image1.ljcdn.com/320100-inspection/3b434173-c637-443c-a497-31ac33152cd2.jpg.296x216.jpg', '晓庄广场 和燕路 幕府山庄 成熟小区 配套齐全', '幕府山庄  | 2室2厅 | 59.21平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共6层)2001年建板楼  -  晓庄', '158万', '单价26685元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadae058be4-6012-4baf-afae-70d7b5c643d2.jpg.296x216.jpg', '顶跃 银城物业 封闭式管理 适宜居住', '鸿运嘉园  | 4室2厅 | 178.74平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2011年建板楼  -  仙林', '485万', '单价27135元/平米')
('https://image1.ljcdn.com/320100-inspection/cb99ffbe-ba3c-4875-b04a-400acf168222.jpg.296x216.jpg', '中间楼层 采光好  刚需三房 毛坯', '南湾营煦康苑  | 3室2厅 | 85.86平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2008年建板楼  -  马群', '178万', '单价20732元/平米')
('https://image1.ljcdn.com/320100-inspection/47053272-d184-48d8-9bba-f364216fd673.jpg.296x216.jpg', '钟山晶典 采光好 视野开阔 配套齐全', '钟山晶典苑  | 3室2厅 | 130.74平米 | 南 北 | 其他 | 有电梯', '中楼层(共15层)2010年建板塔结合  -  马群', '360万', '单价27536元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload72508020-5175-46dd-9792-f98265cd8848.jpg.296x216.jpg', '商品房 婚装 中间楼层 满二无增值税 小区位置好', '百水家园  | 2室1厅 | 64.05平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  马群', '163万', '单价25449元/平米')
('https://image1.ljcdn.com/120000-inspection/81fae20e-c0a6-4ceb-9c32-0b6bd9785632.jpg.296x216.jpg', '保利紫晶山 4室2厅 620万', '保利紫晶山  | 4室2厅 | 168.37平米 | 南 北 | 其他 | 有电梯', '高楼层(共6层)2010年建板楼  -  马群', '620万', '单价36824元/平米')
