('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadde833e55-9559-4fd4-b413-0a6a0270f270.jpg.296x216.jpg', '采光无遮挡，精装修，拎包入住。', '润富花园  | 2室1厅 | 91平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2006年建板塔结合  -  桥北', '182万', '单价20000元/平米')
('https://image1.ljcdn.com/320100-inspection/1b2c85d9-97dd-460b-a285-a45dfc746692.JPG.296x216.jpg', '江北新区南北通透小三房 配套成熟 交通便利 看房方便', '明发城市广场  | 3室2厅 | 95.22平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2010年建板楼  -  顶山街道', '260万', '单价27306元/平米')
('https://image1.ljcdn.com/320100-inspection/af0ca961-8f98-458d-8857-c48ef9392ea8.JPG.296x216.jpg', '花园洋房 前后均有院子 中式装修 拎包入住', '威尼斯水城第八街区  | 3室2厅 | 134.36平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2005年建板楼  -  桥北', '415万', '单价30888元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload415dfd96-f6af-46be-b7a7-fdd274e2df90.jpg.296x216.jpg', '此房业主卖房诚心 纯毛坯房 采光阳光不挡 交通便利', '中海万锦熙岸一期  | 3室2厅 | 106.84平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共26层)2014年建板楼  -  江浦街道', '260万', '单价24336元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload1fef6f8c-ec27-4528-b9fb-3a4af5f6156a.jpg.296x216.jpg', '国信阅景龙华 3室2厅 296万', '国信阅景龙华  | 3室2厅 | 138.77平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2010年建板楼  -  江浦街道', '296万', '单价21331元/平米')
('https://image1.ljcdn.com/320100-inspection/7730aa7e-b676-429c-a51a-48a3431aa576.jpg.296x216.jpg', '天润城6街区 低价两房 拎包住 随时看', '天润城第六街区  | 2室2厅 | 89.18平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2006年建板楼  -  桥北', '168万', '单价18839元/平米')
('https://image1.ljcdn.com/320100-inspection/821b5301-9fa8-4480-8b05-611ad3fec137.jpg.296x216.jpg', '成熟小区 看房随时 *设施齐全 南北通透', '新理想佳园  | 4室2厅 | 153.69平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  江浦街道', '285万', '单价18544元/平米')
('https://image1.ljcdn.com/320100-inspection/e6614d28-ddde-483e-957f-6e85fad962ba.jpg.296x216.jpg', '天润城第十街区 2室2厅 193万', '天润城第十街区  | 2室2厅 | 81.47平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2009年建板楼  -  桥北', '193万', '单价23690元/平米')
('https://image1.ljcdn.com/320100-inspection/3383080a-ed95-4d9b-bad7-94f98298c744.jpg.296x216.jpg', '南北通透大三房  一期位置 绿化高  满五唯一', '江岸水城  | 3室2厅 | 117.33平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2009年建板楼  -  桥北', '210万', '单价17899元/平米')
('https://image1.ljcdn.com/320100-inspection/a930adb9-04c0-4808-81ca-7efe0eec79c6.jpg.296x216.jpg', '金地物业 一楼带50平大院子 跃层 毛坯', '金地浅山艺境  | 4室2厅 | 134.2平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共6层)2017年建板楼  -  江浦街道', '450万', '单价33533元/平米')
('https://image1.ljcdn.com/320100-inspection/0655eb93-bb82-4e17-997e-c213bc8e7d54.JPG.296x216.jpg', '满五年 南北通透 带阁楼露台 不临街 南北通透 有钥匙', '威尼斯水城第八街区  | 2室1厅 | 82.64平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  桥北', '189.5万', '单价22931元/平米')
('https://image1.ljcdn.com/320100-inspection/341874d4-1acc-4daa-adfb-7a878127ecec.jpg.296x216.jpg', '经典三房 采光充足 视野开阔 交通便利 出行便利', '海润枫景家园  | 3室2厅 | 98.09平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2007年建板塔结合  -  泰山街道', '185万', '单价18861元/平米')
