('https://image1.ljcdn.com/320100-inspection/202362b8-7ceb-4c9f-8d33-0634a82d45be.jpg.296x216.jpg', '2000年房龄 3房 采光好 环境好 配套齐全 交通便利', '花园路70号  | 3室1厅 | 102.12平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1997年建板塔结合  -  锁金村', '306万', '单价29965元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload40f124c0-663d-4b73-b422-f0fd5b316102.jpg.296x216.jpg', '满五年2楼全明 紫金山南理工中山门大街灵谷寺钟山医院', '孝陵卫179号  | 2室1厅 | 57.04平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1984年建板楼  -  孝陵卫', '165万', '单价28928元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploada27180c4-a2af-41da-909a-bcbc3462de4d.jpg.296x216.jpg', '二号线下马坊地铁口 小户型 中上楼层 房龄新 单独保安', '铁匠营  | 2室1厅 | 63.74平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  孝陵卫', '198万', '单价31064元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2da0485e-6e87-4e2b-9052-8ab6f1aaf4cb.jpg.296x216.jpg', '玄武新庄 赞成湖畔居 双南 06年电梯房 视野开阔 诚售', '赞成湖畔居  | 2室1厅 | 90.41平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2006年建板楼  -  红山', '280万', '单价30971元/平米')
('https://image1.ljcdn.com/320100-inspection/98d0e1f4-8060-476a-8e52-1b3140b6e060.jpg.296x216.jpg', '卫岗21号 2室1厅 167万', '卫岗21号  | 2室1厅 | 50.66平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1989年建板塔结合  -  卫岗', '167万', '单价32965元/平米')
('https://image1.ljcdn.com/320100-inspection/c5f097a6-7821-44b9-a802-4988dcf3d179.jpg.296x216.jpg', '双拜巷 房龄新 带阁楼 配套齐 价可谈 诚售', '双拜巷教师公寓  | 2室1厅 | 64.47平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  孝陵卫', '172万', '单价26680元/平米')
('https://image1.ljcdn.com/320100-inspection/a0b6f3ad-cdfb-435d-b02a-50ac6dd6cd1a.jpg.296x216.jpg', '东方城晨曦园 2室1厅 288万', '东方城晨曦园  | 2室1厅 | 84.1平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  樱驼花园', '288万', '单价34245元/平米')
('https://image1.ljcdn.com/320100-inspection/f08250dd-f4ad-43a5-a95c-fa34681d73e4.jpg.296x216.jpg', '满两年 地铁 楼层好 采光好 酒店公寓', '凯润金城  | 1室0厅 | 48.42平米 | 北 | 其他 | 有电梯', '中楼层(共14层)2011年建塔楼  -  长江路', '162万', '单价33458元/平米')
('https://image1.ljcdn.com/320100-inspection/df9637d8-9594-4152-8a16-71812488ec98.jpg.296x216.jpg', '居家三房 东边户 采光无遮挡 满五唯一 房主诚售', '营苑东村  | 3室1厅 | 81.72平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  迈皋桥', '210万', '单价25698元/平米')
('https://image1.ljcdn.com/320100-inspection/0d9e63f7-8334-4df5-956a-f936c7cb6056.jpg.296x216.jpg', '玄武 聚宝山庄 高楼层 电梯 小三房 地铁4号线 配套全', '阳光聚宝山庄  | 2室1厅 | 110.58平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2007年建板塔结合  -  月苑', '338万', '单价30567元/平米')
('https://image1.ljcdn.com/320100-inspection/0eb5714e-bbea-4cf1-8305-228007a90700.jpg.296x216.jpg', '玄武 三房 楼层佳 采光好 通透 精装 满五唯一 配套全', '雯锦雅苑  | 3室2厅 | 116.18平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2005年建板塔结合  -  月苑', '338万', '单价29093元/平米')
