('https://image1.ljcdn.com/320100-inspection/65e7f4b6-8512-4930-a5fe-7820d6d2678d.jpg.296x216.jpg', '满五年 南北通透 采光足 拎包入住 居家装修', '新天地花园  | 2室1厅 | 59.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  月牙湖', '168万', '单价28369元/平米')
('https://image1.ljcdn.com/320100-inspection/bb0bb9f7-09b7-49dc-b2bd-43f54e731bca.jpg.296x216.jpg', '大平层 中间位置 精装 仁恒物业  月牙湖畔 南北通透', '梅花山庄园中苑  | 4室2厅 | 156.37平米 | 南 北 | 精装 | 无电梯', '低楼层(共7层)1999年建板楼  -  月牙湖', '535万', '单价34214元/平米')
('https://image1.ljcdn.com/320100-inspection/75311833-f6ed-4da4-8d72-0c407110a337.jpg.296x216.jpg', '光华路 采光充足 繁华地段  交通便利', '天坛新村  | 2室1厅 | 59.13平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)1990年建板塔结合  -  月牙湖', '149万', '单价25199元/平米')
('https://image1.ljcdn.com/320100-inspection/09780796-2b76-4948-b746-b8c0a988e56c.jpg.296x216.jpg', '南北通透 视野开阔 大光路 秦虹', '枫丹白露白露新寓  | 4室2厅 | 158.37平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2004年建板楼  -  秦虹', '608万', '单价38392元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload5d975f47-88a6-4cd3-8fff-197818c5be75.JPG.296x216.jpg', '南部新城 洪家园 永乐路 精装修 带车位 采光好', '龙翔鸣翠苑  | 2室2厅 | 92.49平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  洪家园', '308万', '单价33301元/平米')
('https://image1.ljcdn.com/320100-inspection/test-5f7b025a-3931-4f7d-9a73-2ba47ad6d593.png.296x216.jpg', '适合改善群体 三房 离夫子庙景区近 配套齐全 业主诚心', '良城美景家园  | 3室2厅 | 103.99平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  秦虹', '378万', '单价36350元/平米')
('https://image1.ljcdn.com/320100-inspection/f0872538-ca49-4ff6-8782-55639df01d24.JPG.296x216.jpg', '新街口 洪武路 武学园 满五年 采光无遮挡 满五诚售', '武学园小区  | 2室1厅 | 73.02平米 | 东南 | 其他 | 有电梯', '中楼层(共30层)1998年建塔楼  -  新街口', '348万', '单价47659元/平米')
('https://image1.ljcdn.com/320100-inspection/47ebe719-5969-4e70-a3c5-92591a5119bb.jpg.296x216.jpg', '夫子庙 建康路 长白街 致和新村精装修 拎包入住', '致和新村  | 3室1厅 | 75.05平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1993年建板楼  -  建康路', '246万', '单价32779元/平米')
('https://image1.ljcdn.com/320100-inspection/b6e28ccf-f7f0-4cb6-a28a-84321b2908bf.jpg.296x216.jpg', '有钥匙 有电梯 采光好  急售随时看房2000年房龄', '尚书公寓  | 2室1厅 | 97.7平米 | 西南 西北 | 其他 | 有电梯', '高楼层(共25层)1998年建板楼  -  大光路', '240万', '单价24565元/平米')
('https://image1.ljcdn.com/320100-inspection/4217f214-688d-4030-a25e-7e231cbe8756.JPG.296x216.jpg', '小区中间位置两房 客厅朝南带阳台 全明户型自住精装修', '四方新村四村  | 2室1厅 | 60.92平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2000年建板塔结合  -  月牙湖', '163万', '单价26757元/平米')
('https://image1.ljcdn.com/320100-inspection/08b11601-7637-4730-96a7-04335ef8bbf9.JPG.296x216.jpg', '瑞金北村 2室1厅 233万', '瑞金北村  | 2室1厅 | 60.64平米 | 东 | 其他 | 有电梯', '中楼层(共7层)1997年建板楼  -  瑞金路', '233万', '单价38424元/平米')
('https://image1.ljcdn.com/320100-inspection/947ee080-7ec2-40d5-85a0-4f8e97f8cd80.JPG.296x216.jpg', '月牙湖 中间楼层 采光无遮挡 南北通透户型 交通便捷', '月牙湖花园  | 3室2厅 | 120.91平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1999年建板楼  -  月牙湖', '420万', '单价34737元/平米')
('https://image1.ljcdn.com/320100-inspection/d6acf854-de54-483a-ac7c-1223e371ff92.JPG.296x216.jpg', '常府街 火瓦巷 交通便利 生活方便', '洪武高层  | 2室1厅 | 66.51平米 | 西北 | 其他 | 有电梯', '中楼层(共25层)1996年建塔楼  -  新街口', '265万', '单价39844元/平米')
('https://image1.ljcdn.com/320100-inspection/f47c5ba8-804e-4a12-9b49-bbe57a8d4256.JPG.296x216.jpg', '大明路 秦虹小区 精装两房 拎包入住', '凤虹苑  | 2室1厅 | 60.88平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1992年建板楼  -  秦虹', '170万', '单价27924元/平米')
('https://image1.ljcdn.com/320100-inspection/08f06a47-91ad-472a-b059-5f18cf60a886.JPG.296x216.jpg', '南北通透 成熟小区 交通方便 采光不挡', '陶李王巷  | 2室1厅 | 53.16平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1988年建板塔结合  -  朝天宫', '175万', '单价32920元/平米')
('https://image1.ljcdn.com/320100-inspection/244cdb5f-c260-439e-b483-bc175cc70ef8.JPG.296x216.jpg', '秦虹洪家园  南部新城 大明路 武定门 中楼层两房 全明', '康居里  | 2室1厅 | 53.16平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  秦虹', '155万', '单价29158元/平米')
('https://image1.ljcdn.com/320100-inspection/f1b7e166-b741-4efe-9481-049d618d27d9.JPG.296x216.jpg', '大行宫 普华巷 双南精装 两房 五老村 满五', '普华巷  | 2室1厅 | 48.53平米 | 东 南 | 精装 | 无电梯', '中楼层(共7层)1987年建板塔结合  -  五老村', '192万', '单价39564元/平米')
('https://image1.ljcdn.com/320100-inspection/fd19002b-fc78-40fa-82f2-5cfedaf48e1a.jpg.296x216.jpg', '满五年 采光充足 交通便捷 有电梯 居家装修 光华路', '四方新村六村  | 2室1厅 | 72.04平米 | 南 | 简装 | 有电梯', '中楼层(共14层)2002年建板塔结合  -  月牙湖', '180万', '单价24987元/平米')
('https://image1.ljcdn.com/320100-inspection/1c2ad502-55c3-4e98-b822-87d58cb07cbc.jpg.296x216.jpg', '天地花园 非顶楼两房 看房方便不临街 苜蓿园月牙湖', '天地花园  | 2室1厅 | 63.81平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  月牙湖', '170万', '单价26642元/平米')
('https://image1.ljcdn.com/320100-inspection/600b7f96-8386-470c-b091-e99ba7dba983.jpg.296x216.jpg', '三山街地铁站 来凤 磨盘街 中间楼层 采光好 交通方便', '磨盘街  | 2室1厅 | 48.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共7层)1997年建板塔结合  -  来凤里', '139万', '单价28496元/平米')
('https://image1.ljcdn.com/320100-inspection/f5f2bdbb-1396-4597-baad-045b4f9d5a33.jpg.296x216.jpg', '满五年 精装修 楼上带私人露台', '万达紫金明珠  | 2室2厅 | 83平米 | 南 北 | 其他 | 有电梯', '高楼层(共9层)2005年建板楼  -  月牙湖', '248万', '单价29880元/平米')
('https://image1.ljcdn.com/320100-inspection/d91fdaeb-ac3b-4e80-ba84-9ab8d6cb557f.JPG.296x216.jpg', '超百平空中花园  三初钟英 张府园地铁口 百万婚装', '观城  | 3室2厅 | 103.49平米 | 东 南 北 | 精装 | 有电梯', '低楼层(共25层)2009年建塔楼  -  升州路', '520万', '单价50247元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2686d4e1-0e1f-4771-94a5-a342df92814e.jpg.296x216.jpg', '御水湾花园 低楼层 小区中间  采光不错', '御水湾花园  | 2室2厅 | 92.52平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2007年建板楼  -  光华路', '355万', '单价38371元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload91827089-ee90-4dbc-a723-257cbb7425f1.jpg.296x216.jpg', '月牙湖花园 3室1厅 375万', '月牙湖花园  | 3室1厅 | 100.53平米 | 南 北 | 其他 | 无电梯', '中楼层(共4层)1999年建板楼  -  月牙湖', '375万', '单价37303元/平米')
('https://image1.ljcdn.com/320100-inspection/adfb3801-25ec-47c6-a3c8-0c4b31857c15.jpg.296x216.jpg', '瑞北 一中，不占 满五唯一 带20多平大院子低总价', '瑞金北村  | 2室1厅 | 44.25平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1984年建板楼  -  瑞金路', '215万', '单价48588元/平米')
('https://image1.ljcdn.com/320100-inspection/2d3c7c53-58f8-4a69-b99b-b5d8c6d264c8.jpg.296x216.jpg', '高层住宅小区 视野开阔 生活便利', '琥珀巷高层小区  | 2室1厅 | 56.95平米 | 东 | 其他 | 有电梯', '中楼层(共24层)1998年建塔楼  -  建康路', '165万', '单价28973元/平米')
('https://image1.ljcdn.com/320100-inspection/73e564e5-f977-4f3f-8a6a-486e47545339.JPG.296x216.jpg', '南部新城 市中医院 小区中间位置 南北通透 采光充足', '风光里小区  | 2室2厅 | 87.28平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2005年建板塔结合  -  洪家园', '308万', '单价35289元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload8cb5313d-ae4b-4684-b3db-05809878bc9b.jpg.296x216.jpg', '満五无个税 看房方便 小区安静 师资雄厚', '御道街34号  | 3室1厅 | 77.37平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  瑞金路', '258万', '单价33347元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload95c6ac09-4993-4108-ac2e-fa27cd44afdb.jpg.296x216.jpg', '居家刚需两房 楼层好采光无遮挡 带地下室 户型规整', '四方新村四村  | 2室1厅 | 61.21平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板塔结合  -  月牙湖', '169万', '单价27610元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload3498fa4b-e0fd-4712-ae4c-ab20020eaa34.jpg.296x216.jpg', '三山街地铁 电梯两房 满五年且唯一 采光好 拎包入住', '弓箭坊小区  | 2室1厅 | 75.26平米 | 南 西 | 其他 | 有电梯', '高楼层(共30层)1999年建塔楼  -  来凤里', '210万', '单价27904元/平米')
('https://image1.ljcdn.com/320100-inspection/c41799c2-233e-48bd-95ac-70ed7e9c4c8f.jpg.296x216.jpg', '西一新村居家装修三房临秦淮河交通便利配套成熟', '西一新村  | 3室1厅 | 86.73平米 | 东北 | 精装 | 有电梯', '中楼层(共30层)2003年建塔楼  -  升州路', '373万', '单价43008元/平米')
('https://image1.ljcdn.com/320100-inspection/5fb8b8fc-fc08-4e07-91bf-cf85ebaf052f.jpg.296x216.jpg', '新街口 配套齐全 生活便利 拎包入住', '天安恒隆花园  | 1室1厅 | 46.35平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2007年建板楼  -  升州路', '162万', '单价34952元/平米')
('https://image1.ljcdn.com/320100-inspection/3210f48e-f66d-4197-be70-7dbc69516fa9.JPG.296x216.jpg', '中间楼层 双卧朝南 视野开阔，采光不挡', '红花地  | 2室1厅 | 49.57平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1991年建板楼  -  五老村', '192万', '单价38734元/平米')
('https://image1.ljcdn.com/320100-inspection/fd248e83-f27b-4928-84a7-bd211f905c9c.JPG.296x216.jpg', '秦虹 南部新城 中间楼层 双阳台 两房 配套齐全', '莺虹苑  | 2室1厅 | 70.11平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  秦虹', '189万', '单价26958元/平米')
('https://image1.ljcdn.com/320100-inspection/e7e3508c-e672-443a-b73f-14adfca4f7a0.jpg.296x216.jpg', '抄纸巷 2室1厅 282万', '抄纸巷  | 2室1厅 | 67.42平米 | 东 西 | 毛坯 | 有电梯', '低楼层(共10层)1994年建塔楼  -  新街口', '282万', '单价41828元/平米')
('https://image1.ljcdn.com/320100-inspection/eb1fab58-d638-428c-861b-1789286e1e76.JPG.296x216.jpg', '楼层好 边户 精装修 总价低 业主很诚心卖房', '良城美景家园  | 3室2厅 | 99.36平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  秦虹', '332万', '单价33414元/平米')
('https://image1.ljcdn.com/320100-inspection/9f8f06a3-b741-4bee-81d6-e6fa27898ec7.jpg.296x216.jpg', '生活方便  交通便利  设施配套相对的成熟！', '复成里  | 3室1厅 | 84.8平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)1996年建板楼  -  五老村', '292万', '单价34434元/平米')
('https://image1.ljcdn.com/320100-inspection/8cf95bb4-17ec-4780-9a8e-eac7444c39a5.JPG.296x216.jpg', '五老村街道 两房朝南 精装修 交通便利 户型方正', '仁义里小区  | 2室1厅 | 67.99平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  五老村', '265万', '单价38977元/平米')
('https://image1.ljcdn.com/320100-inspection/ccb07fd4-be6f-49d1-a4bd-3431bc425458.jpg.296x216.jpg', '光华路 苜蓿园大街双卧朝南有露台 采光无遮挡看房方便', '四方新村五村  | 3室1厅 | 76.27平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)2000年建板塔结合  -  月牙湖', '195万', '单价25568元/平米')
('https://image1.ljcdn.com/320100-inspection/730ac1ee-93f6-499a-8f11-01d7376b28bd.jpg.296x216.jpg', '满五年 有车位 精装 有暖气 月牙湖 光华路', '黄埔鑫园  | 3室2厅 | 122.28平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2003年建板塔结合  -  光华路', '425万', '单价34757元/平米')
('https://image1.ljcdn.com/320100-inspection/91661622-2bfa-4580-8ed6-e077c6538d57.JPG.296x216.jpg', '秦虹 南部新城 双南 采光无遮挡 户型规整 交通便利', '康安里小区  | 2室2厅 | 74.6平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  秦虹', '220万', '单价29491元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload9fb0e6a9-72d8-40ed-af98-4d25095d4c58.jpg.296x216.jpg', '房子满五年 小区中间 低楼层 全明四房', '月牙湖花园  | 4室2厅 | 152.64平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1996年建板楼  -  月牙湖', '540万', '单价35378元/平米')
