('https://image1.ljcdn.com/320100-inspection/test-b5172b44-0260-41aa-a27f-eb6d338862b7.png.296x216.jpg', '满五唯一      拎包住  看房方便', '花雨南庭  | 3室1厅 | 79.36平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  洪家园', '310万', '单价39063元/平米')
('https://image1.ljcdn.com/320100-inspection/61a52333-3312-4a6f-a2da-90d645087452.jpg.296x216.jpg', '南部新城 花神湖畔少有正规三房 好楼层 落地窗', '康盛花园  | 3室2厅 | 111.09平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  宁南', '375万', '单价33757元/平米')
('https://image1.ljcdn.com/320100-inspection/1b79260e-0729-4571-afe3-96d9078950c6.jpg.296x216.jpg', '万科金色里程 精装复式 宁静舒适 封闭式管理 人车分流', '万科金色里程  | 2室1厅 | 74.32平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)2010年建板塔结合  -  铁心桥', '232万', '单价31217元/平米')
('https://image1.ljcdn.com/320100-inspection/2632b2d1-ea92-43e9-8b65-c8fba5d5b983.jpg.296x216.jpg', '阅城经典户型小三房，总价低，采光无遮挡，拎包入住', '阅城国际花园悠然园  | 3室2厅 | 113.26平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  宁南', '495万', '单价43705元/平米')
('https://image1.ljcdn.com/320100-inspection/2cbd9f2c-54ce-469c-accc-2ae4c983d463.jpg.296x216.jpg', '康润园 精装两室 近安德门 配套成熟 交通便利', '康润园  | 2室2厅 | 72.49平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  安德门', '212万', '单价29246元/平米')
('https://image1.ljcdn.com/320100-inspection/ceec7cd3-f611-43e9-971d-89009a4060a4.jpg.296x216.jpg', '南部新城   楼层好  拎包入住', '仁恒翠竹园  | 3室2厅 | 149.66平米 | 南 | 精装 | 有电梯', '高楼层(共10层)2004年建板楼  -  宁南', '650万', '单价43432元/平米')
('https://image1.ljcdn.com/320100-inspection/f69192b1-c8c4-4e82-a4da-cfdf32227b9d.jpg.296x216.jpg', '景明佳园 商品房性质 满五唯一 总价低 刚需小两房', '景明佳园织景苑  | 2室1厅 | 55.57平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2004年建板楼  -  宁南', '150万', '单价26993元/平米')
('https://image1.ljcdn.com/320100-inspection/c7305604-408d-4d60-be9e-6220ae417dcf.jpg.296x216.jpg', '业主诚心出售 精装修 拎包入住 楼层好采光足', '康润园  | 2室1厅 | 62.86平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  安德门', '189万', '单价30067元/平米')
('https://image1.ljcdn.com/320100-inspection/bbd40560-e34c-4c99-9884-7a8392e4c987.jpg.296x216.jpg', '时光三四期 楼栋楼层位置佳 南北通透 西边户 视野开阔', '时光澔韵  | 3室2厅 | 125平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2010年建板楼  -  小行', '437.5万', '单价35000元/平米')
('https://image1.ljcdn.com/320100-inspection/cbf1a71b-3fdb-4d01-a4ed-578125c97694.jpg.296x216.jpg', '万科金色里程 开发商交付精装修 中高楼层 视野采光好', '万科金色里程  | 2室1厅 | 69.36平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2010年建板塔结合  -  铁心桥', '225万', '单价32440元/平米')
('https://image1.ljcdn.com/320100-inspection/822ef64a-fb54-4843-9f98-3c82f9974eca.jpg.296x216.jpg', '万科品牌精装复式宁静舒适封闭式管理人车分流', '万科金色里程  | 2室1厅 | 68.5平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)2010年建板塔结合  -  铁心桥', '212万', '单价30949元/平米')
