('https://image1.ljcdn.com/370200-inspection/683daa83-7c38-4b6a-b177-f3bfb77b5efb.jpg.296x216.jpg', '大华正信花园 套三户型 南北通透 楼层好 看房方便', '大华正信花园  | 3室1厅 | 129.73平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  即墨', '180万', '单价13875元/平米')
('https://image1.ljcdn.com/370200-inspection/0a7889af-b90d-4120-8f96-d60257eb24c4.jpg.296x216.jpg', '怡景嘉苑 新出套二 婚房装修 业主诚心出售', '怡景嘉苑  | 2室1厅 | 87.19平米 | 南 | 精装', '低楼层(共16层)2013年建板楼  -  即墨', '150万', '单价17204元/平米')
('https://image1.ljcdn.com/370200-inspection/6b9cf2e3-a3e3-4e5b-a0aa-6c11ac0478af.jpg.296x216.jpg', '满二唯一，20万精品装修，赠送全部家具家电。', '怡景嘉苑  | 2室1厅 | 92.03平米 | 南 | 其他', '中楼层(共16层)2013年建板楼  -  即墨', '145万', '单价15756元/平米')
('https://image1.ljcdn.com/370200-inspection/5bdc2c1e-93bf-4c17-8325-f3d20fb8b404.JPG.296x216.jpg', '安居小区 经典套二户型 视野开阔 采光好', '安居小区  | 2室1厅 | 82.89平米 | 南 | 其他', '高楼层(共7层)暂无数据  -  即墨', '110万', '单价13271元/平米')
('https://image1.ljcdn.com/370200-inspection/68950649-7569-430d-9201-1877f72e8ec9.jpg.296x216.jpg', '四季花城，经典套二户型，户型方正采光充足，看房方便', '四季花城  | 2室1厅 | 81.23平米 | 南 | 其他', '低楼层(共18层)2012年建暂无数据  -  即墨', '140万', '单价17236元/平米')
('https://image1.ljcdn.com/370200-inspection/fbce6912-63b4-4017-b3f0-ecb5326d5801.jpg.296x216.jpg', '九九花园，经典大套二，户型方正，采光好，一楼', '九九花园  | 3室1厅 | 94.64平米 | 南 | 其他', '低楼层(共6层)暂无数据  -  即墨', '105万', '单价11095元/平米')
('https://image1.ljcdn.com/370200-inspection/981a557e-1cb3-4d2c-8c76-0ac94cd321f4.jpg.296x216.jpg', '万科四季花城 精装套二 南北通透 采光充足 视野开阔', '四季花城  | 2室2厅 | 82.65平米 | 南 北 | 其他', '高楼层(共18层)2012年建暂无数据  -  即墨', '142万', '单价17181元/平米')
('https://image1.ljcdn.com/370200-inspection/6213f1d4-9ef6-48e8-8dc4-74758477ac73.JPG.296x216.jpg', '高档装修，全新电器，拎包入住，大套三', '上海花园  | 2室2厅 | 103.38平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  即墨', '165万', '单价15961元/平米')
('https://image1.ljcdn.com/370200-inspection/1ecba4e8-0e6d-43fc-b347-f264ef997e18.jpg.296x216.jpg', '安居小区，经典套二，户型方正，采光好，看房方便', '安居小区  | 2室1厅 | 91.94平米 | 南 | 其他', '高楼层(共7层)1999年建板楼  -  即墨', '103万', '单价11203元/平米')
('https://image1.ljcdn.com/370200-inspection/e621919e-931d-4431-826a-5cd34ef3c2d2.jpg.296x216.jpg', '绿化好！ 采光充足 居住舒适 生活交通便利', '怡景嘉苑  | 2室1厅 | 85.2平米 | 南 | 其他', '低楼层(共16层)2013年建板楼  -  即墨', '136万', '单价15963元/平米')
('https://image1.ljcdn.com/370200-inspection/ace42092-3787-4727-859a-4259b7613bac.jpg.296x216.jpg', '御墅临枫 3室1厅 186万', '御墅临枫  | 3室1厅 | 132.87平米 | 南 | 其他', '中楼层(共6层)2016年建板楼  -  即墨', '186万', '单价13999元/平米')
