('https://image1.ljcdn.com/370200-inspection/1e981338-8854-4319-b37f-00f04dcca510.JPG.296x216.jpg', '瑞纳花园 小高层套三 户型方正 距离地铁11号线500米', '瑞纳花园  | 3室1厅 | 115.43平米 | 南 西 | 其他 | 有电梯', '中楼层(共12层)2000年建板楼  -  石老人', '406万', '单价35173元/平米')
('https://image1.ljcdn.com/370200-inspection/097a75cc-24c2-4462-b458-accda0b7c3e3.jpg.296x216.jpg', '南卧南厅 采光充足 三阳台 保护好', '鲁信长春花园  | 2室2厅 | 107.53平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2006年建板楼  -  颐中体育场', '399万', '单价37106元/平米')
('https://image1.ljcdn.com/370200-inspection/test-e6e53361-4f86-4cb6-9cdc-19aace3d4de0.png.296x216.jpg', '全明小套二 满五年唯一 南向采光好 近丽达生活便利', '金领世家  | 2室1厅 | 87.19平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  崂山CBD', '360万', '单价41290元/平米')
('https://image1.ljcdn.com/370200-inspection/99131456-7059-4bd0-a9a3-bfa10e94a8dc.jpg.296x216.jpg', '鸿泰雅园 多层三楼 全明通透 不靠路地势高 精装未住', '鸿泰雅园  | 2室1厅 | 89.83平米 | 南 北 | 精装 | 无电梯', '中楼层(共4层)2000年建板楼  -  汽车东站', '450万', '单价50095元/平米')
('https://image1.ljcdn.com/370200-inspection/b472fab0-c389-4e2e-83c3-3c413d564130.JPG.296x216.jpg', '康城 满五唯一  精装通透 看房方便 通透户型 位置好', '康城  | 3室2厅 | 134.13平米 | 南 北 | 精装 | 有电梯', '中楼层(共23层)2009年建板楼  -  汽车东站', '485万', '单价36159元/平米')
('https://image1.ljcdn.com/370200-inspection/b527c9af-22df-464a-8e78-db8a37bb264b.jpg.296x216.jpg', '金岭花园A区 M2和R11双地铁口 南北通透套二 04年建成', '金岭花园A区  | 2室2厅 | 100.82平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  崂山CBD', '418万', '单价41461元/平米')
('https://image1.ljcdn.com/370200-inspection/test-3d3c6f99-a4ce-4ab2-8879-3f9499dedfb2.png.296x216.jpg', '鲁信长春 南北通透套三 满五唯一 省双税 不临街靠路', '鲁信长春花园  | 3室2厅 | 139.87平米 | 南 北 | 精装 | 有电梯', '中楼层(共20层)2006年建板楼  -  颐中体育场', '485万', '单价34676元/平米')
('https://image1.ljcdn.com/370200-inspection/bf954d07-5945-43ba-84e3-ca92147d1aae.jpg.296x216.jpg', '东城国际精装套三，业主诚售，内部保护很好，看房方便', '海尔东城国际北区  | 3室2厅 | 146.03平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2008年建板塔结合  -  颐中体育场', '500万', '单价34240元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploaddd603419-8ffd-45e8-a434-1094603e5975.JPG.296x216.jpg', '金光都市名家 精装四居室 看海景 带车位', '金光都市名家  | 4室2厅 | 165平米 | 南 北 | 精装 | 有电梯', '中楼层(共25层)2006年建板塔结合  -  麦岛', '770万', '单价46667元/平米')
('https://image1.ljcdn.com/370200-inspection/cc8334f5-c93a-4c09-af51-2834eb7ed6f9.jpg.296x216.jpg', '丽都国际三期 多层带电梯 全明通透套二 看花园', '丽都国际三期  | 2室2厅 | 125.25平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2007年建板楼  -  雕塑园', '632万', '单价50460元/平米')
('https://image1.ljcdn.com/370200-inspection/3987d0c6-b1aa-497e-a04a-618662300e5f.jpg.296x216.jpg', '绅园 顶楼带阁楼，阁楼利用率90%，海景好', '绅园  | 3室2厅 | 127.95平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  雕塑园', '698万', '单价54553元/平米')
