('https://image1.ljcdn.com/shfdfs-image/20170423/286137f6-eb22-4acd-a6b7-ee90b0779bce.jpg.296x216.jpg', '裕鸿佳苑 1室2厅 150万', '裕鸿佳苑  | 1室2厅 | 61平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2011年建板楼  -  陈家镇', '150万', '单价24591元/平米')
('', '海燕新村(崇明) 2室1厅 45万', '海燕新村(崇明)  | 2室1厅 | 43.35平米 | 南 | 简装 | 无电梯', '高楼层(共4层)板楼  -  崇明其它', '45万', '单价10381元/平米')
('', '明南佳苑 3室2厅 260万', '明南佳苑  | 3室2厅 | 120.14平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2009年建板楼  -  崇明新城', '260万', '单价21642元/平米')
('', '房屋总价低，可贷款，适合落户口专用', '洪中新村  | 3室1厅 | 73.79平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1976年建板楼  -  崇明其它', '85万', '单价11520元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171021/ed78e9b7-f276-4c57-a913-65db1ec2d607.jpg.296x216.jpg', '绿舟星城，温馨如家精装两室，楼层好，居住舒适~', '绿舟星城  | 2室1厅 | 56.97平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2009年建板楼  -  崇明其它', '110万', '单价19309元/平米')
('', '普通住宅，房东诚心出售，方便看房', '海燕新村(崇明)  | 2室0厅 | 46.75平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1990年建板楼  -  崇明其它', '56万', '单价11979元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170830/ae1e9245-8c32-40c6-a170-7122c6b35ffe.jpg.296x216.jpg', '裕鸿佳苑 2室2厅 185万', '裕鸿佳苑  | 2室2厅 | 78.73平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2012年建板楼  -  陈家镇', '185万', '单价23499元/平米')
('', '满二唯一！楼层佳！户型正气！！！！！！', '新开河路458号  | 2室2厅 | 81.65平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  崇明其它', '90万', '单价11023元/平米')
('', '明南佳苑 4室3厅 288万', '明南佳苑  | 4室3厅 | 112.56平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2009年建板楼  -  崇明新城', '288万', '单价25587元/平米')
('', '两房朝南的，客厅南北通，次卧朝北，全明设计。', '富源花苑  | 2室2厅 | 108.19平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  崇明其它', '200万', '单价18486元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161206/dc9ede80-294a-48c4-937b-3c56db5cdb33.jpg.296x216.jpg', '富源花苑 2室2厅 140万', '富源花苑  | 2室2厅 | 90.61平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  崇明其它', '140万', '单价15451元/平米')
