('https://image1.ljcdn.com/shfdfs-image/20170518/74b38169-e486-476c-a9be-4ffe83019a4d.jpg.296x216.jpg', '东边套。南北户型，高区次顶楼。全明户型3房', '辉煌公寓  | 3室2厅 | 129.14平米 | 南 | 精装 | 有电梯', '高楼层(共12层)1996年建板楼  -  徐家汇', '935万', '单价72403元/平米')
('https://image1.ljcdn.com/310000-inspection/64ddd622-9c48-4f83-ae45-93400a296b32.jpg.296x216.jpg', '徐汇滨江低总价三房 人车分流 交通便利 看房随时', '百汇园  | 3室2厅 | 145.2平米 | 南 | 精装 | 有电梯', '低楼层(共36层)2008年建板楼  -  徐汇滨江', '1450万', '单价99863元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170113/db1ec813-58cd-4a9f-8140-73bbf71bca44.jpg.296x216.jpg', '明星楼盘 新小区 环境好 动迁税费少 配套齐全', '馨宁公寓  | 1室2厅 | 61.65平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)2011年建板楼  -  华泾', '385万', '单价62450元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fca3be58-8d08-4bb5-aae8-123272f85ff1.png.296x216.jpg', '满五唯一，售 后 公 房，楼层好', '宾阳路21号  | 2室1厅 | 61.97平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1987年建板楼  -  龙华', '460万', '单价74230元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170517/10f62f7c-c82d-4bc3-aa79-a9ab7b7bccb7.jpg.296x216.jpg', '售后公房，上家零税，楼层佳采光好，安静，诚意出售', '狮城花苑  | 3室1厅 | 91.81平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  龙华', '563万', '单价61323元/平米')
('https://image1.ljcdn.com/310000-inspection/test-672818f3-79c8-4e4a-9097-8619c45428ee.png.296x216.jpg', '小区仅此一套在售的四房+（单价仅9.56万）+可看江景', '百汇园  | 4室2厅 | 230.35平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2008年建板楼  -  徐汇滨江', '2180万', '单价94639元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170424/18156c6f-ad78-4137-85fb-20d30a890528.jpg.296x216.jpg', '看房方便+对付款方式没有要求+专业经纪人介绍', '零陵小区  | 1室1厅 | 47平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1975年建板楼  -  徐家汇', '360万', '单价76596元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3f0634af-7d0b-41af-8a48-a2b64bc55253.png.296x216.jpg', '纯住宅，楼上已成交，确定还要等吗，且行且珍惜！', '爱邦大厦  | 2室1厅 | 94.46平米 | 北 | 简装 | 有电梯', '低楼层(共29层)1989年建塔楼  -  徐家汇', '440万', '单价46581元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170715/3f815acc-457d-4c57-abba-eb3f4f1fb1cd.jpg.296x216.jpg', '1梯2户，得房率高80左右，东边套全明户型，降价急售', '樟树苑  | 3室2厅 | 97.03平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2000年建板楼  -  徐汇滨江', '580万', '单价59776元/平米')
('https://image1.ljcdn.com/310000-inspection/test-dc949ca1-4526-4359-9439-676c7d2b4496.png.296x216.jpg', '乌鲁木齐中路五原路电梯房+售后公房唯一+中高层+诚售', '乌中小区  | 1室0厅 | 42.36平米 | 南 | 精装 | 有电梯', '中楼层(共28层)1991年建塔楼  -  衡山路', '437万', '单价103164元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170918/72a8a1c9-e60f-43cc-8d7c-c84c1fd5829a.jpg.296x216.jpg', '华山路交通大学地铁站50米，品质小区朝南景观和视野好', '海斯大厦  | 3室1厅 | 110.29平米 | 南 | 精装 | 有电梯', '高楼层(共16层)1996年建板楼  -  徐家汇', '1200万', '单价108805元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1d41e394-ceac-4922-8297-0371250a291d.png.296x216.jpg', '无个税 诚意出售 高得房率 边套全明 采光好', '新湖云庭  | 2室2厅 | 110.62平米 | 东南 | 精装 | 有电梯', '中楼层(共23层)2005年建塔楼  -  斜土路', '875万', '单价79100元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170901/eb567a17-357e-4e02-9dd8-c767a12781d2.jpg.296x216.jpg', '康兴花园：花园式联排叠加别墅，尽显上海滩风情', '康兴花园  | 4室2厅 | 161.48平米 | 南 | 简装 | 无电梯', '低楼层(共3层)1995年建板楼  -  康健', '1300万', '单价80506元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d20e90c0-37fb-4078-ae46-79c4fba053d4.png.296x216.jpg', '小区置前位置 出行方便 大型配套齐全', '凌云新村  | 1室1厅 | 49.53平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  华东理工', '260万', '单价52494元/平米')
