('https://image1.ljcdn.com/310000-inspection/test-1b985316-fcfb-4d1c-92e6-eb684c06bd34.png.296x216.jpg', '精装大三房，满五唯一，品质小区配套齐全，人车分流，', '品尊国际  | 3室2厅 | 153.16平米 | 南 北 | 精装 | 有电梯', '低楼层(共36层)2011年建板楼  -  真如', '1220万', '单价79656元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0de7b49f-9773-4131-a91a-2f2dc11ab5cc.jpeg.296x216.jpg', '经典一室户，中间楼层，总价低，满五唯一，诚意出售！', '延长小区(普陀)  | 1室1厅 | 34.37平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1985年建板楼  -  甘泉宜川', '175万', '单价50917元/平米')
('https://image1.ljcdn.com/310000-inspection/test-4fbc1b61-42a2-440b-9cb3-5ccce41844f3.png.296x216.jpg', '大三房，价格实惠，采光无遮挡，有钥匙，看房方便', '大华清水湾  | 3室2厅 | 146.71平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共29层)2002年建板楼  -  武宁', '1080万', '单价73615元/平米')
('https://image1.ljcdn.com/310000-inspection/test-dfa4f5ce-8538-4505-8ec3-87b37fecf192.png.296x216.jpg', '高区电梯两房，采光好，单价低，业主诚意出售！', '梅岭苑  | 2室1厅 | 73.66平米 | 西 | 简装 | 有电梯', '高楼层(共23层)1999年建塔楼  -  曹杨', '390万', '单价52946元/平米')
('https://image1.ljcdn.com/310000-inspection/test-47068c87-79a9-4b02-b70f-5be299ad23fa.png.296x216.jpg', '苏州河梦清园全景，三期小三房，三个房间均看苏州河。', '中远两湾城  | 3室2厅 | 123.91平米 | 南 | 简装 | 有电梯', '高楼层(共30层)2003年建板楼  -  中远两湾城', '845万', '单价68195元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0887c775-039d-4b64-8969-6df2f4f006b5.png.296x216.jpg', '南北全明户型  随时看房 配套齐全 地段成熟', '建德花园紫荆苑  | 2室2厅 | 70.39平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  长征', '350万', '单价49723元/平米')
('https://image1.ljcdn.com/310000-inspection/test-598360cd-2600-4b3f-b55d-f5fefe79399e.png.296x216.jpg', '满五唯一税费少，采光好，停车易，拎包入住，全明户型', '中浩云花园  | 2室2厅 | 93.96平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2008年建板楼  -  万里', '649万', '单价69072元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9e326593-0976-49f4-8f4e-5c7f3f72a287.png.296x216.jpg', '『超低价好房』『十月热卖』『30平露台』『再免个税』', '上青佳园  | 3室2厅 | 144.12平米 | 南 | 毛坯 | 有电梯', '低楼层(共16层)2001年建板楼  -  长寿路', '937万', '单价65016元/平米')
('https://image1.ljcdn.com/310000-inspection/test-54dc0c81-48db-422c-810e-b07721d7ef07.png.296x216.jpg', '双南小两房，二楼，小区中间位置，满五年唯一', '曹杨三村(兰岭园)  | 2室1厅 | 45.21平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1978年建板楼  -  曹杨', '255万', '单价56404元/平米')
('https://image1.ljcdn.com/310000-inspection/7276929a-51c3-4764-878c-a8e7cca340c7.jpg.296x216.jpg', '出国急售 新出笋盘 苏河旁 环保装修材料住着更安心', '世纪之门  | 2室2厅 | 91.62平米 | 西北 | 精装 | 有电梯', '中楼层(共22层)1998年建塔楼  -  长寿路', '630万', '单价68763元/平米')
('https://image1.ljcdn.com/310000-inspection/0d332e00-9087-467f-b803-906b438bcb40.jpg.296x216.jpg', '南北通，高区俯视小区花园，视野开阔，诚意出售', '中远两湾城  | 3室2厅 | 134.22平米 | 南 | 简装 | 有电梯', '高楼层(共33层)2001年建板楼  -  中远两湾城', '890万', '单价66310元/平米')
