('https://image1.ljcdn.com/shfdfs-image/20161017/c7d39749-be6c-4bb7-bc63-4a8d9574a86f.jpg.296x216.jpg', '双阳公寓 3室2厅 850万', '双阳公寓  | 3室2厅 | 134.67平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2001年建板楼  -  周家嘴路', '850万', '单价63118元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160116/bec5b49d-279a-4918-a524-18e992bb6029.jpg.296x216.jpg', '小区安静 居住舒适 一梯两户 满五唯一 随时看', '松花江路95弄  | 1室1厅 | 49.08平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  黄兴公园', '220万', '单价44825元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170729/0865e190-e038-427e-97d0-8dbd9a24093c.jpg.296x216.jpg', '南北板式户型+得房率高+适宜居住', '海鹏公寓  | 2室2厅 | 101平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  五角场', '650万', '单价64357元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171027/45a7f8f6-a4a5-41ec-a4d5-49568688d382.jpg.296x216.jpg', '地铁沿线》公园绿地天然氧吧》全景落地窗6复7送8+露台', '佳泰花园  | 5室3厅 | 216.2平米 | 暂无数据 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  黄兴公园', '1300万', '单价60130元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161105/98188fc3-5872-4aba-ad0b-b7827d697b7d.jpg.296x216.jpg', '新江湾佳苑 3室1厅 705万', '新江湾佳苑  | 3室1厅 | 86.49平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共8层)2009年建板楼  -  五角场', '705万', '单价81513元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171101/b8182534-a836-4bea-8590-103be3da3e74.jpg.296x216.jpg', '地铁8号线+双南一北全明户型+售后公房税费少+看中可谈', '开鲁四村  | 3室2厅 | 100.94平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  中原', '500万', '单价49535元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171107/14a6d296-7c43-428a-a4d3-3813d6682cc6.jpg.296x216.jpg', '售后公房，户型正气，采光好，房东诚意出售', '民星路330弄  | 2室1厅 | 74.18平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  中原', '345万', '单价46509元/平米')
('https://image1.ljcdn.com/310000-inspection/2c4f7989-9b4a-42c6-9038-d73d78272eba.JPG.296x216.jpg', '业主自住、格局楼层好、视野宽阔、交通便利', '申通公寓  | 2室1厅 | 78.48平米 | 南 | 精装 | 有电梯', '低楼层(共24层)1996年建塔楼  -  周家嘴路', '485万', '单价61800元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171228/87848252-8a05-457d-8e2f-b0cbf1d9b90c.jpg.296x216.jpg', '佳龙花园 3室2厅 968万', '佳龙花园  | 3室2厅 | 126.11平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2004年建板楼  -  黄兴公园', '968万', '单价76759元/平米')
('https://image1.ljcdn.com/310000-inspection/d47828aa-74cd-4217-b710-f5f4a6b94550.jpg.296x216.jpg', '此房满五唯一，地铁4,12号线，视野宽阔、采光充足', '全家福家园  | 2室2厅 | 92.77平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  东外滩', '648万', '单价69851元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload22640011-0a9a-4b4a-8dc0-6417047023f8.JPG.296x216.jpg', '南北全明两房（中区4楼，采光充足）满五年，看房方便', '张家浜小区  | 2室1厅 | 50.34平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  周家嘴路', '305万', '单价60589元/平米')
