('https://image1.ljcdn.com/shfdfs-image/20171027/35dcd9a4-9bb3-484f-966d-820807a148ec.jpg.296x216.jpg', '位于佘山脚下，近佘山森林公园，风景宜人，适合居住', '世茂佘山里  | 5室3厅 | 287平米 | 南 | 毛坯 | 无电梯', '低楼层(共4层)2015年建板楼  -  佘山', '970万', '单价33798元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170906/f712eafe-76b3-4959-9067-f3434f4aa70a.jpg.296x216.jpg', '主卧朝南，次卧朝北，厅南北直通，带装修，带租赁车位', '绿波景园  | 3室2厅 | 92平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)板楼  -  泗泾', '280万', '单价30435元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171207/96d24928-788e-439a-a904-d84bb98971ea.jpg.296x216.jpg', '云间名门 2室2厅 370万', '云间名门  | 2室2厅 | 97.19平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2011年建板楼  -  松江老城', '370万', '单价38070元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180105/96da42d7-a9eb-49ca-ab7a-e67c29742797.jpg.296x216.jpg', '大润发，精装修正两房 南北通透 出门有轨,诚意卖', '白洋苑  | 2室2厅 | 89平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  松江老城', '320万', '单价35956元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180114/b0e81be5-7622-4539-a7e4-8192ddfbfcfa.jpg.296x216.jpg', '好房子好房子好房子 诚心卖诚心卖诚心', '香家弄21号  | 2室1厅 | 58.32平米 | 南 | 简装', '中楼层(共6层)暂无数据  -  松江老城', '200万', '单价34294元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180109/fce2b68a-4827-479f-b6a4-21503e327da7.jpg.296x216.jpg', '小区田园风联排别墅 单价低 总价低 装修自己的风格', '绿地蔷薇九里(别墅)  | 3室2厅 | 130.07平米 | 南 | 毛坯 | 无电梯', '低楼层(共3层)2010年建板楼  -  松江大学城', '638万', '单价49051元/平米')
('https://image1.ljcdn.com/310000-inspection/test-168f5f0c-109c-4759-88f3-3bf86fc4ee29.png.296x216.jpg', '新凯家茉莉雅苑，经典大两房一厅，低总价，看房随时，', '茉莉雅苑  | 2室1厅 | 77.51平米 | 南 | 简装 | 有电梯', '低楼层(共14层)2012年建板楼  -  泗泾', '230万', '单价29674元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180115/e4335928-a492-4ef7-8605-e417685cbec9.jpg.296x216.jpg', '申和苑 精装两房 价格可谈 房东诚意出售', '申和苑  | 2室2厅 | 86.59平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  松江老城', '300万', '单价34647元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170927/2a735865-8257-4584-bf36-ae0e5c40d456.jpg.296x216.jpg', '看房有钥匙、接受置换、诚意出售、近地铁9号线', '奥林匹克花园  | 2室2厅 | 90.84平米 | 南 北 | 精装 | 有电梯', '中楼层(共13层)2008年建板楼  -  九亭', '375万', '单价41282元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180126/c7d5e5b6-a6c4-4146-8463-bbc3a7233e8a.jpg.296x216.jpg', '花园洋房，欧式装修，loft复式结构，满五唯一少税', '上尚缘  | 5室2厅 | 243平米 | 暂无数据 | 精装 | 无电梯', '低楼层(共3层)2010年建板楼  -  松江大学城', '785万', '单价32305元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b0250a1a-7277-4bd7-a98f-7e65a9f6a35f.png.296x216.jpg', '稀有3加1户型 临河景观房 满五年唯一 南北直通户型', '绿庭尚城  | 4室2厅 | 123.32平米 | 南 | 其他 | 有电梯', '低楼层(共14层)2011年建板楼  -  九亭', '559万', '单价45330元/平米')
('https://image1.ljcdn.com/310000-inspection/04666d2b-9c5a-4245-a10e-c22a43ac35ee.jpg.296x216.jpg', '近九号地铁    品质小区  有钥匙   精装修  满二', '米兰诺贵都  | 3室2厅 | 91.37平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2013年建板楼  -  泗泾', '388万', '单价42465元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f3465cfc-edf0-4ebe-8959-8088bb9b9a3c.png.296x216.jpg', '新凯家园精装修3房南北通透户型，房子满五年唯一', '新凯二期  | 3室2厅 | 92.79平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2009年建板楼  -  泗泾', '338万', '单价36427元/平米')
('https://image1.ljcdn.com/310000-inspection/e555bb18-bf55-4aa9-b1e5-efc08b7c2311.jpg.296x216.jpg', '三房两厅，精装修，年底满两年，业主诚心出售', '首创锦悦  | 3室2厅 | 94平米 | 南 | 精装 | 无电梯', '中楼层(共6层)板楼  -  松江大学城', '415万', '单价44149元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fae22d58-69f5-4e37-942c-5c661cd66e3c.png.296x216.jpg', '上海市松江区泗泾镇精装两房出售', '丽水豪庭  | 2室2厅 | 78.31平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2006年建板楼  -  泗泾', '249.9万', '单价31912元/平米')
('https://image1.ljcdn.com/310000-inspection/25838140-5929-45d3-8172-f5fcbbc64c2d.jpg.296x216.jpg', '中大九里德(公寓) 3室2厅 590万', '中大九里德(公寓)  | 3室2厅 | 123.42平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2010年建板楼  -  九亭', '590万', '单价47805元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160627/19951f90-c2a5-4c03-92bb-d684cfc3ad1f.jpg.296x216.jpg', '地铁站600米，满五唯一税费少，楼层位置', '御上海  | 1室2厅 | 62.83平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2009年建板楼  -  松江大学城', '310万', '单价49340元/平米')
('https://image1.ljcdn.com/310000-inspection/30d053d7-9626-4508-b839-023f99e70768.jpg.296x216.jpg', '万科金色华亭满五唯一大三房诚意出售', '万科金色华亭  | 3室2厅 | 114.94平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2012年建板楼  -  松江老城', '480万', '单价41761元/平米')
