('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload148a0280-b2b4-46ef-b187-27339d6859d8.JPG.296x216.jpg', '高品质小区，人车分流，板式户型，精装2+1户型', '大华锦绣华城(十四街区)  | 2室2厅 | 83.69平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2011年建板楼  -  北蔡', '698万', '单价83404元/平米')
('https://image1.ljcdn.com/310000-inspection/test-5e07560b-ec15-4c23-af25-fe17120c001c.png.296x216.jpg', '前滩CBD+东方体育+板式大三房', '恒大华城天地苑  | 3室2厅 | 115.67平米 | 南 | 简装 | 有电梯', '低楼层(共9层)2002年建板楼  -  三林', '800万', '单价69163元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170309/3301ce4e-dba9-43b7-b8b4-a97e06b35451.jpg.296x216.jpg', '地铁11号线，18号线在建，南北房型，建平中xue', '地杰国际城F欧香四季  | 2室2厅 | 109.26平米 | 南 北 | 精装 | 有电梯', '低楼层(共17层)2006年建板楼  -  御桥', '689万', '单价63061元/平米')
('https://image1.ljcdn.com/310000-inspection/test-42cadd9a-ad0d-4a80-8869-d28497aa144c.png.296x216.jpg', '满五唯一，户型方正，高区景观，业主诚意出售', '上海绿城  | 3室2厅 | 134.55平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2007年建板楼  -  杨东', '1160万', '单价86214元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f406c2f4-bfa8-4546-aa36-20f16f0d3f0f.png.296x216.jpg', '上海房东，儿子儿媳置换，新装婚房便宜出售。', '御桥花园  | 2室2厅 | 62.6平米 | 南 北 | 精装 | 无电梯', '低楼层(共5层)1996年建板楼  -  御桥', '373万', '单价59585元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e33aaadc-1455-4eee-aea5-ac6b8973c0f1.png.296x216.jpg', '浦东周浦康桥新上两房 户型方正 诚心出售 随时可看', '达城家园  | 2室2厅 | 77平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2008年建板楼  -  康桥', '320万', '单价41559元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0c88bb22-29e2-4a96-bc90-af13121327bc.png.296x216.jpg', '一手动迁 税少 有钥匙 随时看', '达城锦园  | 2室1厅 | 77.3平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2010年建板楼  -  康桥', '318万', '单价41139元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6c5dcb24-4e0c-4781-aabe-c25368f6367b.png.296x216.jpg', '清水房★中间楼层★采光充足★朝南户型★有钥匙看房的', '惠益新苑  | 1室1厅 | 58.17平米 | 南 | 毛坯 | 有电梯', '中楼层(共18层)2014年建塔楼  -  惠南', '160万', '单价27506元/平米')
('https://image1.ljcdn.com/310000-inspection/test-950188b1-7a75-4c69-8cf9-6627612ffe39.png.296x216.jpg', '朝南小3房 不临路 栋距开阔 采光好', '仁恒河滨城  | 3室2厅 | 128.45平米 | 东南 | 精装 | 有电梯', '低楼层(共26层)2005年建板楼  -  联洋', '1300万', '单价101207元/平米')
('https://image1.ljcdn.com/310000-inspection/141f2d07-e3ca-4e50-96ec-78546c173e8c.jpg.296x216.jpg', '满五唯一+一手动迁+房东急卖+精装修+保养好自住', '御桥馨华苑  | 2室2厅 | 77.8平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  御桥', '460万', '单价59126元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1c137741-feb5-4e17-b86d-5e15273952c8.png.296x216.jpg', '楼层好 小区中间位置 有钥匙 随时看房', '巨东小区  | 2室1厅 | 67.71平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  洋泾', '570万', '单价84183元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180126/0edce06f-f720-4efd-931a-5d0ae8a69c4f.jpg.296x216.jpg', '满五唯一无个税、132平电梯大三房、南北直通宜居', '申立苑  | 3室2厅 | 132.98平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2000年建板楼  -  洋泾', '1000万', '单价75200元/平米')
('https://image1.ljcdn.com/310000-inspection/test-70f8d94c-70a2-4861-8696-40ac4468ef3e.png.296x216.jpg', '新调价，仅有落地窗，满五唯一，单价低，位置好', '锦绣华都  | 2室2厅 | 94.61平米 | 南 | 毛坯 | 有电梯', '高楼层(共18层)2010年建板楼  -  御桥', '438万', '单价46296元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload53d8643f-5148-4c8b-a098-783e5c205903.JPG.296x216.jpg', '2+1户型低价诚售 景观楼层 花园位置 赠送面积10平米', '金地未未来  | 3室1厅 | 88.89平米 | 南 | 精装 | 有电梯', '高楼层(共15层)2009年建板楼  -  金桥', '595万', '单价66937元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bd11abbe-2998-43f7-ad7c-64d35ce104fa.png.296x216.jpg', '实用全明小三房，自住精装可拎包，地铁3min，楼层佳', '芳华路268弄  | 3室1厅 | 80.48平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1994年建板楼  -  北蔡', '440万', '单价54672元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c527cae0-d992-4413-8028-3c32e9cce301.png.296x216.jpg', '精装大2房 满5年唯一 看房方便 靠河位置', '中芯花园(公寓)  | 2室2厅 | 101.86平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  张江', '645万', '单价63323元/平米')
('https://image1.ljcdn.com/310000-inspection/c23b6335-b4e3-493c-952c-c2588a634263.jpg.296x216.jpg', '陆家嘴、证大宽域精装小两房、新小区、高性 价比住宅', '证大宽域  | 2室2厅 | 89.82平米 | 西 | 精装 | 有电梯', '中楼层(共20层)2009年建板楼  -  源深', '798万', '单价88845元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170222/f15d69b5-a90d-4923-a301-1e2f29814bf3.jpg.296x216.jpg', '板式南北通 一楼带花园 满五年 免个税 随时可签', '锦绣一方名苑  | 2室2厅 | 88.68平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2002年建板楼  -  杨东', '635万', '单价71606元/平米')
('https://image1.ljcdn.com/310000-inspection/test-da54b4f6-41bb-4b67-bfd1-f5109f2d557b.png.296x216.jpg', '中海高区景观 税费少 精装修 南北通风  全明户型 诚售', '中海御景熙岸(公寓)  | 3室2厅 | 88.76平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2011年建板楼  -  三林', '490万', '单价55206元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d1712370-5111-4c28-8bf0-4a1e5467bfe3.png.296x216.jpg', '中天碧云苑！户型方正！地铁450米', '中天碧云  | 3室2厅 | 147.32平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2004年建板楼  -  碧云', '1350万', '单价91638元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f5c119fb-0bd4-4f83-bb26-d4dfeda144bd.png.296x216.jpg', '大三房，房子很棒，房子不错的。。。', '金桥爱建园  | 3室2厅 | 140.68平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2003年建板楼  -  碧云', '1100万', '单价78192元/平米')
('https://image1.ljcdn.com/310000-inspection/test-61ae2a84-2f7c-467c-98c1-8415d501a682.png.296x216.jpg', '新德公寓(浦东) 3室1厅 365万', '新德公寓(浦东)  | 3室1厅 | 107.73平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1998年建板楼  -  川沙', '365万', '单价33881元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171212/a1190afc-afe9-4798-8f1d-0f19f237c9bd.jpg.296x216.jpg', '一线临江 陆家嘴铂金  整条江从北看到南  带车位诚售', '财富海景花园  | 4室2厅 | 346.87平米 | 南 | 精装 | 有电梯', '低楼层(共38层)2006年建板楼  -  陆家嘴', '5185万', '单价149480元/平米')
