('https://image1.ljcdn.com/310000-inspection/2f9fa6ab-9f0c-4960-a978-dceb7fe2ca2a.jpg.296x216.jpg', '住宅产权，看房方便，满五年，高区视野无遮挡', '庐迅大厦  | 2室2厅 | 95.79平米 | 东 | 其他 | 有电梯', '高楼层(共23层)塔楼  -  鲁迅公园', '490万', '单价51154元/平米')
('https://image1.ljcdn.com/310000-inspection/eb2af96b-b982-433e-82a7-9d2b36e2c989.jpg.296x216.jpg', '内环内+地铁房+好楼层3楼+精装两室半南北通透', '金机大厦(公寓)  | 2室1厅 | 51.12平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1997年建板楼  -  四川北路', '358万', '单价70032元/平米')
('https://image1.ljcdn.com/310000-inspection/49eb666d-dda7-4973-9dec-b2ed0b4a6842.jpg.296x216.jpg', '精装复式房+南北户型+赠送品牌家电+ 送露台  随时看', '珊瑚苑  | 4室3厅 | 185.26平米 | 南 | 精装 | 有电梯', '高楼层(共12层)2001年建板楼  -  凉城', '1250万', '单价67473元/平米')
('https://image1.ljcdn.com/310000-inspection/bab5ad2c-a487-4f1a-a0e6-df3723279677.jpg.296x216.jpg', '一楼送天井，内环内精装一房，产证满五', '久耕小区  | 1室1厅 | 33.53平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1984年建板楼  -  北外滩', '258万', '单价76947元/平米')
('https://image1.ljcdn.com/310000-inspection/4f700368-a9ec-4e82-9ff8-0a7e78331462.jpg.296x216.jpg', '虹口足球场精装两房，中间3楼，2002年小区，低总价', '水电路62弄  | 2室1厅 | 84.4平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2002年建板楼  -  凉城', '530万', '单价62797元/平米')
('https://image1.ljcdn.com/310000-inspection/04e4c68c-99a2-4a73-b02a-2c182a08c2ae.jpg.296x216.jpg', '瑞虹新城二期(优贤生活) 3室2厅 1350万', '瑞虹新城二期(优贤生活)  | 3室2厅 | 148.36平米 | 南 | 其他 | 有电梯', '高楼层(共39层)2004年建板楼  -  临平路', '1350万', '单价90995元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e3fbabd3-23a6-412b-bc9e-b4e03ff4454c.png.296x216.jpg', '曲阳新村 3室1厅 680万', '曲阳新村  | 3室1厅 | 106.97平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  鲁迅公园', '680万', '单价63570元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c431f7c7-111f-4f12-a3e9-e6285fc218cc.png.296x216.jpg', '内环 8/10双地铁房  双南户型 有钥匙 满五年 中区楼层', '大西小区  | 2室0厅 | 46.02平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1976年建板楼  -  曲阳', '285万', '单价61930元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5b6fd5a2-04f4-4471-b5cc-b18035c44237.jpg.296x216.jpg', '晨林花苑 2室2厅 635万', '晨林花苑  | 2室2厅 | 93.04平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1998年建板楼  -  临平路', '635万', '单价68251元/平米')
('https://image1.ljcdn.com/310000-inspection/a6e20ef1-9adf-4abc-99e2-119f0ecf1b69.jpg.296x216.jpg', '满五唯一2房朝南（近公园近商场近地铁）全明户型', '四联大厦  | 2室2厅 | 110.4平米 | 南 | 精装 | 有电梯', '高楼层(共23层)1998年建塔楼  -  临平路', '675万', '单价61142元/平米')
('https://image1.ljcdn.com/310000-inspection/test-43ad7ca9-3847-4eb5-a61b-a74a71374309.png.296x216.jpg', '久耕小区 2室1厅 370万', '久耕小区  | 2室1厅 | 51.61平米 | 南 | 其他 | 有电梯', '低楼层(共25层)1990年建塔楼  -  北外滩', '370万', '单价71692元/平米')
