('https://image1.ljcdn.com/shfdfs-image/20180107/1e1bdc08-9a22-4c91-bc2c-8e4147df6d97.jpg.296x216.jpg', '海尚馨苑 2室2厅 240万', '海尚馨苑  | 2室2厅 | 98平米 | 暂无数据 | 其他', '中楼层(共8层)2008年建板楼  -  山阳', '240万', '单价24490元/平米')
('', '绿地金卫新家园 3室2厅 248万', '绿地金卫新家园  | 3室2厅 | 118平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2007年建板楼  -  张堰', '248万', '单价21017元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171022/3ccb471b-4f41-4de2-990a-7c0cfa5c858c.jpg.296x216.jpg', '一手买进小三房，业主诚心出售，看房方便，', '芙蓉二村  | 3室1厅 | 83.86平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  枫泾', '122万', '单价14549元/平米')
('', '漕廊公路422号 1室1厅 74万', '漕廊公路422号  | 1室1厅 | 59.93平米 | 暂无数据 | 其他', '中楼层(共4层)1987年建暂无数据  -  漕泾', '74万', '单价12348元/平米')
('', '电梯房，价格美丽，看房随时，房东诚心，不买也要看。', '龙泽园  | 1室1厅 | 57.49平米 | 南 | 精装', '低楼层(共16层)2011年建板楼  -  山阳', '152万', '单价26440元/平米')
('', '优美海棠+碧海金沙滩+公园绿化带+全明户型+采光倍棒', '海棠新村  | 2室1厅 | 58.8平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)1989年建板楼  -  石化', '110万', '单价18708元/平米')
('', '御景龙庭 采光优秀 温馨之家 好房好心情 幸福之家', '御景龙庭  | 1室1厅 | 62.62平米 | 南 | 其他', '中楼层(共25层)2013年建板楼  -  金山', '128万', '单价20441元/平米')
('', '绿地金卫新家园 2室2厅 200万', '绿地金卫新家园  | 2室2厅 | 100平米 | 暂无数据 | 精装 | 无电梯', '中楼层(共6层)2007年建板楼  -  张堰', '200万', '单价20000元/平米')
('', '万春苑 2室2厅 112万', '万春苑  | 2室2厅 | 86.74平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2006年建板楼  -  金山', '112万', '单价12913元/平米')
('', '绿地金卫新家园 1室2厅 200万', '绿地金卫新家园  | 1室2厅 | 75.83平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  张堰', '200万', '单价26375元/平米')
('https://image1.ljcdn.com/310000-inspection/44e7df85-cf5c-4fd5-bb6a-8a4c3a7305b4.jpg.296x216.jpg', '紫金名苑 3室2厅 349万', '紫金名苑  | 3室2厅 | 125.83平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2006年建板楼  -  朱泾', '349万', '单价27736元/平米')
('', '绿地金卫新家园 1室2厅 130万', '绿地金卫新家园  | 1室2厅 | 65平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2009年建板楼  -  张堰', '130万', '单价20000元/平米')
('', '公积金首付12万起，70年产权住宅可挂户口，自住，养老', '新溪街145号  | 2室1厅 | 62.49平米 | 南 | 其他', '低楼层(共2层)暂无数据  -  吕巷', '60万', '单价9602元/平米')
('', '御景龙庭 2室1厅 210万', '御景龙庭  | 2室1厅 | 89.52平米 | 南 | 其他', '高楼层(共18层)2011年建板楼  -  金山', '210万', '单价23459元/平米')
('', '龙泽园 1室1厅 160万', '龙泽园  | 1室1厅 | 57.49平米 | 南 | 精装', '高楼层(共11层)2010年建板楼  -  山阳', '160万', '单价27831元/平米')
('', '蓝色收获 2室1厅 235万', '蓝色收获  | 2室1厅 | 93.79平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2008年建板楼  -  山阳', '235万', '单价25056元/平米')
('', '御龙景苑 3室2厅 230万', '御龙景苑  | 3室2厅 | 112.03平米 | 南 | 精装', '低楼层(共14层)板楼  -  山阳', '230万', '单价20531元/平米')
