('https://image1.ljcdn.com/shfdfs-image/20170513/541a8d1f-99cd-4d95-844a-58e16d808346.jpg.296x216.jpg', '内环内 05年次新小区 小户型电梯房 房型正气两室两厅', '中兴财富国际公寓  | 2室2厅 | 79.48平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2005年建板楼  -  不夜城', '548万', '单价68949元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9d0d903d-ac66-4d1d-ae95-01da1617658e.png.296x216.jpg', '新出笋盘南北通透精装修 满五年税费少 繁华地段配套好', '上海滩大宁城(公寓)  | 3室2厅 | 92.84平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2011年建板楼  -  大宁', '690万', '单价74322元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1cc598c7-f151-4085-824e-c32f381c2aba.png.296x216.jpg', '南北直通，全天采光，好楼层毛坯，价格可谈。房东诚意', '新梅共和城  | 3室2厅 | 125.55平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共14层)2004年建板楼  -  大宁', '941万', '单价74951元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8ed8c1b3-d2d1-45ca-ad18-68ea871b5de9.png.296x216.jpg', '阳曲小区 1室1厅 170万', '阳曲小区  | 1室1厅 | 44.51平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  彭浦', '170万', '单价38194元/平米')
('https://image1.ljcdn.com/310000-inspection/test-43028d71-bde3-44b0-8b80-035880a44d63.png.296x216.jpg', '高区，看灵石公园全景，南北通风厨卫全明，维护人小梁', '宁泰馨苑  | 2室2厅 | 112.7平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2003年建板楼  -  大宁', '810万', '单价71873元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171119/a642e458-6022-4139-98ac-95548bb80338.jpg.296x216.jpg', '全天采光无遮挡，降价房源，诚意出售！', '康平小区  | 1室1厅 | 43.85平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1986年建板楼  -  彭浦', '180万', '单价41050元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170909/bdab96e9-7dd1-41c6-a433-c62f491ad044.jpg.296x216.jpg', '和源名城，婚房装修，家具家电全送，满五唯一税费全免', '和源名城  | 2室2厅 | 78.98平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2011年建板楼  -  彭浦', '445万', '单价56344元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e960f2d8-a3d4-4a71-887e-3ad56adaa7f6.png.296x216.jpg', '嘉利明珠城+高区景观房+满五唯一+全南户型+配套成熟', '嘉利明珠城  | 2室2厅 | 93.21平米 | 南 | 精装 | 有电梯', '高楼层(共38层)2005年建板楼  -  闸北公园', '700万', '单价75100元/平米')
('https://image1.ljcdn.com/310000-inspection/547842b9-d710-4f7f-a748-c8dc1fcd2a26.JPG.296x216.jpg', '闻喜路251弄一室户，主卧朝南，厨卫朝北', '闻喜路251弄  | 1室1厅 | 40.8平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1987年建板楼  -  彭浦', '160万', '单价39216元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171121/25fd018b-18c8-45be-98db-68d44b222b7e.jpg.296x216.jpg', '（看房联系维护人）（ 双南采光通风无限好俯瞰）', '保平小区  | 2室1厅 | 60.08平米 | 南 | 精装 | 有电梯', '中楼层(共13层)1993年建塔楼  -  彭浦', '310万', '单价51598元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170821/2d70e273-9b91-49a7-81cc-571a2ed0ca37.jpg.296x216.jpg', '卓悦居西南大三房 业主回乡资金周转城售', '卓悦居  | 3室2厅 | 120.59平米 | 西南 | 精装 | 有电梯', '低楼层(共37层)2009年建板楼  -  不夜城', '1126万', '单价93375元/平米')
