('https://image1.ljcdn.com/shfdfs-image/20171130/86c1bddc-d736-4555-9e2e-6148af580ff6.jpg.296x216.jpg', '2016年次新小区，市中牛B住宅，8/10号地铁全南户型', '复兴珑御  | 2室2厅 | 140平米 | 南 | 精装', '中楼层(共32层)板楼  -  老西门', '1730万', '单价123572元/平米')
('https://image1.ljcdn.com/310000-inspection/d69fae7f-ab85-4ccb-8538-195343dca536.jpg.296x216.jpg', '陕西南路新挂牌正南大三房 4号楼 3年出来一套的好房源', '步高苑  | 3室2厅 | 139.87平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2002年建板楼  -  打浦桥', '1350万', '单价96519元/平米')
('https://image1.ljcdn.com/310000-inspection/test-882fa78c-b089-42be-a995-23c24486d63f.png.296x216.jpg', '带车位，高区景观房，正看陆家嘴，蓬莱二.小，诚意卖', '士林华苑  | 3室2厅 | 146.68平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2007年建板楼  -  豫园', '1430万', '单价97492元/平米')
('https://image1.ljcdn.com/310000-inspection/test-90b2337e-3002-499a-9390-b511d666e992.png.296x216.jpg', '楼W位置,小区蕞、诚意！一梯一户江景房', '浦江公馆  | 3室2厅 | 193平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2010年建板楼  -  黄浦滨江', '2200万', '单价113990元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f48fed6c-e07a-45ac-b5e6-7ef458b09b45.png.296x216.jpg', '百年老外滩黄浦湾金融城 绿城品质 高区在售江景房', '绿城黄浦湾  | 4室2厅 | 307平米 | 南 北 | 精装 | 有电梯', '高楼层(共28层)2012年建板楼  -  黄浦滨江', '4078万', '单价132834元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e0ac2498-ccb6-430e-b127-547aa9b6238e.png.296x216.jpg', '2011年。高区景观。老客户委托。有产权车位。安排！急', '明日星城  | 2室2厅 | 97.96平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2011年建板楼  -  董家渡', '930万', '单价94937元/平米')
('https://image1.ljcdn.com/310000-inspection/test-230527b0-4ce0-401d-8ba3-22564132646f.jpeg.296x216.jpg', '全新装修带地暖，中区采光很好、南北通户型！', '翠湖天地嘉苑  | 2室2厅 | 134.89平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2008年建板楼  -  新天地', '2000万', '单价148269元/平米')
('https://image1.ljcdn.com/310000-inspection/test-020c901b-0793-47ed-b07e-33d0131e77fc.png.296x216.jpg', '全明户型，总价是小区内价格低一套三房', '耀江花园  | 3室2厅 | 137平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2002年建板楼  -  世博滨江', '1540万', '单价112409元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/87c7b687-2770-4bb0-b71c-06e62254f2dd.png.280x210.jpg', '淮海路朝南一室户+满五唯一税少+业主置换诚意出售', '瑞福小区  | 1室1厅 | 53.46平米 | 西 | 精装 | 有电梯', '中楼层(共23层)1990年建塔楼  -  豫园', '398万', '单价74449元/平米')
('https://image1.ljcdn.com/310000-inspection/test-872785dd-0e98-42d4-9935-4cdf46518c36.png.296x216.jpg', '耀江二期前排江景、满五唯一2梯3户、精装地暖落地窗！', '耀江花园  | 2室2厅 | 111.39平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2006年建板楼  -  世博滨江', '1370万', '单价122992元/平米')
('https://image1.ljcdn.com/310000-inspection/7f3a45e5-a5c8-4ab2-85f0-6acce6f5b741.jpg.296x216.jpg', '中间楼层，全新装修，满五年税费少', '鼎达公寓  | 2室2厅 | 78.52平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  五里桥', '645万', '单价82145元/平米')
