('', '西山绿岛 2室2厅 150万', '西山绿岛  ', '高楼层(共27层)板楼  -  鹿泉市', '150万', '单价14424元/平米')
('', '水岸美景 2室1厅 115万', '水岸美景  ', '中楼层(共27层)板楼  -  鹿泉市', '115万', '单价15178元/平米')
('', '华柴社区 2室1厅 92万', '华柴社区  ', '高楼层(共6层)暂无数据  -  鹿泉市', '92万', '单价14720元/平米')
('', '水岸美景 3室2厅 152万', '水岸美景  ', '高楼层(共27层)板楼  -  鹿泉市', '152万', '单价11516元/平米')
('', '静心园 3室2厅 115万', '静心园  ', '高楼层(共6层)板楼  -  鹿泉市', '115万', '单价11326元/平米')
('https://image1.ljcdn.com/130100-inspection/rsp_pic_upload997fb946-4d54-4747-8ce9-960eac9f69f8.jpg.296x216.jpg', '1楼带小院，十里洋房，优质两居！', '拾里洋房  ', '低楼层(共11层)板楼  -  鹿泉市', '108万', '单价11876元/平米')
('', '朗润园 2室2厅 126万', '朗润园  ', '中楼层(共11层)板楼  -  鹿泉市', '126万', '单价11318元/平米')
('', '果岭湾  满二  南北格局  中间楼层', '果岭湾  ', '中楼层(共33层)板楼  -  鹿泉市', '160万', '单价11688元/平米')
('', '三室两厅，业主诚心出售，是7层跃8层，顶层', '龙泉花园东区  ', '高楼层(共8层)板楼  -  鹿泉市', '200万', '单价10411元/平米')
('', '富强家园 2室1厅 90万', '富强家园  ', '高楼层(共6层)暂无数据  -  鹿泉市', '90万', '单价10315元/平米')
('', '70万 住宅 城果小区 满二 临107国道 万科商圈', '城果  ', '高楼层(共7层)板楼  -  鹿泉市', '70万', '单价12615元/平米')
('https://image1.ljcdn.com/130100-inspection/35405a9b-a121-4ece-89b6-db9dfb26128a.jpg.296x216.jpg', '龙泉花园、南北通透、满五年、唯一住房', '龙泉花园西区  ', '中楼层(共6层)板楼  -  鹿泉市', '110万', '单价13879元/平米')
('', '安联青年城 2室2厅 130万', '安联青年城  ', '高楼层(共29层)板楼  -  宫家庄', '130万', '单价16377元/平米')
('', '果岭湾 3室2厅 165万', '果岭湾  ', '高楼层(共33层)板楼  -  鹿泉市', '165万', '单价11966元/平米')
('https://image1.ljcdn.com/130100-inspection/8a617543-0d34-429c-8771-3d4d098041d7.jpg.296x216.jpg', '水岸美景 3室2厅 165万', '水岸美景  ', '高楼层(共27层)板楼  -  鹿泉市', '165万', '单价13655元/平米')
('', '水岸美景 3室2厅 170万', '水岸美景  ', '中楼层(共27层)板楼  -  鹿泉市', '170万', '单价12774元/平米')
('', '龙海南苑 2室0厅 85万', '龙海南苑  ', '低楼层(共34层)暂无数据  -  鹿泉市', '85万', '单价10000元/平米')
('https://image1.ljcdn.com/130100-inspection/6b0c811f-6806-40a5-a206-864a9dda2a34.jpg.296x216.jpg', '南北通透三居室，小区不错，刚需客户可以看房。', '安联青年城  ', '低楼层(共29层)板楼  -  宫家庄', '175万', '单价14425元/平米')
('', '安联青年城 2室2厅 128万', '安联青年城  ', '高楼层(共29层)板楼  -  宫家庄', '128万', '单价14066元/平米')
('https://image1.ljcdn.com/130100-inspection/bded6c67-bc2d-4bc2-9fc1-0992a2d508b4.JPG.296x216.jpg', '果岭湾 2室2厅 109万', '果岭湾  ', '低楼层(共33层)暂无数据  -  鹿泉市', '109万', '单价12112元/平米')
('https://image1.ljcdn.com/130100-inspection/c646dc6a-b619-4377-89b9-29ccb846553d.jpg.296x216.jpg', '北国商圈，新华路，果岭湾，两居室，出行方便', '果岭湾  ', '低楼层(共33层)板楼  -  鹿泉市', '106万', '单价11881元/平米')
('', '水岸美景 2室2厅 123万', '水岸美景  ', '低楼层(共27层)板楼  -  鹿泉市', '123万', '单价14471元/平米')
('', '尹泰华府 3室2厅 145万', '尹泰华府  ', '高楼层(共12层)板楼  -  宫家庄', '145万', '单价14078元/平米')
