('https://image1.ljcdn.com/shfdfs-image/20170729/c77c35f3-f091-4125-bb8a-634b28448c98.jpg.296x216.jpg', '香滨水岸 3室2厅 289万', '香滨水岸  | 3室2厅 | 102.28平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  郭巷', '289万', '单价28256元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e092c059-3c43-44ef-b592-c95c1f2c1661.png.296x216.jpg', '方正三房两卫，景观楼层，采光刺眼，毛坯自由装修。', '越湖名邸  | 3室2厅 | 126.13平米 | 南 | 毛坯 | 有电梯', '高楼层(共12层)2009年建板楼  -  城南', '235万', '单价18632元/平米')
('https://image1.ljcdn.com/320500-inspection/test-4b42234c-56a1-4668-a04f-3b1be68337e0.png.296x216.jpg', '新城金郡南区二期 3室2厅 168万', '新城金郡南区二期  | 3室2厅 | 92.93平米 | 南 | 毛坯 | 有电梯', '低楼层(共17层)2013年建板楼  -  城南', '168万', '单价18079元/平米')
('https://image1.ljcdn.com/320500-inspection/test-024f1fa0-e2a7-44c6-9955-6ce817ce58c5.png.296x216.jpg', '世茂石湖湾 3室3厅 215万', '世茂石湖湾  | 3室3厅 | 98平米 | 南 | 其他 | 有电梯', '中楼层(共24层)2015年建板楼  -  城南', '215万', '单价21939元/平米')
('https://image1.ljcdn.com/320500-inspection/test-cd5e316c-e419-41ac-9bd2-9e89eb85ba48.png.296x216.jpg', '湖滨花园 通透户型  五楼  看房随时', '湖滨花园  | 3室1厅 | 87.37平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2014年建板楼  -  郭巷', '193万', '单价22090元/平米')
('https://image1.ljcdn.com/320500-inspection/test-43d6a6c2-ae2b-42d0-b62d-de62f31710a6.png.296x216.jpg', '保利悦玺 3室2厅 286万', '保利悦玺  | 3室2厅 | 110平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2016年建板楼  -  尹山湖', '286万', '单价26000元/平米')
('https://image1.ljcdn.com/320500-inspection/354a3e22-d13a-460a-8b99-84a3c6373c74.JPG.296x216.jpg', '合景领峰 3室2厅 66万', '合景领峰  | 3室2厅 | 43平米 | 西南 西 | 精装 | 有电梯', '高楼层(共22层)2014年建板楼  -  木渎', '66万', '单价15349元/平米')
('https://image1.ljcdn.com/320500-inspection/402596db-7718-4aeb-be75-3f1c073107f6.jpg.296x216.jpg', '中海双湾花园一期 3室2厅 215万', '中海双湾花园一期  | 3室2厅 | 88平米 | 南 | 简装 | 有电梯', '高楼层(共31层)2016年建板楼  -  尹山湖', '215万', '单价24432元/平米')
('https://image1.ljcdn.com/320500-inspection/test-42de39e9-bbf8-4dca-b831-c77c6fb8e408.png.296x216.jpg', '保利居上 2室2厅 198万', '保利居上  | 2室2厅 | 80.88平米 | 南 | 简装 | 有电梯', '高楼层(共25层)2014年建板楼  -  尹山湖', '198万', '单价24481元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171025/0826212a-7ed3-47ae-a44d-ddb3a4b4359d.jpg.296x216.jpg', '保利独墅西岸 3室2厅 230万', '保利独墅西岸  | 3室2厅 | 102.85平米 | 南 | 毛坯 | 有电梯', '中楼层(共33层)2015年建板楼  -  郭巷', '230万', '单价22363元/平米')
('https://image1.ljcdn.com/320500-inspection/a9d904cc-3a87-45e8-b333-042f02fba707.jpg.296x216.jpg', '御湖湾，精装修3房，满两年，看房方便，拎包入住。', '御湖湾  | 3室2厅 | 95平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2015年建板楼  -  尹山湖', '265万', '单价27895元/平米')
('https://image1.ljcdn.com/320500-inspection/123eda6a-271a-42e8-824b-43703005be86.jpg.296x216.jpg', '四季晶华 3室2厅 385万', '四季晶华  | 3室2厅 | 142.14平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2006年建板楼  -  龙西', '385万', '单价27086元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180107/30a42915-761d-4d4e-9c6f-d42d1e1cd1fc.jpg.296x216.jpg', '保利观湖国际 2室2厅 221万', '保利观湖国际  | 2室2厅 | 90平米 | 南 | 其他 | 有电梯', '中楼层(共28层)2012年建板塔结合  -  尹山湖', '221万', '单价24556元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160609/0e7d63b5-be76-471e-8b9e-4cfd0dc0466a.jpg.296x216.jpg', '湖岸名家北区 3室1厅 235万', '湖岸名家北区  | 3室1厅 | 116.97平米 | 南 | 毛坯 | 有电梯', '低楼层(共11层)2007年建板楼  -  郭巷', '235万', '单价20091元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170408/157d73fc-60b9-4c5a-8b8f-ba1a09665032.jpg.296x216.jpg', '公交一村 3室2厅 205万', '公交一村  | 3室2厅 | 156.6平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  城南', '205万', '单价13091元/平米')
('https://image1.ljcdn.com/320500-inspection/968bb4ef-85c7-41c0-af8f-c4b1b8bf95a1.jpg.296x216.jpg', '小石城6区香樟园 3室2厅 255万', '小石城6区香樟园  | 3室2厅 | 125平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2013年建板楼  -  城南', '255万', '单价20400元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171205/63f8eb28-0ec0-4cd6-9b9f-089c67993ac1.jpg.296x216.jpg', '正荣国领 4室2厅 338万', '正荣国领  | 4室2厅 | 143平米 | 南 | 毛坯 | 有电梯', '中楼层(共25层)2016年建板楼  -  南双湖', '338万', '单价23637元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170620/fb6b602a-af4f-4427-ae2f-1c58ddc0d9d8.jpg.296x216.jpg', '越湖家天下 5室2厅 445万', '越湖家天下  | 5室2厅 | 231平米 | 南 | 毛坯 | 有电梯', '高楼层(共21层)2013年建板楼  -  城南', '445万', '单价19265元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170324/b9dcb70c-5752-4726-b491-752706693185.jpg.296x216.jpg', '湖岸名家北区 3室2厅 251万', '湖岸名家北区  | 3室2厅 | 116.7平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  郭巷', '251万', '单价21509元/平米')
('https://image1.ljcdn.com/320500-inspection/b93dcb13-3584-42d8-96ec-01b951b4fa44.jpg.296x216.jpg', '景瑞御江山 3室2厅 180万', '景瑞御江山  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯', '高楼层(共27层)2015年建板楼  -  越溪', '180万', '单价20225元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160610/5e6aa9e2-feaa-441f-b355-37167d114286.jpg.296x216.jpg', '小石城5区紫竹园 4室2厅 409万', '小石城5区紫竹园  | 4室2厅 | 204.9平米 | 南 | 毛坯 | 有电梯', '中楼层(共25层)2015年建板楼  -  城南', '409万', '单价19961元/平米')
('https://image1.ljcdn.com/320500-inspection/test-9cfc6b79-ff58-4481-bb61-b6710304d0a9.png.296x216.jpg', '小石城7区桂花园 3室2厅 300万', '小石城7区桂花园  | 3室2厅 | 134平米 | 东 | 精装 | 有电梯', '低楼层(共24层)2014年建板楼  -  城南', '300万', '单价22389元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170413/b9d234c0-df3e-4f89-81f6-453c526547f5.jpg.296x216.jpg', '港龙财智国际 2室2厅 79万', '港龙财智国际  | 2室2厅 | 70平米 | 南 | 简装 | 有电梯', '低楼层(共20层)2013年建板楼  -  城南', '79万', '单价11286元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a5a41aeb-3b65-4d90-b901-a99576af6382.png.296x216.jpg', '合景叠翠峰 3室2厅 245万', '合景叠翠峰  | 3室2厅 | 89平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2015年建板塔结合  -  尹山湖', '245万', '单价27529元/平米')
('https://image1.ljcdn.com/320500-inspection/test-2b6b18a2-acd4-4315-b783-7a93e09c6ca6.png.296x216.jpg', '中茵星墅湾 2室2厅 248万', '中茵星墅湾  | 2室2厅 | 94.56平米 | 南 | 精装 | 有电梯', '中楼层(共27层)2013年建板楼  -  郭巷', '248万', '单价26227元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170625/3e7a78cc-9d9b-4c26-9bf6-b59d0f9dde2f.jpg.296x216.jpg', '水岸清华瀚宫 4室2厅 378万', '水岸清华瀚宫  | 4室2厅 | 205平米 | 南 | 毛坯 | 有电梯', '低楼层(共31层)2015年建板楼  -  城南', '378万', '单价18440元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160912/6d1788c0-6479-4a5a-b14b-25e26148d955.jpg.296x216.jpg', '石湖华城 3室2厅 235万', '石湖华城  | 3室2厅 | 107.8平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2011年建板楼  -  越溪', '235万', '单价21800元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170506/0ece4de4-988e-4c32-bcab-74a0b7188b63.jpg.296x216.jpg', '夏莲花园 6室4厅 420万', '夏莲花园  | 6室4厅 | 217平米 | 南 | 简装 | 无电梯', '高楼层(共5层)2000年建板楼  -  苏苑', '420万', '单价19355元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a61968a4-0fef-4ff4-8e0f-177964b3a79d.png.296x216.jpg', '保利居上 尹山湖湖景 装修好 采光足 郭苑站 交通便利', '保利居上  | 4室2厅 | 140平米 | 南 北 | 其他 | 有电梯', '低楼层(共23层)2014年建板楼  -  尹山湖', '420万', '单价30000元/平米')
('https://image1.ljcdn.com/320500-inspection/test-6cb75a99-a377-4db8-99a1-523e8cee95fc.png.296x216.jpg', '地铁二号线旁，弘阳上湖经典4房，小区前排尹山湖湖景', '弘阳上湖  | 4室2厅 | 133平米 | 南 | 毛坯 | 有电梯', '低楼层(共34层)2016年建板楼  -  尹山湖', '328万', '单价24662元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170820/796c2a94-b95a-4585-ba01-6cac8d354805.jpg.296x216.jpg', '湖滨花园 4室2厅 450万', '湖滨花园  | 4室2厅 | 164.41平米 | 南 | 毛坯 | 无电梯', '低楼层(共7层)2004年建板楼  -  郭巷', '450万', '单价27371元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160909/f004811a-ca40-4092-92f2-5920aeeabeab.jpg.296x216.jpg', '石湖华城 2室2厅 169万', '石湖华城  | 2室2厅 | 94平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2011年建板楼  -  越溪', '169万', '单价17979元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170930/2ba74ddd-6a50-4294-88a9-600e5e4a16bf.jpg.296x216.jpg', '保利独墅西岸 3室2厅 268万', '保利独墅西岸  | 3室2厅 | 116平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共33层)2015年建板楼  -  郭巷', '268万', '单价23104元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d4db7070-c351-418b-aa1f-ce32d80234d6.png.296x216.jpg', '尹山湖韵佳苑 2室2厅 224万', '尹山湖韵佳苑  | 2室2厅 | 83平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2016年建板楼  -  尹山湖', '224万', '单价26988元/平米')
('https://image1.ljcdn.com/320500-inspection/test-dd9975bd-bb4f-45cf-a05d-bf2f54fb5923.png.296x216.jpg', '石湖华城精装大三房，129.12平，255万，楼层好采光佳', '石湖华城  | 3室2厅 | 129.12平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2011年建板楼  -  越溪', '255万', '单价19750元/平米')
