('https://image1.ljcdn.com/320500-inspection/test-7c6e955e-07fd-4d9f-bddf-e9cf559b50ad.png.296x216.jpg', '南北大三房，精装修，家具家电全留，有钥匙，有车位', '中海御景湾  | 3室2厅 | 117平米 | 南 北 | 精装 | 有电梯', '高楼层(共39层)2015年建板楼  -  金阊新城', '266万', '单价22736元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170401/f0f0f7d9-de76-4b86-91bd-a4779f91d234.jpg.296x216.jpg', '中海胥江府 3室2厅 270万', '中海胥江府  | 3室2厅 | 88.9平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2010年建板楼  -  胥江', '270万', '单价30372元/平米')
('https://image1.ljcdn.com/320500-inspection/test-70e3c022-cc33-4a72-9b03-1c9e62cfd0cb.png.296x216.jpg', '宝祥苑原始户型2室  现在已经改好了三室', '宝祥苑  | 3室2厅 | 77.5平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2013年建板楼  -  金阊新城', '130万', '单价16775元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c4a12735-a1c2-46e5-b652-11b0ccc3b205.png.296x216.jpg', '通透三房，中上层，小区中间，草桥，毛坯带地暖', '平江怡景花园  | 3室2厅 | 123.15平米 | 南 | 毛坯 | 有电梯', '高楼层(共17层)2013年建板楼  -  平江新城', '419万', '单价34024元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d78867e0-2b49-4a4b-a43c-eafc95fd8397.png.296x216.jpg', '平江怡景花园 2室2厅 276万', '平江怡景花园  | 2室2厅 | 86.95平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2013年建板楼  -  平江新城', '276万', '单价31743元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170208/f20ace9e-a3b6-4f81-99bb-0ac148e89b97.jpg.296x216.jpg', '万科金品家园 4室2厅 505万', '万科金品家园  | 4室2厅 | 195.7平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2008年建板楼  -  胥江', '505万', '单价25805元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160505/87b78d0a-4013-4ce2-b9ac-a62ae00aac95.jpg.296x216.jpg', '世茂两房 精装修 提包即住 中等楼层 适合居住', '世茂运河城和茂苑二期  | 2室2厅 | 90.65平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2010年建板楼  -  沧浪新城', '248万', '单价27358元/平米')
('https://image1.ljcdn.com/320500-inspection/test-34d766ad-d758-439b-a2c0-ae8914b6febb.png.296x216.jpg', '中间楼层通透户型，满五省个税，家具家电全留伶包入住', '鼎尚花园  | 3室2厅 | 105.12平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  平江新城', '235万', '单价22356元/平米')
('https://image1.ljcdn.com/320500-inspection/07ec1d74-3c57-4aec-9964-18ad7ad4c666.jpg.296x216.jpg', '南华公寓 2室2厅 150万', '南华公寓  | 2室2厅 | 83平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  南门', '150万', '单价18073元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d524a349-deae-4661-8cc0-5eac22b1bb05.png.296x216.jpg', '现代花园 3室1厅 160万', '现代花园  | 3室1厅 | 77.38平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  葑门', '160万', '单价20678元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload1bbe0c3e-887e-4018-9683-a8e705967207.jpg.296x216.jpg', '长虹弄 3室1厅 224万', '长虹弄  | 3室1厅 | 93.48平米 | 南 | 简装 | 无电梯', '中楼层(共5层)平房  -  十全街', '224万', '单价23963元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160909/446dd387-daba-4eb4-a5bc-74dc9c14b12d.jpg.296x216.jpg', '冠南苑 3室2厅 270万', '冠南苑  | 3室2厅 | 120平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共29层)2013年建板楼  -  葑门', '270万', '单价22500元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e6c39435-2cf0-411e-80f2-e0d7d52ab9ef.png.296x216.jpg', '双车位 平江新城板块 火车站 精装科技住宅 恒湿恒温', '当代万国府MOMΛ  | 3室2厅 | 118平米 | 南 | 精装 | 无电梯', '高楼层(共16层)2018年建板楼  -  平江新城', '405万', '单价34323元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d68eefdf-6241-4b3d-b432-5465fa03fa67.png.296x216.jpg', '三元一村 2室1厅 82万', '三元一村  | 2室1厅 | 52平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1988年建板楼  -  金门', '82万', '单价15770元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170829/d2c7b67a-ef9f-4826-9cea-25962e2d32f8.jpg.296x216.jpg', '宝隆广场 1室0厅 58万', '宝隆广场  | 1室0厅 | 42平米 | 北 | 精装 | 有电梯', '中楼层(共16层)2014年建板楼  -  平江新城', '58万', '单价13810元/平米')
('https://image1.ljcdn.com/320500-inspection/cd9cdb0a-a774-49f2-8188-f6380b7a4f5c.jpg.296x216.jpg', '彩虹新村 4室2厅 338万', '彩虹新村  | 4室2厅 | 181.33平米 | 南 | 其他 | 有电梯', '低楼层(共22层)1998年建板楼  -  胥江', '338万', '单价18641元/平米')
('https://image1.ljcdn.com/320500-inspection/59efcd2a-8bd8-4435-aa3b-6ca526e301da.jpg.296x216.jpg', '南环西路24号 3室1厅 165万', '南环西路24号  | 3室1厅 | 99.16平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  南门', '165万', '单价16640元/平米')
('https://image1.ljcdn.com/320500-inspection/test-43b0abb1-4721-4797-80ed-7048129ae378.png.296x216.jpg', '公园天下 2室2厅 281万', '公园天下  | 2室2厅 | 110.35平米 | 南 | 其他 | 有电梯', '低楼层(共10层)2005年建板楼  -  胥江', '281万', '单价25465元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170716/1099a127-4ab3-4547-ad68-26d34f42dd76.jpg.296x216.jpg', '九九玄妙 2室2厅 125.5万', '九九玄妙  | 2室2厅 | 80.67平米 | 南 | 精装 | 有电梯', '中楼层(共6层)2005年建塔楼  -  观前街', '125.5万', '单价15558元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161115/8a428fe9-7e8f-4293-a21a-72e9ebbb4781.jpg.296x216.jpg', '中海胥江府 4室2厅 490万', '中海胥江府  | 4室2厅 | 161.36平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2010年建板楼  -  胥江', '490万', '单价30367元/平米')
