('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload58a4a65e-0c04-4757-96ee-48cc4dbebf7e.jpg.296x216.jpg', '锦溪苑精装两房，房东诚心卖。。', '路劲主场  | 2室2厅 | 77.88平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2012年建板楼  -  湖东', '220万', '单价28249元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171108/cd9dcbc2-0fad-4604-bc18-87472258a51c.jpg.296x216.jpg', '单价3.8万入住帝王之地中茵皇冠，可以上学', '中茵皇冠国际  | 3室2厅 | 201平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共21层)2006年建板楼  -  湖西CBD', '780万', '单价38806元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170502/1afad8ee-05ac-408b-85b2-2fa0003327dd.jpg.296x216.jpg', '路劲凤凰城 3室2厅 350万', '路劲凤凰城  | 3室2厅 | 131.19平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2008年建板楼  -  湖东', '350万', '单价26679元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170924/1bc252d4-b6f6-4f1f-b805-391fa98af02c.jpg.296x216.jpg', '新城花园 精装3房 户型方正 满五年 急售', '新城花园  | 3室2厅 | 106.48平米 | 暂无数据 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  湖西CBD', '295万', '单价27705元/平米')
('https://image1.ljcdn.com/320500-inspection/585335f4-47b0-4117-9af5-9e2e25715de0.jpg.296x216.jpg', '天域西区 3室2厅 670万', '天域西区  | 3室2厅 | 150.07平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2005年建板楼  -  湖西CBD', '670万', '单价44646元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d5bd2510-3f38-4397-82c1-f8142aeb05c8.png.296x216.jpg', '精装三房 单价低 钥匙房随时可看', '蝴蝶湾  | 2室2厅 | 108平米 | 南 | 精装 | 有电梯', '高楼层(共24层)2013年建板楼  -  斜塘', '312万', '单价28889元/平米')
('https://image1.ljcdn.com/320500-inspection/51df0233-2fd0-4930-b653-9e62875afdc9.jpg.296x216.jpg', '伊顿花园 5室3厅 825万', '伊顿花园  | 5室3厅 | 272平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板塔结合  -  湖东CBD', '825万', '单价30331元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160702/ac779b1d-9a01-426c-824d-fdc76fb57682.jpg.296x216.jpg', '路劲主场 3室2厅 388万', '路劲主场  | 3室2厅 | 125.15平米 | 南 | 毛坯 | 有电梯', '中楼层(共33层)2015年建板楼  -  湖东', '388万', '单价31003元/平米')
('https://image1.ljcdn.com/320500-inspection/5c3515b4-f34a-4c79-898c-eeffc0673f70.jpg.296x216.jpg', '天域西区 3室2厅 728万', '天域西区  | 3室2厅 | 174.85平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2005年建板楼  -  湖西CBD', '728万', '单价41636元/平米')
('https://image1.ljcdn.com/320500-inspection/test-6548345a-ac4e-408b-bb94-31925be75cba.png.296x216.jpg', '澳韵花园 2室2厅 296万', '澳韵花园  | 2室2厅 | 85.99平米 | 暂无数据 | 其他 | 有电梯', '低楼层(共13层)2010年建板楼  -  湖东CBD', '296万', '单价34423元/平米')
